Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,Bayer Leverkusen,TSG Hoffenheim,Eintracht Frankfurt,SC Freiburg,Mainz,FC Augsburg,1. FC Union Berlin,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9937.0,58.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,63.0,6961.0,1885.0,877.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2222.0,4158.0,2509.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,620.0,2544.0,4092.0,2744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,139.0,1408.0,2515.0,5918.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,13.0,7957.0,1713.0,252.0,37.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1789.0,5938.0,1660.0,323.0,146.0,107.0,32.0,1.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,212.0,1749.0,4266.0,1582.0,1017.0,626.0,364.0,69.0,111.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,22.0,461.0,2006.0,2721.0,1642.0,1522.0,873.0,268.0,477.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,116.0,987.0,1971.0,2141.0,2094.0,1202.0,616.0,832.0,40.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,470.0,1401.0,1979.0,2080.0,1731.0,895.0,1333.0,87.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,249.0,1082.0,1562.0,1635.0,2000.0,1359.0,1835.0,273.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,646.0,1077.0,1149.0,2121.0,2170.0,2126.0,595.0,28.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,224.0,378.0,671.0,1356.0,3427.0,2106.0,1675.0,124.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,51.0,103.0,311.0,1163.0,1098.0,6102.0,991.0,167.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,32.0,72.0,1087.0,6670.0,2130.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,129.0,2180.0,7685.0
