Coventry City,Ipswich Town,Millwall,Middlesbrough,Southampton,Hull City,Wrexham,Derby County,Norwich City,Bristol City,Queens Park Rangers,Watford,Preston North End,Swansea City,Stoke City,Sheffield United,Birmingham City,Charlton Athletic,Blackburn Rovers,West Bromwich Albion,Portsmouth,Oxford United,Leicester City,Sheffield Wednesday
9666.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334.0,8764.0,429.0,322.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,642.0,4268.0,3455.0,1576.0,53.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,188.0,3164.0,3817.0,2586.0,207.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,69.0,1939.0,2101.0,4597.0,1018.0,224.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,193.0,283.0,910.0,5392.0,2067.0,1118.0,30.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,22.0,164.0,2405.0,3879.0,3197.0,196.0,48.0,29.0,15.0,10.0,19.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,16.0,872.0,3143.0,4128.0,896.0,305.0,200.0,69.0,91.0,148.0,24.0,24.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,51.0,507.0,1039.0,3119.0,1652.0,688.0,532.0,527.0,857.0,326.0,219.0,482.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,116.0,305.0,1878.0,1782.0,1066.0,976.0,926.0,1094.0,608.0,501.0,741.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,18.0,109.0,1238.0,1529.0,1237.0,1172.0,1126.0,1199.0,804.0,716.0,826.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,957.0,1355.0,1292.0,1192.0,1156.0,1236.0,963.0,866.0,894.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,661.0,1169.0,1324.0,1322.0,1218.0,1183.0,1105.0,976.0,922.0,103.0,0.0,0.0,6.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,780.0,1345.0,1418.0,1263.0,1151.0,1217.0,1183.0,1011.0,150.0,6.0,0.0,16.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,641.0,1174.0,1166.0,1206.0,1154.0,1483.0,1288.0,1234.0,288.0,18.0,3.0,30.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,460.0,1005.0,1106.0,1105.0,1025.0,1575.0,1591.0,1324.0,510.0,42.0,11.0,70.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,249.0,575.0,847.0,1131.0,710.0,1342.0,1832.0,1696.0,1114.0,157.0,84.0,191.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,62.0,180.0,230.0,216.0,501.0,669.0,644.0,4740.0,1058.0,707.0,842.0,96.0,21.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,8.0,47.0,115.0,105.0,1770.0,3206.0,2283.0,1673.0,609.0,168.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,20.0,26.0,797.0,2648.0,2690.0,2078.0,1350.0,387.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,347.0,1811.0,2330.0,2319.0,2374.0,815.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,848.0,1588.0,1872.0,3771.0,1827.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,206.0,304.0,901.0,1796.0,6782.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
