Palmeiras,Fluminense,São Paulo,Bahia,Flamengo,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Vitória,Grêmio,Vasco da Gama,Internacional,Santos,Botafogo,Corinthians,Chapecoense,Remo,Cruzeiro,Mirassol
7332.0,652.0,326.0,425.0,1178.0,30.0,9.0,36.0,6.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1631.0,2138.0,1235.0,1465.0,2962.0,187.0,51.0,233.0,41.0,3.0,11.0,5.0,11.0,7.0,19.0,1.0,0.0,0.0,0.0,0.0
635.0,2228.0,1787.0,1861.0,2117.0,392.0,136.0,534.0,124.0,16.0,43.0,17.0,33.0,11.0,62.0,3.0,0.0,1.0,0.0,0.0
235.0,1843.0,1920.0,1973.0,1498.0,633.0,290.0,876.0,239.0,52.0,100.0,65.0,92.0,38.0,140.0,6.0,0.0,0.0,0.0,0.0
104.0,1294.0,1705.0,1649.0,1026.0,996.0,518.0,1159.0,442.0,153.0,208.0,138.0,201.0,100.0,286.0,16.0,0.0,3.0,2.0,0.0
43.0,776.0,1141.0,1079.0,539.0,1353.0,875.0,1512.0,690.0,241.0,409.0,246.0,394.0,179.0,446.0,57.0,1.0,11.0,6.0,2.0
15.0,461.0,715.0,619.0,326.0,1407.0,1021.0,1415.0,985.0,408.0,607.0,418.0,550.0,323.0,608.0,93.0,1.0,16.0,10.0,2.0
3.0,247.0,482.0,383.0,170.0,1220.0,1180.0,1125.0,1115.0,553.0,795.0,610.0,724.0,429.0,733.0,161.0,6.0,30.0,23.0,11.0
2.0,163.0,289.0,217.0,80.0,945.0,1155.0,950.0,1126.0,690.0,887.0,739.0,934.0,597.0,900.0,229.0,4.0,35.0,40.0,18.0
0.0,87.0,176.0,145.0,49.0,775.0,1077.0,699.0,1143.0,848.0,976.0,877.0,948.0,726.0,958.0,322.0,23.0,86.0,56.0,29.0
0.0,50.0,103.0,83.0,28.0,613.0,923.0,522.0,1011.0,1026.0,1058.0,963.0,1003.0,832.0,987.0,491.0,43.0,128.0,93.0,43.0
0.0,32.0,49.0,49.0,12.0,496.0,840.0,348.0,832.0,1001.0,1017.0,1129.0,1078.0,945.0,1033.0,648.0,62.0,184.0,165.0,80.0
0.0,17.0,37.0,31.0,7.0,361.0,616.0,261.0,710.0,1082.0,1015.0,1093.0,1077.0,1125.0,934.0,800.0,90.0,324.0,270.0,150.0
0.0,9.0,26.0,13.0,5.0,240.0,535.0,154.0,582.0,1088.0,921.0,1018.0,975.0,1111.0,927.0,1056.0,190.0,506.0,391.0,253.0
0.0,2.0,5.0,4.0,3.0,174.0,356.0,111.0,415.0,991.0,775.0,969.0,779.0,1180.0,730.0,1319.0,311.0,787.0,640.0,449.0
0.0,0.0,2.0,4.0,0.0,99.0,227.0,45.0,290.0,770.0,555.0,757.0,592.0,1010.0,552.0,1561.0,650.0,1192.0,942.0,752.0
0.0,1.0,2.0,0.0,0.0,49.0,120.0,17.0,140.0,582.0,345.0,532.0,331.0,720.0,361.0,1287.0,1114.0,1636.0,1457.0,1306.0
0.0,0.0,0.0,0.0,0.0,21.0,46.0,2.0,72.0,283.0,181.0,280.0,174.0,395.0,199.0,1044.0,1653.0,1878.0,1935.0,1837.0
0.0,0.0,0.0,0.0,0.0,8.0,20.0,1.0,30.0,155.0,71.0,111.0,75.0,208.0,92.0,616.0,2369.0,1730.0,2104.0,2410.0
0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,7.0,58.0,24.0,33.0,29.0,64.0,29.0,290.0,3483.0,1453.0,1866.0,2658.0
