Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Brighton & Hove Albion,AFC Bournemouth,Fulham,Sunderland,Newcastle United,Crystal Palace,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
9017.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
982.0,8847.0,115.0,54.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,157.0,6294.0,2509.0,741.0,286.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,2377.0,4298.0,2190.0,939.0,38.0,47.0,81.0,6.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,859.0,2187.0,3459.0,2408.0,249.0,284.0,413.0,46.0,21.0,41.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,285.0,723.0,2182.0,2969.0,841.0,914.0,1332.0,264.0,149.0,133.0,195.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,57.0,171.0,814.0,1546.0,1747.0,1588.0,2138.0,717.0,415.0,321.0,451.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,42.0,356.0,891.0,1928.0,1807.0,1917.0,1042.0,717.0,509.0,708.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,11.0,160.0,469.0,1757.0,1818.0,1513.0,1382.0,1000.0,766.0,957.0,164.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,5.0,67.0,283.0,1427.0,1446.0,1100.0,1705.0,1358.0,1047.0,1295.0,258.0,6.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,23.0,141.0,967.0,1028.0,801.0,1727.0,1721.0,1436.0,1634.0,495.0,22.0,4.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,46.0,637.0,689.0,418.0,1511.0,1894.0,2007.0,1805.0,878.0,72.0,29.0,2.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,19.0,318.0,288.0,234.0,1108.0,1845.0,2297.0,1796.0,1788.0,199.0,85.0,9.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,85.0,84.0,44.0,434.0,803.0,1235.0,958.0,4391.0,1126.0,507.0,151.0,181.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,53.0,72.0,182.0,143.0,1466.0,4123.0,2171.0,614.0,1166.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,17.0,23.0,361.0,2408.0,3595.0,1616.0,1971.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,67.0,1318.0,2385.0,3221.0,3005.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,725.0,1220.0,4386.0,3653.0,6.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,7506.0,2486.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2488.0,7512.0
