Excelsior,Go Ahead Eagles,AZ Alkmaar,Ajax Amsterdam,FC Groningen,Telstar,Feyenoord Rotterdam,Heerenveen,Fortuna Sittard,PSV Eindhoven,NEC Nijmegen,FC Utrecht,Sparta Rotterdam,FC Twente,ADO Den Haag,PEC Zwolle,Willem II,SC Cambuur
6.0,58.0,105.0,1228.0,45.0,11.0,1243.0,68.0,1.0,6725.0,197.0,53.0,0.0,260.0,0.0,0.0,0.0,0.0
54.0,216.0,450.0,2493.0,205.0,77.0,2450.0,245.0,2.0,1879.0,740.0,233.0,0.0,956.0,0.0,0.0,0.0,0.0
92.0,397.0,666.0,1967.0,464.0,155.0,2072.0,487.0,6.0,755.0,1159.0,517.0,1.0,1262.0,0.0,0.0,0.0,0.0
183.0,651.0,917.0,1417.0,671.0,262.0,1374.0,692.0,12.0,311.0,1311.0,779.0,1.0,1419.0,0.0,0.0,0.0,0.0
314.0,806.0,1045.0,972.0,855.0,387.0,959.0,917.0,21.0,171.0,1308.0,920.0,1.0,1321.0,2.0,1.0,0.0,0.0
411.0,934.0,1185.0,684.0,993.0,580.0,641.0,1029.0,76.0,78.0,1232.0,1021.0,1.0,1127.0,5.0,0.0,3.0,0.0
645.0,1052.0,1124.0,481.0,1168.0,692.0,468.0,1045.0,111.0,41.0,1025.0,1146.0,3.0,970.0,16.0,1.0,10.0,2.0
794.0,1141.0,1147.0,306.0,1099.0,900.0,336.0,1193.0,161.0,17.0,880.0,1126.0,15.0,836.0,23.0,4.0,20.0,2.0
1017.0,1149.0,998.0,209.0,1196.0,1066.0,220.0,1125.0,292.0,9.0,731.0,1152.0,33.0,673.0,73.0,8.0,40.0,9.0
1238.0,1099.0,869.0,146.0,1121.0,1295.0,127.0,1090.0,489.0,11.0,582.0,1054.0,86.0,507.0,145.0,25.0,86.0,30.0
1547.0,1050.0,694.0,70.0,929.0,1526.0,72.0,883.0,805.0,1.0,429.0,914.0,190.0,352.0,250.0,66.0,169.0,53.0
1641.0,781.0,453.0,21.0,744.0,1493.0,27.0,736.0,1374.0,2.0,255.0,621.0,353.0,199.0,587.0,209.0,370.0,134.0
1044.0,397.0,217.0,5.0,299.0,857.0,9.0,317.0,2295.0,0.0,112.0,305.0,974.0,84.0,1218.0,547.0,890.0,430.0
558.0,154.0,86.0,1.0,139.0,400.0,2.0,121.0,1678.0,0.0,29.0,107.0,1515.0,28.0,1783.0,1057.0,1466.0,876.0
285.0,80.0,27.0,0.0,48.0,176.0,0.0,30.0,1198.0,0.0,7.0,30.0,1919.0,6.0,1851.0,1422.0,1729.0,1192.0
122.0,21.0,10.0,0.0,18.0,92.0,0.0,16.0,801.0,0.0,2.0,17.0,1877.0,0.0,1681.0,1822.0,1821.0,1700.0
41.0,10.0,5.0,0.0,6.0,22.0,0.0,5.0,470.0,0.0,1.0,5.0,1669.0,0.0,1380.0,2276.0,1844.0,2266.0
8.0,4.0,2.0,0.0,0.0,9.0,0.0,1.0,208.0,0.0,0.0,0.0,1362.0,0.0,986.0,2562.0,1552.0,3306.0
