Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Corinthians,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
5952.0,4027.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3919.0,5770.0,231.0,45.0,13.0,6.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,187.0,5378.0,1924.0,813.0,288.0,171.0,117.0,764.0,24.0,174.0,31.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
9.0,13.0,2148.0,2604.0,1413.0,814.0,497.0,322.0,1483.0,91.0,425.0,116.0,5.0,22.0,35.0,1.0,1.0,1.0,0.0,0.0
0.0,2.0,1057.0,1875.0,1543.0,1138.0,827.0,595.0,1578.0,198.0,764.0,242.0,13.0,66.0,83.0,5.0,8.0,6.0,0.0,0.0
0.0,1.0,570.0,1295.0,1474.0,1383.0,1023.0,783.0,1548.0,313.0,943.0,368.0,23.0,105.0,136.0,14.0,8.0,10.0,3.0,0.0
0.0,0.0,280.0,847.0,1293.0,1435.0,1248.0,967.0,1272.0,480.0,1078.0,557.0,41.0,189.0,233.0,28.0,13.0,30.0,9.0,0.0
0.0,0.0,170.0,546.0,1094.0,1223.0,1211.0,1124.0,1022.0,673.0,1232.0,829.0,98.0,276.0,335.0,71.0,43.0,40.0,13.0,0.0
0.0,0.0,79.0,377.0,791.0,1068.0,1231.0,1179.0,832.0,895.0,1224.0,993.0,133.0,409.0,507.0,114.0,76.0,62.0,30.0,0.0
0.0,0.0,39.0,234.0,628.0,815.0,1121.0,1193.0,557.0,1099.0,1127.0,1153.0,220.0,639.0,671.0,204.0,120.0,119.0,61.0,0.0
0.0,0.0,17.0,121.0,377.0,705.0,909.0,1079.0,408.0,1248.0,950.0,1258.0,391.0,807.0,896.0,303.0,215.0,219.0,97.0,0.0
0.0,0.0,8.0,64.0,275.0,453.0,648.0,899.0,222.0,1345.0,780.0,1207.0,535.0,1061.0,1111.0,530.0,312.0,372.0,178.0,0.0
0.0,0.0,3.0,38.0,141.0,317.0,497.0,686.0,156.0,1108.0,554.0,1024.0,779.0,1318.0,1275.0,729.0,508.0,556.0,311.0,0.0
0.0,0.0,1.0,16.0,89.0,178.0,309.0,413.0,81.0,938.0,337.0,873.0,1065.0,1343.0,1300.0,1080.0,695.0,789.0,493.0,0.0
0.0,0.0,0.0,7.0,32.0,90.0,151.0,306.0,33.0,658.0,218.0,565.0,1362.0,1204.0,1164.0,1317.0,1000.0,1107.0,785.0,1.0
0.0,0.0,0.0,4.0,17.0,52.0,92.0,183.0,20.0,466.0,106.0,411.0,1436.0,992.0,935.0,1499.0,1256.0,1379.0,1151.0,1.0
0.0,0.0,0.0,2.0,3.0,22.0,47.0,100.0,5.0,264.0,60.0,225.0,1464.0,751.0,641.0,1539.0,1614.0,1623.0,1623.0,17.0
0.0,0.0,0.0,0.0,3.0,12.0,13.0,40.0,3.0,148.0,19.0,103.0,1336.0,524.0,441.0,1390.0,1967.0,1852.0,2114.0,35.0
0.0,0.0,0.0,0.0,1.0,1.0,4.0,14.0,1.0,52.0,8.0,45.0,1087.0,286.0,231.0,1144.0,2092.0,1772.0,3015.0,247.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,2.0,32.0,72.0,63.0,117.0,9699.0
