Coventry City,Millwall,Middlesbrough,Ipswich Town,Hull City,Wrexham,Southampton,Derby County,Watford,Queens Park Rangers,Norwich City,Stoke City,Bristol City,Birmingham City,Preston North End,Swansea City,Sheffield United,Charlton Athletic,Blackburn Rovers,West Bromwich Albion,Portsmouth,Leicester City,Oxford United,Sheffield Wednesday
9958.0,1.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,2051.0,2357.0,5496.0,21.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3545.0,3516.0,2501.0,161.0,17.0,257.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3416.0,3361.0,1547.0,610.0,133.0,922.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,808.0,610.0,320.0,3266.0,1093.0,3715.0,185.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,167.0,145.0,87.0,3580.0,2254.0,2928.0,765.0,26.0,14.0,18.0,9.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,9.0,9.0,1760.0,4223.0,1482.0,1953.0,167.0,98.0,147.0,72.0,27.0,20.0,10.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,539.0,1776.0,547.0,4276.0,792.0,475.0,712.0,343.0,169.0,121.0,99.0,62.0,78.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,57.0,358.0,84.0,1484.0,2084.0,1102.0,1818.0,911.0,651.0,466.0,376.0,243.0,331.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,114.0,20.0,676.0,1799.0,1258.0,1619.0,1234.0,884.0,734.0,576.0,407.0,579.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.0,9.0,356.0,1469.0,1325.0,1430.0,1259.0,1012.0,949.0,763.0,568.0,690.0,143.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,1.0,143.0,1105.0,1288.0,1117.0,1325.0,1080.0,1161.0,928.0,715.0,900.0,225.0,3.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,84.0,907.0,1183.0,965.0,1235.0,1112.0,1199.0,1013.0,904.0,1048.0,325.0,16.0,7.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,711.0,1001.0,780.0,1063.0,1177.0,1251.0,1144.0,1074.0,1224.0,500.0,18.0,9.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,438.0,876.0,583.0,932.0,1193.0,1261.0,1265.0,1311.0,1340.0,700.0,53.0,29.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,275.0,703.0,429.0,754.0,1117.0,1134.0,1381.0,1564.0,1356.0,1023.0,152.0,84.0,14.0,8.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,490.0,259.0,562.0,965.0,1046.0,1302.0,1633.0,1352.0,1647.0,306.0,201.0,47.0,30.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,174.0,105.0,235.0,513.0,543.0,910.0,1222.0,788.0,3322.0,960.0,709.0,210.0,222.0,23.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,16.0,65.0,92.0,98.0,206.0,253.0,251.0,1366.0,3371.0,2396.0,683.0,986.0,199.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,15.0,24.0,35.0,51.0,443.0,2534.0,3081.0,1467.0,1708.0,635.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,6.0,131.0,1643.0,2129.0,2299.0,2366.0,1422.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,783.0,1057.0,2562.0,2689.0,2874.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160.0,296.0,2709.0,1991.0,4843.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
