Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Sunderland,Newcastle United,AFC Bournemouth,Crystal Palace,Leeds United,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9732.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.0,9531.0,152.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,189.0,6622.0,2374.0,462.0,316.0,22.0,11.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,2317.0,4768.0,1582.0,1062.0,111.0,86.0,16.0,35.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,657.0,1947.0,2882.0,2844.0,622.0,546.0,136.0,264.0,56.0,29.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,190.0,658.0,2327.0,2576.0,1497.0,1185.0,392.0,756.0,168.0,155.0,80.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,50.0,161.0,1336.0,1448.0,2185.0,1783.0,733.0,1333.0,374.0,359.0,195.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,11.0,29.0,716.0,801.0,1883.0,1811.0,1205.0,1694.0,634.0,687.0,426.0,101.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,12.0,378.0,502.0,1405.0,1624.0,1532.0,1666.0,972.0,1047.0,657.0,201.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,180.0,277.0,1000.0,1223.0,1762.0,1538.0,1270.0,1387.0,1023.0,326.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,93.0,125.0,672.0,862.0,1599.0,1157.0,1643.0,1755.0,1499.0,557.0,25.0,12.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,33.0,42.0,370.0,532.0,1320.0,842.0,1886.0,1779.0,1994.0,1083.0,92.0,22.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9.0,6.0,177.0,259.0,922.0,517.0,1882.0,1692.0,2288.0,1874.0,268.0,81.0,17.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,54.0,75.0,343.0,173.0,975.0,942.0,1438.0,4261.0,1101.0,438.0,150.0,48.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,38.0,24.0,120.0,139.0,344.0,1207.0,4342.0,2068.0,1374.0,339.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,26.0,41.0,276.0,2448.0,3892.0,2372.0,935.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,48.0,1268.0,2568.0,3645.0,2464.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,438.0,915.0,2427.0,6136.0,46.0,34.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,70.0,6939.0,2976.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3013.0,6987.0
