Palmeiras,Fluminense,Bahia,São Paulo,Athletico Paranaense,Flamengo,Coritiba,Vasco da Gama,Atlético-MG,Grêmio,Red Bull Bragantino,Vitória,Santos,Corinthians,Botafogo,Internacional,Cruzeiro,Chapecoense,Mirassol,Remo
6516.0,1239.0,1001.0,492.0,122.0,569.0,18.0,9.0,22.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1956.0,2587.0,2004.0,1274.0,480.0,1367.0,78.0,43.0,125.0,47.0,15.0,1.0,11.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0
815.0,2034.0,2102.0,1672.0,808.0,1729.0,229.0,122.0,275.0,96.0,41.0,3.0,26.0,13.0,17.0,17.0,1.0,0.0,0.0,0.0
401.0,1502.0,1734.0,1684.0,1130.0,1765.0,436.0,297.0,504.0,200.0,114.0,6.0,87.0,29.0,47.0,56.0,8.0,0.0,0.0,0.0
161.0,1102.0,1200.0,1647.0,1396.0,1541.0,705.0,433.0,788.0,347.0,216.0,26.0,145.0,66.0,89.0,110.0,16.0,0.0,10.0,2.0
87.0,650.0,790.0,1226.0,1559.0,1067.0,951.0,739.0,1089.0,608.0,364.0,51.0,266.0,153.0,158.0,175.0,36.0,3.0,23.0,5.0
38.0,387.0,474.0,772.0,1247.0,745.0,1242.0,946.0,1297.0,790.0,561.0,86.0,458.0,261.0,249.0,327.0,72.0,1.0,36.0,11.0
14.0,223.0,279.0,492.0,1018.0,439.0,1237.0,1068.0,1331.0,964.0,725.0,135.0,600.0,387.0,362.0,478.0,154.0,3.0,67.0,24.0
7.0,120.0,183.0,287.0,688.0,330.0,1086.0,1163.0,1069.0,1058.0,908.0,204.0,803.0,527.0,535.0,627.0,207.0,9.0,144.0,45.0
3.0,65.0,101.0,199.0,522.0,203.0,967.0,1084.0,941.0,1033.0,1010.0,275.0,902.0,688.0,637.0,770.0,318.0,31.0,177.0,74.0
1.0,43.0,57.0,92.0,356.0,96.0,836.0,1005.0,718.0,997.0,995.0,441.0,1063.0,779.0,781.0,918.0,413.0,41.0,251.0,117.0
1.0,17.0,36.0,67.0,255.0,65.0,679.0,792.0,586.0,1004.0,1076.0,519.0,1005.0,893.0,869.0,964.0,565.0,69.0,355.0,183.0
0.0,14.0,21.0,32.0,157.0,33.0,492.0,649.0,447.0,809.0,962.0,665.0,1036.0,1035.0,999.0,962.0,705.0,131.0,577.0,274.0
0.0,8.0,11.0,33.0,107.0,18.0,369.0,550.0,309.0,607.0,847.0,876.0,898.0,1080.0,1046.0,1018.0,952.0,201.0,706.0,364.0
0.0,5.0,6.0,16.0,74.0,20.0,287.0,390.0,217.0,487.0,683.0,1068.0,848.0,1064.0,1047.0,975.0,1029.0,318.0,898.0,568.0
0.0,3.0,0.0,6.0,44.0,5.0,178.0,309.0,147.0,420.0,551.0,1211.0,657.0,981.0,943.0,858.0,1232.0,488.0,1206.0,761.0
0.0,1.0,1.0,5.0,24.0,7.0,110.0,209.0,72.0,269.0,450.0,1337.0,526.0,815.0,861.0,703.0,1282.0,777.0,1384.0,1167.0
0.0,0.0,0.0,4.0,7.0,1.0,63.0,126.0,40.0,167.0,273.0,1307.0,392.0,645.0,689.0,539.0,1331.0,1275.0,1541.0,1600.0
0.0,0.0,0.0,0.0,5.0,0.0,29.0,55.0,20.0,64.0,150.0,1155.0,195.0,411.0,473.0,348.0,1067.0,2218.0,1550.0,2260.0
0.0,0.0,0.0,0.0,1.0,0.0,8.0,11.0,3.0,27.0,57.0,633.0,81.0,168.0,196.0,151.0,609.0,4435.0,1075.0,2545.0
