Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Lazio,Bologna,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Cremonese,Lecce,Hellas Verona,Pisa
9737.0,211.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241.0,5794.0,2760.0,1094.0,102.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,2607.0,3697.0,3001.0,516.0,157.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1068.0,2401.0,3915.0,1810.0,774.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,270.0,865.0,1471.0,4649.0,2428.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,49.0,222.0,491.0,2531.0,5429.0,1269.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,7.0,24.0,391.0,1189.0,7937.0,319.0,93.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,14.0,403.0,6072.0,1951.0,781.0,759.0,4.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,38.0,2253.0,3857.0,2068.0,1638.0,13.0,66.0,58.0,3.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,943.0,2517.0,3223.0,2754.0,65.0,230.0,211.0,19.0,34.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.0,1362.0,2832.0,3501.0,286.0,795.0,608.0,83.0,153.0,6.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,189.0,759.0,944.0,1335.0,3009.0,2029.0,525.0,1038.0,67.0,67.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,209.0,279.0,1993.0,2351.0,2381.0,1039.0,1379.0,141.0,198.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,80.0,73.0,2366.0,1637.0,1873.0,1471.0,1769.0,319.0,407.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,31.0,1977.0,1048.0,1416.0,1891.0,2149.0,663.0,803.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1399.0,578.0,946.0,2487.0,1814.0,1389.0,1373.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,226.0,386.0,1641.0,1128.0,3162.0,2906.0,2.0,52.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,52.0,85.0,833.0,527.0,4098.0,4095.0,24.0,221.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,152.0,139.0,3386.0,6312.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6588.0,3407.0
