Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Getafe,Celta Vigo,Real Sociedad,Osasuna,Athletic Club,Rayo Vallecano,Valencia,Elche,Espanyol,Girona,Alavés,Mallorca,Sevilla,Levante,Real Oviedo
9992.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,9973.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,19.0,9485.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,496.0,9483.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,21.0,8986.0,245.0,482.0,214.0,41.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,775.0,2212.0,4378.0,1621.0,715.0,131.0,14.0,34.0,16.0,86.0,16.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,182.0,2532.0,2558.0,2337.0,1404.0,380.0,96.0,108.0,68.0,243.0,79.0,5.0,8.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,34.0,2122.0,1341.0,2410.0,1883.0,737.0,269.0,271.0,146.0,477.0,249.0,31.0,29.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,2.0,1507.0,670.0,1442.0,2174.0,1312.0,597.0,552.0,356.0,752.0,455.0,106.0,67.0,2.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,769.0,339.0,863.0,1538.0,1695.0,1019.0,852.0,738.0,1003.0,751.0,247.0,167.0,3.0,16.0,0.0
0.0,0.0,0.0,0.0,0.0,336.0,133.0,494.0,1012.0,1526.0,1283.0,1093.0,1018.0,1211.0,1089.0,420.0,335.0,15.0,35.0,0.0
0.0,0.0,0.0,0.0,0.0,189.0,57.0,315.0,607.0,1271.0,1274.0,1431.0,1253.0,1292.0,1140.0,554.0,507.0,45.0,65.0,0.0
0.0,0.0,0.0,0.0,0.0,60.0,30.0,168.0,340.0,1049.0,1308.0,1372.0,1403.0,1259.0,1248.0,794.0,755.0,79.0,135.0,0.0
0.0,0.0,0.0,0.0,0.0,23.0,11.0,93.0,168.0,800.0,1304.0,1371.0,1307.0,1218.0,1298.0,1020.0,1025.0,171.0,191.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,35.0,85.0,556.0,1125.0,1268.0,1348.0,971.0,1256.0,1374.0,1286.0,304.0,389.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,27.0,364.0,881.0,910.0,1145.0,728.0,1134.0,1725.0,1718.0,645.0,707.0,8.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,153.0,592.0,564.0,804.0,459.0,817.0,2074.0,2001.0,1215.0,1287.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,203.0,152.0,331.0,214.0,391.0,1229.0,1377.0,3139.0,2840.0,106.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,22.0,66.0,82.0,77.0,410.0,672.0,4176.0,3913.0,545.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,53.0,206.0,415.0,9316.0
