Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,Brighton & Hove Albion,AFC Bournemouth,Chelsea,Brentford,Fulham,Everton,Sunderland,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6640.0,3360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3360.0,6640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6248.0,2471.0,1280.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2624.0,3964.0,3359.0,43.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1050.0,3346.0,4977.0,436.0,31.0,91.0,60.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,70.0,188.0,354.0,4603.0,1204.0,1471.0,1133.0,651.0,247.0,72.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,31.0,29.0,2143.0,1828.0,2271.0,1673.0,1167.0,591.0,227.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1312.0,1801.0,2125.0,1781.0,1541.0,951.0,394.0,53.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,775.0,1787.0,1586.0,1827.0,1716.0,1435.0,663.0,112.0,96.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,425.0,1581.0,1131.0,1513.0,1878.0,1938.0,1029.0,259.0,198.0,42.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,190.0,1158.0,788.0,1168.0,1844.0,2284.0,1458.0,479.0,489.0,115.0,27.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,58.0,462.0,390.0,564.0,824.0,1610.0,2761.0,1323.0,1306.0,547.0,151.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,13.0,134.0,110.0,218.0,305.0,674.0,1860.0,2431.0,2464.0,1244.0,502.0,43.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,13.0,29.0,51.0,60.0,228.0,1125.0,2800.0,2630.0,1980.0,940.0,124.0,19.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,41.0,364.0,1925.0,1765.0,3318.0,2117.0,339.0,114.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,556.0,839.0,2169.0,4706.0,1107.0,576.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,158.0,512.0,1330.0,4642.0,3330.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,69.0,221.0,3741.0,5959.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8067.0,1933.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933.0,8067.0
