Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Athletic Club,Real Sociedad,Osasuna,Rayo Vallecano,Espanyol,Valencia,Elche,Mallorca,Girona,Alavés,Sevilla,Levante,Real Oviedo
500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,495.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,474.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,21.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,439.0,34.0,17.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,53.0,224.0,100.0,21.0,87.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,115.0,145.0,45.0,120.0,49.0,11.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,62.0,112.0,91.0,131.0,59.0,10.0,20.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,43.0,64.0,116.0,75.0,101.0,27.0,29.0,6.0,17.0,18.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,17.0,40.0,109.0,40.0,117.0,45.0,44.0,4.0,33.0,31.0,16.0,3.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,11.0,59.0,25.0,80.0,78.0,50.0,32.0,73.0,47.0,36.0,5.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,7.0,26.0,7.0,40.0,92.0,73.0,39.0,82.0,81.0,33.0,16.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,21.0,3.0,21.0,62.0,77.0,75.0,73.0,84.0,47.0,28.0,2.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,14.0,58.0,75.0,79.0,61.0,77.0,66.0,47.0,11.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,52.0,56.0,90.0,60.0,63.0,78.0,54.0,26.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,41.0,95.0,44.0,49.0,99.0,85.0,40.0,16.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,22.0,56.0,34.0,28.0,87.0,132.0,82.0,29.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,15.0,11.0,15.0,30.0,98.0,209.0,100.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,4.0,31.0,116.0,306.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,34.0,455.0
