Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Remo,Mirassol,Chapecoense
225.0,267.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232.0,196.0,37.0,16.0,11.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,32.0,242.0,83.0,66.0,34.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,3.0,107.0,129.0,124.0,73.0,9.0,11.0,11.0,3.0,11.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2.0,1.0,55.0,105.0,110.0,98.0,22.0,25.0,30.0,11.0,14.0,5.0,4.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0
2.0,1.0,28.0,80.0,77.0,92.0,48.0,33.0,37.0,25.0,24.0,14.0,4.0,8.0,2.0,11.0,14.0,0.0,0.0,0.0
0.0,0.0,13.0,32.0,50.0,57.0,52.0,63.0,51.0,39.0,46.0,29.0,19.0,17.0,4.0,14.0,13.0,1.0,0.0,0.0
0.0,0.0,8.0,19.0,24.0,56.0,58.0,57.0,52.0,44.0,55.0,45.0,14.0,23.0,8.0,18.0,19.0,0.0,0.0,0.0
0.0,0.0,0.0,15.0,16.0,30.0,48.0,57.0,42.0,67.0,35.0,41.0,27.0,38.0,15.0,32.0,34.0,1.0,2.0,0.0
0.0,0.0,3.0,8.0,6.0,12.0,57.0,61.0,55.0,39.0,38.0,42.0,44.0,45.0,16.0,36.0,36.0,1.0,1.0,0.0
0.0,0.0,0.0,5.0,6.0,19.0,48.0,50.0,42.0,44.0,52.0,46.0,31.0,40.0,23.0,41.0,43.0,5.0,5.0,0.0
0.0,0.0,1.0,4.0,4.0,8.0,46.0,35.0,49.0,37.0,56.0,44.0,39.0,48.0,26.0,52.0,34.0,5.0,12.0,0.0
0.0,0.0,0.0,2.0,0.0,6.0,29.0,29.0,34.0,48.0,49.0,49.0,46.0,50.0,49.0,44.0,53.0,4.0,8.0,0.0
0.0,0.0,0.0,1.0,3.0,3.0,24.0,23.0,34.0,40.0,29.0,48.0,46.0,53.0,55.0,55.0,55.0,17.0,13.0,1.0
0.0,0.0,0.0,0.0,1.0,3.0,20.0,22.0,22.0,34.0,28.0,47.0,51.0,48.0,63.0,57.0,50.0,27.0,26.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,19.0,13.0,19.0,30.0,31.0,31.0,59.0,52.0,62.0,50.0,52.0,41.0,40.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,10.0,13.0,10.0,17.0,17.0,23.0,60.0,37.0,66.0,39.0,52.0,78.0,68.0,9.0
0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,6.0,16.0,11.0,20.0,29.0,24.0,69.0,34.0,28.0,110.0,123.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,9.0,25.0,10.0,36.0,7.0,11.0,170.0,149.0,73.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,40.0,53.0,399.0
