Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Red Bull Bragantino,Bahia,Coritiba,Botafogo,Atlético-MG,Internacional,Vasco da Gama,Cruzeiro,Vitória,Grêmio,Santos,Corinthians,Remo,Mirassol,Chapecoense
6063.0,3494.0,354.0,33.0,13.0,15.0,1.0,16.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3145.0,4851.0,1317.0,202.0,106.0,87.0,19.0,163.0,21.0,16.0,57.0,3.0,6.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0
609.0,1177.0,4037.0,1143.0,715.0,425.0,173.0,957.0,133.0,133.0,377.0,40.0,43.0,7.0,17.0,7.0,7.0,0.0,0.0,0.0
125.0,307.0,1768.0,1757.0,1295.0,925.0,369.0,1552.0,335.0,332.0,798.0,138.0,142.0,37.0,53.0,34.0,21.0,12.0,0.0,0.0
38.0,88.0,991.0,1573.0,1328.0,1168.0,648.0,1432.0,525.0,464.0,974.0,222.0,212.0,76.0,114.0,71.0,63.0,12.0,1.0,0.0
12.0,46.0,614.0,1231.0,1270.0,1198.0,811.0,1273.0,695.0,617.0,1081.0,343.0,305.0,126.0,169.0,89.0,82.0,35.0,3.0,0.0
4.0,25.0,349.0,1017.0,1077.0,1191.0,883.0,1108.0,800.0,744.0,1088.0,439.0,458.0,207.0,246.0,171.0,148.0,40.0,5.0,0.0
3.0,4.0,235.0,788.0,960.0,1061.0,1018.0,928.0,856.0,858.0,1079.0,517.0,533.0,320.0,332.0,219.0,205.0,74.0,10.0,0.0
0.0,1.0,141.0,598.0,830.0,962.0,967.0,728.0,1016.0,972.0,912.0,719.0,613.0,385.0,479.0,257.0,280.0,111.0,29.0,0.0
1.0,5.0,85.0,494.0,641.0,756.0,931.0,513.0,1022.0,983.0,844.0,824.0,744.0,540.0,612.0,380.0,412.0,180.0,33.0,0.0
0.0,1.0,50.0,379.0,511.0,623.0,926.0,458.0,934.0,1019.0,683.0,937.0,798.0,626.0,715.0,521.0,527.0,237.0,54.0,1.0
0.0,1.0,26.0,298.0,400.0,514.0,795.0,299.0,895.0,891.0,602.0,964.0,908.0,815.0,870.0,667.0,640.0,326.0,87.0,2.0
0.0,0.0,12.0,195.0,271.0,363.0,720.0,215.0,777.0,823.0,474.0,961.0,914.0,960.0,1026.0,806.0,845.0,495.0,143.0,0.0
0.0,0.0,16.0,132.0,237.0,283.0,569.0,136.0,681.0,701.0,355.0,954.0,988.0,1082.0,1070.0,940.0,1021.0,616.0,218.0,1.0
0.0,0.0,3.0,78.0,168.0,191.0,489.0,101.0,509.0,555.0,299.0,930.0,962.0,1146.0,1087.0,1150.0,1167.0,822.0,335.0,8.0
0.0,0.0,2.0,46.0,95.0,124.0,311.0,75.0,355.0,410.0,200.0,765.0,850.0,1236.0,1151.0,1285.0,1294.0,1215.0,576.0,10.0
0.0,0.0,0.0,25.0,55.0,71.0,235.0,30.0,273.0,260.0,90.0,617.0,790.0,1114.0,1001.0,1422.0,1414.0,1569.0,990.0,44.0
0.0,0.0,0.0,10.0,23.0,35.0,109.0,13.0,130.0,173.0,63.0,451.0,546.0,911.0,738.0,1245.0,1198.0,2195.0,1992.0,168.0
0.0,0.0,0.0,1.0,5.0,8.0,25.0,3.0,42.0,46.0,13.0,167.0,182.0,388.0,298.0,688.0,635.0,1864.0,4758.0,877.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,8.0,6.0,20.0,20.0,48.0,40.0,197.0,766.0,8889.0
