Flamengo,Palmeiras,Athletico Paranaense,Bahia,Fluminense,Cruzeiro,Atlético-MG,Santos,Coritiba,Red Bull Bragantino,São Paulo,Botafogo,Vitória,Corinthians,Mirassol,Vasco da Gama,Grêmio,Internacional,Remo,Chapecoense
7048.0,2952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2937.0,6955.0,80.0,6.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,85.0,5033.0,1332.0,2475.0,910.0,107.0,14.0,1.0,14.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,2525.0,2163.0,3067.0,1680.0,339.0,63.0,6.0,60.0,58.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1371.0,2589.0,2297.0,2225.0,815.0,177.0,34.0,193.0,150.0,130.0,4.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,646.0,2014.0,1333.0,2359.0,1682.0,426.0,109.0,575.0,376.0,395.0,14.0,33.0,26.0,11.0,1.0,0.0,0.0,0.0
0.0,0.0,234.0,1064.0,483.0,1442.0,2442.0,935.0,279.0,1046.0,850.0,931.0,62.0,98.0,91.0,38.0,4.0,1.0,0.0,0.0
0.0,0.0,75.0,461.0,206.0,729.0,1665.0,1347.0,590.0,1474.0,1387.0,1359.0,158.0,225.0,222.0,86.0,13.0,3.0,0.0,0.0
0.0,0.0,20.0,211.0,78.0,366.0,1102.0,1397.0,867.0,1545.0,1547.0,1543.0,278.0,452.0,361.0,205.0,24.0,4.0,0.0,0.0
0.0,0.0,6.0,98.0,19.0,150.0,747.0,1362.0,1218.0,1452.0,1451.0,1477.0,367.0,624.0,593.0,336.0,73.0,27.0,0.0,0.0
0.0,0.0,7.0,36.0,20.0,77.0,483.0,1265.0,1449.0,1109.0,1272.0,1311.0,538.0,840.0,872.0,549.0,113.0,58.0,1.0,0.0
0.0,0.0,3.0,16.0,2.0,48.0,291.0,1056.0,1555.0,887.0,1020.0,1012.0,771.0,1167.0,1069.0,770.0,195.0,136.0,2.0,0.0
0.0,0.0,0.0,8.0,1.0,8.0,173.0,803.0,1415.0,676.0,784.0,755.0,1054.0,1295.0,1282.0,1063.0,416.0,263.0,4.0,0.0
0.0,0.0,0.0,1.0,2.0,0.0,94.0,569.0,1141.0,438.0,495.0,512.0,1356.0,1384.0,1493.0,1383.0,651.0,473.0,8.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,41.0,351.0,698.0,321.0,329.0,329.0,1598.0,1445.0,1423.0,1663.0,947.0,819.0,35.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,16.0,169.0,423.0,144.0,185.0,157.0,1696.0,1214.0,1191.0,1696.0,1531.0,1493.0,84.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,55.0,184.0,52.0,71.0,45.0,1364.0,798.0,878.0,1391.0,2452.0,2407.0,298.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,10.0,13.0,11.0,686.0,373.0,464.0,717.0,2904.0,3567.0,1169.0,46.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,53.0,42.0,32.0,88.0,667.0,734.0,7602.0,775.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,15.0,797.0,9177.0
