AS Roma,Internazionale,Lazio,Cagliari,Como,AC Milan,Frosinone,Juventus,Sassuolo,Napoli,Atalanta,Lecce,Udinese,Torino,Monza,Fiorentina,Bologna,Parma,Genoa,Venezia
2454.0,5255.0,75.0,6.0,1666.0,117.0,1.0,260.0,1.0,121.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3012.0,2529.0,287.0,45.0,2445.0,358.0,6.0,693.0,18.0,446.0,151.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2137.0,1243.0,666.0,156.0,2530.0,757.0,34.0,1201.0,51.0,785.0,396.0,1.0,28.0,2.0,0.0,5.0,7.0,0.0,1.0,0.0
1096.0,527.0,1092.0,366.0,1460.0,1315.0,68.0,1771.0,135.0,1287.0,745.0,9.0,56.0,9.0,0.0,20.0,35.0,3.0,6.0,0.0
583.0,245.0,1382.0,578.0,848.0,1430.0,170.0,1613.0,276.0,1478.0,1026.0,39.0,151.0,23.0,3.0,46.0,76.0,3.0,30.0,0.0
347.0,113.0,1427.0,831.0,491.0,1490.0,283.0,1315.0,478.0,1478.0,1148.0,61.0,211.0,53.0,4.0,84.0,138.0,14.0,34.0,0.0
188.0,52.0,1307.0,1107.0,262.0,1258.0,414.0,1066.0,648.0,1262.0,1317.0,99.0,392.0,102.0,7.0,163.0,261.0,23.0,72.0,0.0
95.0,24.0,1102.0,1184.0,144.0,1025.0,663.0,775.0,841.0,1008.0,1341.0,212.0,550.0,179.0,27.0,234.0,402.0,51.0,143.0,0.0
43.0,8.0,913.0,1220.0,80.0,809.0,779.0,536.0,1039.0,731.0,1088.0,337.0,766.0,291.0,39.0,367.0,578.0,122.0,254.0,0.0
24.0,3.0,639.0,1110.0,39.0,523.0,1019.0,335.0,1154.0,525.0,823.0,495.0,997.0,463.0,82.0,505.0,727.0,168.0,369.0,0.0
12.0,0.0,431.0,895.0,18.0,349.0,1050.0,192.0,1147.0,358.0,662.0,645.0,1112.0,631.0,139.0,645.0,907.0,302.0,505.0,0.0
5.0,1.0,277.0,768.0,9.0,218.0,1068.0,116.0,1006.0,206.0,454.0,801.0,1115.0,778.0,207.0,886.0,1043.0,416.0,622.0,4.0
2.0,0.0,169.0,598.0,5.0,157.0,1039.0,53.0,909.0,140.0,312.0,1006.0,1041.0,937.0,302.0,901.0,1034.0,573.0,816.0,6.0
2.0,0.0,117.0,449.0,3.0,99.0,924.0,40.0,740.0,78.0,208.0,1123.0,964.0,1102.0,449.0,1011.0,1041.0,705.0,934.0,11.0
0.0,0.0,62.0,285.0,0.0,47.0,803.0,17.0,556.0,47.0,133.0,1172.0,811.0,1129.0,644.0,1162.0,1066.0,967.0,1085.0,14.0
0.0,0.0,25.0,213.0,0.0,22.0,622.0,8.0,424.0,30.0,86.0,1170.0,686.0,1179.0,947.0,1125.0,944.0,1202.0,1264.0,53.0
0.0,0.0,19.0,111.0,0.0,15.0,527.0,9.0,296.0,9.0,40.0,1176.0,537.0,1234.0,1363.0,1023.0,774.0,1468.0,1257.0,142.0
0.0,0.0,8.0,57.0,0.0,9.0,338.0,0.0,196.0,7.0,19.0,945.0,353.0,1044.0,2005.0,974.0,587.0,1790.0,1313.0,355.0
0.0,0.0,1.0,21.0,0.0,2.0,173.0,0.0,72.0,4.0,6.0,628.0,197.0,714.0,3033.0,753.0,334.0,1842.0,1110.0,1110.0
0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,13.0,0.0,1.0,80.0,26.0,129.0,749.0,95.0,46.0,351.0,185.0,8305.0
