Swansea City,West Ham United,Middlesbrough,West Bromwich Albion,Queens Park Rangers,Stoke City,Bristol City,Charlton Athletic,Wolverhampton Wanderers,Birmingham City,Millwall,Lincoln City,Southampton,Wrexham,Norwich City,Blackburn Rovers,Sheffield United,Portsmouth,Watford,Cardiff City,Bolton Wanderers,Derby County,Preston North End,Burnley
192.0,6454.0,524.0,25.0,8.0,8.0,20.0,0.0,2095.0,20.0,74.0,0.0,505.0,14.0,50.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
732.0,2137.0,1339.0,134.0,38.0,51.0,78.0,9.0,3309.0,109.0,326.0,1.0,1404.0,62.0,207.0,5.0,38.0,4.0,3.0,0.0,0.0,10.0,0.0,4.0
1097.0,774.0,1856.0,332.0,130.0,144.0,205.0,21.0,1865.0,290.0,622.0,3.0,1880.0,172.0,416.0,21.0,92.0,18.0,10.0,0.0,0.0,36.0,2.0,14.0
1311.0,334.0,1564.0,482.0,227.0,284.0,359.0,68.0,1058.0,492.0,927.0,11.0,1613.0,284.0,590.0,58.0,178.0,29.0,23.0,0.0,0.0,67.0,4.0,37.0
1228.0,152.0,1288.0,694.0,306.0,463.0,473.0,96.0,641.0,575.0,1074.0,15.0,1156.0,342.0,802.0,105.0,291.0,66.0,42.0,5.0,0.0,123.0,7.0,56.0
1104.0,70.0,887.0,755.0,492.0,560.0,586.0,151.0,376.0,701.0,995.0,29.0,902.0,536.0,837.0,129.0,420.0,107.0,69.0,6.0,3.0,176.0,20.0,89.0
927.0,37.0,674.0,850.0,503.0,623.0,685.0,197.0,215.0,822.0,940.0,51.0,678.0,544.0,875.0,206.0,455.0,149.0,133.0,10.0,2.0,248.0,21.0,155.0
759.0,17.0,515.0,844.0,590.0,670.0,686.0,284.0,165.0,773.0,847.0,62.0,498.0,670.0,853.0,264.0,551.0,205.0,143.0,23.0,6.0,329.0,50.0,196.0
596.0,12.0,399.0,847.0,635.0,686.0,786.0,382.0,77.0,782.0,775.0,88.0,365.0,698.0,814.0,320.0,589.0,253.0,189.0,30.0,8.0,357.0,58.0,254.0
503.0,9.0,266.0,774.0,656.0,758.0,738.0,422.0,80.0,773.0,668.0,137.0,268.0,742.0,749.0,404.0,639.0,315.0,264.0,32.0,15.0,433.0,80.0,275.0
375.0,1.0,216.0,705.0,673.0,736.0,754.0,460.0,50.0,715.0,572.0,194.0,220.0,731.0,689.0,467.0,695.0,375.0,325.0,55.0,21.0,488.0,108.0,375.0
283.0,2.0,152.0,655.0,713.0,700.0,720.0,559.0,20.0,740.0,480.0,217.0,152.0,709.0,578.0,520.0,682.0,473.0,391.0,73.0,27.0,578.0,142.0,434.0
244.0,0.0,91.0,571.0,694.0,647.0,692.0,597.0,10.0,609.0,365.0,317.0,119.0,704.0,541.0,627.0,725.0,540.0,414.0,107.0,55.0,615.0,220.0,496.0
169.0,0.0,76.0,472.0,698.0,625.0,636.0,698.0,15.0,514.0,363.0,361.0,77.0,663.0,474.0,653.0,689.0,577.0,521.0,139.0,65.0,694.0,243.0,578.0
157.0,1.0,57.0,443.0,688.0,599.0,521.0,696.0,13.0,492.0,268.0,471.0,64.0,625.0,365.0,716.0,651.0,691.0,567.0,202.0,101.0,662.0,319.0,631.0
109.0,0.0,43.0,328.0,586.0,548.0,488.0,761.0,7.0,413.0,202.0,547.0,36.0,523.0,297.0,798.0,656.0,695.0,721.0,281.0,115.0,718.0,419.0,709.0
80.0,0.0,26.0,307.0,521.0,456.0,441.0,761.0,1.0,313.0,179.0,706.0,23.0,491.0,270.0,764.0,564.0,831.0,745.0,367.0,166.0,748.0,513.0,727.0
52.0,0.0,11.0,246.0,501.0,413.0,327.0,807.0,1.0,273.0,107.0,822.0,13.0,404.0,199.0,749.0,591.0,795.0,794.0,496.0,242.0,728.0,627.0,802.0
32.0,0.0,7.0,183.0,408.0,360.0,275.0,748.0,1.0,198.0,85.0,879.0,14.0,350.0,154.0,793.0,433.0,805.0,887.0,644.0,366.0,711.0,801.0,866.0
28.0,0.0,5.0,140.0,344.0,267.0,206.0,684.0,1.0,172.0,57.0,1104.0,10.0,278.0,114.0,733.0,372.0,837.0,899.0,802.0,526.0,708.0,895.0,818.0
11.0,0.0,2.0,102.0,246.0,186.0,155.0,604.0,0.0,114.0,44.0,1105.0,0.0,231.0,62.0,618.0,296.0,766.0,952.0,1182.0,827.0,585.0,1148.0,764.0
9.0,0.0,1.0,64.0,202.0,129.0,107.0,500.0,0.0,66.0,22.0,1172.0,3.0,118.0,41.0,512.0,220.0,666.0,781.0,1526.0,1243.0,479.0,1421.0,718.0
1.0,0.0,1.0,36.0,94.0,67.0,45.0,333.0,0.0,33.0,7.0,1031.0,0.0,84.0,19.0,354.0,117.0,500.0,724.0,1989.0,2055.0,357.0,1522.0,631.0
1.0,0.0,0.0,11.0,47.0,20.0,17.0,162.0,0.0,11.0,1.0,677.0,0.0,25.0,4.0,184.0,49.0,301.0,403.0,2031.0,4157.0,148.0,1380.0,371.0
