Barcelona,Real Madrid,Real Betis,Atlético Madrid,Sevilla,Alavés,Deportivo La Coruña,Athletic Club,Rayo Vallecano,Osasuna,Celta Vigo,Espanyol,Real Sociedad,Racing Santander,Villarreal,Levante,Getafe,Elche,Valencia,Málaga
8903.0,995.0,40.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005.0,6919.0,770.0,1104.0,17.0,21.0,2.0,3.0,6.0,3.0,20.0,2.0,5.0,0.0,119.0,3.0,0.0,0.0,1.0,0.0
83.0,1502.0,3247.0,3594.0,187.0,192.0,37.0,46.0,80.0,22.0,127.0,21.0,109.0,0.0,680.0,50.0,14.0,7.0,2.0,0.0
7.0,409.0,2850.0,2644.0,535.0,425.0,154.0,177.0,278.0,67.0,443.0,71.0,312.0,0.0,1369.0,123.0,55.0,37.0,44.0,0.0
2.0,123.0,1381.0,1186.0,921.0,821.0,280.0,372.0,529.0,140.0,841.0,185.0,620.0,0.0,1912.0,280.0,178.0,128.0,101.0,0.0
0.0,36.0,685.0,600.0,1127.0,1027.0,480.0,544.0,698.0,257.0,927.0,306.0,756.0,4.0,1439.0,464.0,238.0,225.0,187.0,0.0
0.0,9.0,383.0,341.0,1119.0,987.0,597.0,596.0,789.0,384.0,1016.0,408.0,869.0,11.0,1099.0,545.0,321.0,268.0,256.0,2.0
0.0,5.0,243.0,195.0,1011.0,993.0,636.0,704.0,835.0,484.0,912.0,480.0,848.0,16.0,825.0,628.0,423.0,412.0,349.0,1.0
0.0,2.0,132.0,101.0,912.0,849.0,694.0,765.0,787.0,600.0,875.0,579.0,882.0,34.0,673.0,709.0,503.0,484.0,415.0,4.0
0.0,0.0,101.0,71.0,781.0,829.0,713.0,823.0,812.0,624.0,812.0,660.0,855.0,47.0,469.0,760.0,595.0,545.0,502.0,1.0
0.0,0.0,57.0,42.0,705.0,804.0,766.0,746.0,774.0,691.0,754.0,719.0,806.0,60.0,400.0,744.0,677.0,661.0,589.0,5.0
0.0,0.0,42.0,27.0,612.0,713.0,808.0,775.0,789.0,751.0,690.0,750.0,755.0,89.0,288.0,808.0,737.0,710.0,646.0,10.0
0.0,0.0,26.0,12.0,555.0,572.0,775.0,815.0,763.0,834.0,612.0,825.0,672.0,138.0,249.0,803.0,787.0,816.0,731.0,15.0
0.0,0.0,19.0,15.0,485.0,443.0,821.0,780.0,684.0,897.0,538.0,875.0,654.0,203.0,179.0,803.0,906.0,851.0,812.0,35.0
0.0,0.0,13.0,3.0,375.0,423.0,825.0,718.0,644.0,903.0,449.0,949.0,553.0,289.0,122.0,853.0,894.0,969.0,963.0,55.0
0.0,0.0,6.0,4.0,263.0,381.0,814.0,733.0,558.0,961.0,386.0,958.0,466.0,471.0,76.0,734.0,1011.0,998.0,1081.0,99.0
0.0,0.0,3.0,0.0,213.0,279.0,675.0,624.0,442.0,930.0,317.0,951.0,436.0,799.0,57.0,717.0,1041.0,1137.0,1144.0,235.0
0.0,0.0,2.0,0.0,130.0,163.0,589.0,508.0,386.0,921.0,195.0,800.0,274.0,1483.0,33.0,630.0,943.0,1096.0,1288.0,559.0
0.0,0.0,0.0,0.0,48.0,70.0,282.0,224.0,124.0,427.0,72.0,386.0,111.0,4007.0,10.0,293.0,548.0,529.0,714.0,2155.0
0.0,0.0,0.0,0.0,3.0,8.0,52.0,47.0,22.0,104.0,14.0,75.0,17.0,2349.0,1.0,53.0,129.0,127.0,175.0,6824.0
