Manchester City,Arsenal,Brighton & Hove Albion,Brentford,Everton,Leeds United,Hull City,Newcastle United,Chelsea,Liverpool,Ipswich Town,Nottingham Forest,Manchester United,Sunderland,Aston Villa,AFC Bournemouth,Crystal Palace,Coventry City,Tottenham Hotspur,Fulham
5167.0,3909.0,435.0,143.0,30.0,52.0,2.0,19.0,22.0,101.0,0.0,2.0,88.0,2.0,8.0,18.0,0.0,0.0,0.0,2.0
3139.0,3769.0,1126.0,419.0,140.0,222.0,16.0,92.0,110.0,335.0,0.0,30.0,440.0,15.0,39.0,98.0,4.0,0.0,0.0,6.0
940.0,1281.0,2163.0,1067.0,450.0,678.0,48.0,315.0,371.0,885.0,1.0,136.0,1081.0,68.0,153.0,305.0,11.0,0.0,6.0,41.0
387.0,526.0,1636.0,1238.0,630.0,907.0,105.0,477.0,548.0,1027.0,3.0,260.0,1216.0,146.0,273.0,488.0,37.0,0.0,11.0,85.0
160.0,253.0,1227.0,1232.0,745.0,1012.0,140.0,597.0,626.0,1072.0,8.0,374.0,1179.0,199.0,390.0,574.0,69.0,0.0,21.0,122.0
99.0,108.0,867.0,1029.0,861.0,992.0,216.0,741.0,737.0,993.0,12.0,481.0,1081.0,289.0,491.0,700.0,106.0,1.0,42.0,154.0
45.0,79.0,703.0,958.0,848.0,932.0,309.0,756.0,834.0,972.0,19.0,522.0,902.0,388.0,577.0,733.0,124.0,0.0,53.0,246.0
30.0,37.0,477.0,820.0,889.0,908.0,351.0,803.0,885.0,902.0,32.0,659.0,770.0,428.0,631.0,795.0,191.0,1.0,99.0,292.0
19.0,19.0,360.0,712.0,865.0,790.0,457.0,876.0,807.0,691.0,57.0,711.0,731.0,552.0,741.0,784.0,274.0,0.0,164.0,390.0
9.0,4.0,294.0,563.0,840.0,682.0,539.0,867.0,806.0,687.0,77.0,767.0,592.0,686.0,757.0,851.0,345.0,0.0,184.0,450.0
1.0,7.0,255.0,515.0,759.0,632.0,664.0,771.0,862.0,559.0,119.0,798.0,497.0,673.0,871.0,742.0,431.0,0.0,268.0,576.0
2.0,4.0,150.0,386.0,732.0,593.0,798.0,824.0,729.0,440.0,171.0,844.0,414.0,772.0,824.0,751.0,553.0,2.0,335.0,676.0
1.0,2.0,112.0,304.0,602.0,458.0,864.0,705.0,700.0,430.0,258.0,861.0,322.0,875.0,816.0,757.0,687.0,4.0,462.0,780.0
0.0,1.0,74.0,249.0,490.0,396.0,969.0,645.0,602.0,310.0,385.0,844.0,234.0,959.0,849.0,650.0,785.0,6.0,616.0,936.0
0.0,1.0,62.0,160.0,397.0,273.0,1060.0,556.0,499.0,239.0,523.0,809.0,192.0,978.0,776.0,553.0,985.0,14.0,851.0,1072.0
1.0,0.0,32.0,94.0,295.0,225.0,1072.0,391.0,341.0,170.0,881.0,716.0,133.0,945.0,660.0,514.0,1190.0,40.0,1139.0,1161.0
0.0,0.0,19.0,59.0,232.0,133.0,977.0,306.0,282.0,114.0,1273.0,568.0,84.0,915.0,558.0,322.0,1381.0,126.0,1454.0,1197.0
0.0,0.0,7.0,37.0,146.0,75.0,859.0,176.0,159.0,47.0,2075.0,383.0,31.0,655.0,391.0,230.0,1490.0,320.0,1930.0,989.0
0.0,0.0,1.0,14.0,48.0,38.0,497.0,79.0,76.0,25.0,3268.0,210.0,11.0,410.0,176.0,120.0,1147.0,1137.0,2016.0,727.0
0.0,0.0,0.0,1.0,1.0,2.0,57.0,4.0,4.0,1.0,838.0,25.0,2.0,45.0,19.0,15.0,190.0,8349.0,349.0,98.0
