PSV Eindhoven,AZ Alkmaar,Feyenoord Rotterdam,Ajax Amsterdam,FC Twente,Fortuna Sittard,Excelsior,FC Groningen,Go Ahead Eagles,Heerenveen,NEC Nijmegen,Telstar,FC Utrecht,Sparta Rotterdam,SC Cambuur,PEC Zwolle,ADO Den Haag,Willem II
7867.0,359.0,915.0,478.0,340.0,3.0,6.0,9.0,5.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1381.0,1534.0,3253.0,2021.0,1402.0,13.0,43.0,97.0,82.0,42.0,113.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0
476.0,1969.0,2176.0,2396.0,1793.0,73.0,132.0,276.0,202.0,117.0,323.0,3.0,63.0,1.0,0.0,0.0,0.0,0.0
187.0,1947.0,1569.0,1893.0,1960.0,122.0,333.0,520.0,414.0,307.0,549.0,33.0,165.0,1.0,0.0,0.0,0.0,0.0
60.0,1618.0,962.0,1372.0,1757.0,307.0,582.0,862.0,639.0,568.0,917.0,76.0,274.0,4.0,0.0,2.0,0.0,0.0
20.0,983.0,537.0,800.0,1046.0,569.0,943.0,1300.0,1034.0,931.0,1139.0,154.0,524.0,17.0,0.0,3.0,0.0,0.0
6.0,658.0,272.0,474.0,708.0,711.0,1096.0,1402.0,1211.0,1117.0,1323.0,275.0,712.0,29.0,1.0,5.0,0.0,0.0
2.0,420.0,155.0,253.0,411.0,958.0,1286.0,1298.0,1283.0,1261.0,1284.0,408.0,902.0,58.0,2.0,19.0,0.0,0.0
0.0,236.0,84.0,166.0,276.0,1147.0,1282.0,1215.0,1262.0,1242.0,1160.0,606.0,1166.0,118.0,11.0,27.0,2.0,0.0
0.0,145.0,51.0,73.0,163.0,1356.0,1242.0,1042.0,1169.0,1269.0,1055.0,905.0,1264.0,200.0,21.0,44.0,1.0,0.0
0.0,83.0,17.0,44.0,91.0,1458.0,1161.0,864.0,983.0,1189.0,922.0,1175.0,1464.0,353.0,53.0,137.0,5.0,1.0
1.0,31.0,7.0,20.0,38.0,1501.0,958.0,612.0,830.0,951.0,696.0,1711.0,1426.0,734.0,136.0,319.0,28.0,1.0
0.0,12.0,2.0,7.0,10.0,1135.0,595.0,355.0,572.0,662.0,344.0,2340.0,1163.0,1476.0,382.0,826.0,99.0,20.0
0.0,5.0,0.0,3.0,5.0,458.0,253.0,112.0,235.0,246.0,125.0,1382.0,611.0,3104.0,1195.0,1820.0,359.0,87.0
0.0,0.0,0.0,0.0,0.0,155.0,71.0,29.0,64.0,74.0,29.0,631.0,180.0,2236.0,2348.0,2925.0,939.0,319.0
0.0,0.0,0.0,0.0,0.0,29.0,14.0,7.0,13.0,19.0,6.0,236.0,56.0,1139.0,3191.0,2343.0,1941.0,1006.0
0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,3.0,0.0,56.0,12.0,424.0,1905.0,1169.0,3845.0,2578.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,106.0,755.0,361.0,2781.0,5988.0
