AS Monaco,Lyon,Paris FC,Lille,Stade Rennais,Angers,Strasbourg,Le Mans,Brest,Paris Saint-Germain,Lorient,Toulouse,Lens,Troyes,Marseille,AJ Auxerre,Le Havre AC,Nice
1661.0,1607.0,404.0,1718.0,340.0,2.0,235.0,0.0,5.0,3320.0,21.0,18.0,524.0,0.0,138.0,7.0,0.0,0.0
1633.0,1669.0,554.0,1644.0,613.0,10.0,419.0,2.0,45.0,2154.0,42.0,43.0,854.0,0.0,305.0,8.0,4.0,1.0
1505.0,1497.0,801.0,1523.0,862.0,21.0,566.0,12.0,62.0,1475.0,93.0,111.0,1002.0,0.0,442.0,23.0,4.0,1.0
1329.0,1351.0,992.0,1292.0,964.0,35.0,758.0,27.0,97.0,1008.0,207.0,142.0,1162.0,0.0,584.0,33.0,14.0,5.0
1066.0,1050.0,1085.0,1096.0,1070.0,75.0,972.0,59.0,173.0,736.0,246.0,259.0,1222.0,0.0,779.0,84.0,19.0,9.0
873.0,851.0,1109.0,813.0,1181.0,130.0,1074.0,94.0,290.0,491.0,386.0,395.0,1192.0,0.0,947.0,118.0,38.0,18.0
639.0,678.0,1132.0,680.0,1190.0,210.0,1134.0,148.0,401.0,310.0,587.0,562.0,1001.0,2.0,1036.0,179.0,80.0,31.0
463.0,481.0,1063.0,445.0,1023.0,309.0,1165.0,227.0,595.0,227.0,694.0,718.0,888.0,3.0,1197.0,293.0,135.0,74.0
338.0,338.0,833.0,315.0,855.0,526.0,1047.0,368.0,767.0,129.0,890.0,889.0,725.0,4.0,1175.0,429.0,261.0,111.0
225.0,218.0,697.0,198.0,694.0,696.0,816.0,539.0,962.0,77.0,1104.0,1133.0,517.0,17.0,935.0,640.0,371.0,161.0
124.0,125.0,498.0,129.0,452.0,920.0,653.0,785.0,1149.0,35.0,1158.0,1228.0,353.0,36.0,743.0,770.0,552.0,290.0
89.0,76.0,372.0,73.0,294.0,1125.0,433.0,925.0,1185.0,19.0,1163.0,1144.0,244.0,53.0,597.0,1044.0,772.0,392.0
32.0,32.0,220.0,38.0,218.0,1253.0,302.0,1179.0,1126.0,7.0,1022.0,1060.0,156.0,108.0,450.0,1167.0,1019.0,611.0
16.0,17.0,115.0,25.0,122.0,1298.0,211.0,1354.0,1049.0,9.0,939.0,853.0,91.0,222.0,298.0,1273.0,1226.0,882.0
3.0,6.0,66.0,9.0,71.0,1211.0,113.0,1448.0,897.0,3.0,660.0,678.0,41.0,422.0,203.0,1340.0,1499.0,1330.0
4.0,2.0,50.0,2.0,36.0,1082.0,80.0,1339.0,651.0,0.0,453.0,448.0,21.0,828.0,109.0,1249.0,1744.0,1902.0
0.0,2.0,9.0,0.0,12.0,799.0,18.0,1090.0,420.0,0.0,266.0,249.0,6.0,1921.0,52.0,990.0,1561.0,2605.0
0.0,0.0,0.0,0.0,3.0,298.0,4.0,404.0,126.0,0.0,69.0,70.0,1.0,6384.0,10.0,353.0,701.0,1577.0
