Coventry City,Ipswich Town,Millwall,Southampton,Middlesbrough,Hull City,Wrexham,Derby County,Norwich City,Bristol City,Queens Park Rangers,Watford,Preston North End,Swansea City,Birmingham City,Stoke City,Sheffield United,Charlton Athletic,Blackburn Rovers,Portsmouth,West Bromwich Albion,Oxford United,Leicester City,Sheffield Wednesday
9931.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,7252.0,856.0,844.0,979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1539.0,2948.0,2794.0,2687.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,750.0,2933.0,2976.0,3189.0,148.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,374.0,2996.0,2970.0,2912.0,700.0,33.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,263.0,398.0,227.0,6846.0,1043.0,1139.0,62.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,18.0,6.0,1735.0,4025.0,3635.0,398.0,48.0,48.0,8.0,10.0,26.0,34.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,500.0,3748.0,3653.0,1071.0,290.0,204.0,67.0,43.0,121.0,220.0,37.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,38.0,887.0,1020.0,2882.0,1417.0,702.0,403.0,338.0,696.0,1148.0,202.0,266.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,212.0,349.0,1789.0,1605.0,1161.0,782.0,547.0,970.0,1533.0,460.0,577.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,45.0,127.0,1206.0,1404.0,1391.0,1023.0,845.0,1131.0,1364.0,585.0,840.0,35.0,0.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,990.0,1353.0,1330.0,1076.0,938.0,1140.0,1336.0,822.0,897.0,52.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,612.0,1245.0,1317.0,1306.0,1002.0,1212.0,1118.0,990.0,1038.0,129.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,918.0,1216.0,1373.0,1303.0,1266.0,973.0,1096.0,1178.0,172.0,0.0,63.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,768.0,1071.0,1273.0,1411.0,1234.0,858.0,1378.0,1306.0,304.0,0.0,106.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,613.0,915.0,1271.0,1455.0,1097.0,682.0,1669.0,1384.0,501.0,0.0,202.0,27.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,298.0,556.0,1101.0,1625.0,801.0,549.0,1656.0,1647.0,1067.0,4.0,503.0,122.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,86.0,300.0,456.0,294.0,169.0,882.0,683.0,4127.0,143.0,2082.0,634.0,83.0,18.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,17.0,25.0,11.0,16.0,204.0,120.0,2177.0,869.0,3442.0,2433.0,525.0,157.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,16.0,977.0,2367.0,1908.0,3143.0,1162.0,409.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,3799.0,1049.0,2021.0,1991.0,788.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,2266.0,496.0,1288.0,3947.0,1913.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,552.0,109.0,329.0,2289.0,6715.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
