Palmeiras,Flamengo,São Paulo,Fluminense,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Vitória,Botafogo,Grêmio,Vasco da Gama,Internacional,Santos,Corinthians,Cruzeiro,Remo,Chapecoense,Mirassol
6596.0,2275.0,369.0,233.0,412.0,92.0,7.0,10.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2193.0,3763.0,1216.0,928.0,1348.0,381.0,44.0,60.0,11.0,9.0,17.0,10.0,3.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0
729.0,1886.0,2144.0,1699.0,2011.0,930.0,160.0,190.0,39.0,28.0,47.0,48.0,22.0,45.0,19.0,2.0,1.0,0.0,0.0,0.0
308.0,1023.0,1905.0,1950.0,2055.0,1285.0,329.0,396.0,129.0,90.0,116.0,129.0,75.0,143.0,58.0,4.0,5.0,0.0,0.0,0.0
99.0,547.0,1524.0,1750.0,1640.0,1648.0,566.0,679.0,262.0,200.0,277.0,232.0,171.0,233.0,133.0,21.0,14.0,2.0,1.0,1.0
51.0,262.0,1094.0,1250.0,1059.0,1730.0,946.0,1031.0,463.0,296.0,387.0,388.0,306.0,435.0,216.0,47.0,32.0,5.0,0.0,2.0
13.0,126.0,699.0,804.0,599.0,1195.0,1167.0,1284.0,703.0,467.0,622.0,623.0,488.0,657.0,375.0,100.0,59.0,16.0,0.0,3.0
6.0,59.0,410.0,516.0,368.0,887.0,1226.0,1220.0,889.0,610.0,750.0,828.0,647.0,810.0,525.0,115.0,99.0,21.0,1.0,13.0
3.0,29.0,266.0,327.0,220.0,625.0,1116.0,1237.0,953.0,732.0,841.0,928.0,829.0,879.0,598.0,223.0,140.0,31.0,3.0,20.0
2.0,18.0,141.0,199.0,122.0,430.0,998.0,1008.0,1054.0,837.0,894.0,998.0,923.0,925.0,805.0,328.0,231.0,60.0,4.0,23.0
0.0,7.0,101.0,143.0,75.0,309.0,896.0,771.0,951.0,942.0,933.0,1009.0,1074.0,1022.0,903.0,414.0,294.0,98.0,16.0,42.0
0.0,4.0,64.0,76.0,41.0,178.0,695.0,662.0,975.0,1028.0,940.0,994.0,1000.0,1050.0,1015.0,572.0,441.0,155.0,21.0,89.0
0.0,0.0,34.0,62.0,21.0,123.0,617.0,497.0,901.0,985.0,1037.0,943.0,990.0,942.0,1109.0,722.0,614.0,210.0,42.0,151.0
0.0,0.0,20.0,33.0,18.0,94.0,456.0,365.0,822.0,1038.0,893.0,874.0,942.0,859.0,1081.0,988.0,822.0,359.0,77.0,259.0
0.0,1.0,8.0,16.0,9.0,45.0,351.0,224.0,698.0,978.0,820.0,718.0,889.0,784.0,1051.0,1194.0,1094.0,576.0,150.0,394.0
0.0,0.0,3.0,11.0,2.0,30.0,231.0,190.0,520.0,769.0,633.0,564.0,730.0,561.0,903.0,1577.0,1442.0,882.0,259.0,693.0
0.0,0.0,0.0,2.0,0.0,11.0,119.0,115.0,351.0,540.0,437.0,385.0,495.0,358.0,662.0,1536.0,1727.0,1461.0,590.0,1211.0
0.0,0.0,2.0,1.0,0.0,5.0,57.0,49.0,205.0,301.0,215.0,219.0,280.0,190.0,357.0,1214.0,1521.0,2168.0,1147.0,2069.0
0.0,0.0,0.0,0.0,0.0,2.0,15.0,11.0,69.0,121.0,114.0,88.0,119.0,81.0,147.0,702.0,1036.0,2429.0,2313.0,2753.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,29.0,26.0,19.0,17.0,10.0,40.0,241.0,428.0,1527.0,5376.0,2277.0
