Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,TSG Hoffenheim,Eintracht Frankfurt,SC Freiburg,Mainz,FC Augsburg,1. FC Union Berlin,FC Cologne,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9926.0,22.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,68.0,3132.0,5722.0,796.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,3931.0,3086.0,1915.0,1062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1919.0,919.0,4451.0,2711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,996.0,222.0,2831.0,5927.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,17.0,6324.0,3592.0,26.0,27.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3442.0,5981.0,314.0,177.0,54.0,1.0,23.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,202.0,389.0,4316.0,2378.0,1481.0,314.0,350.0,541.0,29.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,30.0,2511.0,2722.0,1866.0,941.0,872.0,925.0,118.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1362.0,1782.0,2063.0,1765.0,1466.0,1238.0,301.0,18.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,1269.0,1579.0,2067.0,1955.0,1648.0,604.0,63.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,825.0,1475.0,2206.0,2037.0,1814.0,1075.0,170.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,604.0,1122.0,1810.0,1839.0,2278.0,1677.0,442.0,14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,204.0,331.0,770.0,1238.0,1240.0,4425.0,1634.0,105.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,23.0,126.0,218.0,305.0,1717.0,6488.0,970.0,138.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,54.0,1098.0,6898.0,1946.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,2007.0,7910.0
