Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Rayo Vallecano,Valencia,Sevilla,Osasuna,Espanyol,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8831.0,1169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1169.0,8831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8832.0,1076.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1075.0,5979.0,2484.0,52.0,226.0,24.0,18.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,93.0,2170.0,4799.0,337.0,1185.0,316.0,202.0,722.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,678.0,1181.0,1574.0,3158.0,672.0,569.0,1405.0,537.0,16.0,185.0,10.0,14.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,91.0,607.0,2068.0,1747.0,1006.0,1102.0,1998.0,583.0,89.0,549.0,68.0,82.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,463.0,1484.0,1367.0,1036.0,1182.0,1903.0,902.0,181.0,691.0,300.0,427.0,58.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,1535.0,1147.0,1102.0,1089.0,1202.0,1372.0,216.0,658.0,537.0,700.0,189.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,1526.0,736.0,1651.0,1345.0,767.0,1246.0,298.0,733.0,620.0,768.0,203.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,963.0,329.0,2020.0,1810.0,632.0,874.0,590.0,1116.0,684.0,809.0,159.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,90.0,1459.0,1750.0,496.0,1081.0,1424.0,1523.0,744.0,862.0,194.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,14.0,611.0,776.0,448.0,1487.0,2021.0,1286.0,1183.0,1380.0,718.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,102.0,153.0,266.0,1212.0,1469.0,1270.0,1809.0,1907.0,1803.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,18.0,474.0,2079.0,1379.0,2284.0,1508.0,2253.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,1617.0,610.0,1761.0,1543.0,4412.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
