Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Vasco da Gama,Coritiba,Vitória,Cruzeiro,Botafogo,Atlético-MG,Internacional,Santos,Corinthians,Grêmio,Mirassol,Remo,Chapecoense
6394.0,3364.0,156.0,59.0,22.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3104.0,5365.0,848.0,337.0,222.0,25.0,24.0,21.0,17.0,3.0,8.0,7.0,3.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0
401.0,939.0,3839.0,1988.0,1406.0,228.0,205.0,266.0,253.0,51.0,57.0,67.0,58.0,102.0,87.0,31.0,22.0,0.0,0.0,0.0
74.0,231.0,2050.0,2497.0,1835.0,522.0,512.0,501.0,537.0,165.0,151.0,173.0,130.0,284.0,173.0,99.0,62.0,2.0,2.0,0.0
22.0,59.0,1249.0,1663.0,1713.0,780.0,747.0,749.0,818.0,264.0,305.0,283.0,244.0,420.0,332.0,178.0,167.0,4.0,3.0,0.0
2.0,25.0,669.0,1072.0,1248.0,981.0,902.0,877.0,918.0,390.0,422.0,464.0,367.0,651.0,468.0,283.0,248.0,7.0,6.0,0.0
2.0,11.0,413.0,677.0,897.0,1013.0,988.0,938.0,1025.0,525.0,503.0,583.0,398.0,720.0,585.0,352.0,337.0,19.0,14.0,0.0
0.0,3.0,297.0,491.0,700.0,920.0,923.0,933.0,972.0,611.0,572.0,707.0,576.0,782.0,604.0,476.0,388.0,29.0,16.0,0.0
0.0,3.0,187.0,405.0,503.0,919.0,894.0,925.0,896.0,694.0,643.0,742.0,582.0,834.0,722.0,513.0,458.0,46.0,34.0,0.0
0.0,0.0,123.0,244.0,409.0,813.0,849.0,842.0,809.0,815.0,678.0,796.0,677.0,850.0,781.0,637.0,556.0,75.0,46.0,0.0
1.0,0.0,65.0,203.0,293.0,805.0,787.0,782.0,726.0,801.0,764.0,878.0,770.0,838.0,763.0,728.0,601.0,117.0,75.0,3.0
0.0,0.0,46.0,128.0,238.0,650.0,719.0,714.0,687.0,856.0,791.0,889.0,826.0,843.0,852.0,831.0,685.0,152.0,91.0,2.0
0.0,0.0,30.0,92.0,188.0,648.0,656.0,620.0,626.0,896.0,828.0,838.0,883.0,753.0,889.0,855.0,804.0,239.0,155.0,0.0
0.0,0.0,17.0,64.0,128.0,537.0,520.0,590.0,530.0,855.0,893.0,851.0,945.0,753.0,862.0,991.0,911.0,331.0,221.0,1.0
0.0,0.0,4.0,38.0,97.0,461.0,501.0,452.0,439.0,914.0,875.0,837.0,906.0,670.0,820.0,1040.0,1065.0,503.0,371.0,7.0
0.0,0.0,5.0,25.0,62.0,321.0,367.0,328.0,326.0,861.0,878.0,747.0,1017.0,642.0,781.0,1066.0,1217.0,795.0,539.0,23.0
0.0,0.0,1.0,14.0,27.0,233.0,248.0,281.0,264.0,697.0,838.0,602.0,909.0,486.0,667.0,998.0,1279.0,1373.0,1010.0,73.0
0.0,0.0,1.0,3.0,10.0,114.0,119.0,136.0,122.0,422.0,549.0,383.0,523.0,255.0,451.0,651.0,803.0,2924.0,2238.0,296.0
0.0,0.0,0.0,0.0,2.0,27.0,35.0,44.0,31.0,166.0,233.0,138.0,178.0,104.0,141.0,253.0,369.0,2766.0,4299.0,1214.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,14.0,12.0,15.0,8.0,4.0,18.0,15.0,28.0,618.0,880.0,8381.0
