FC Augsburg,SC Freiburg,Borussia Dortmund,SV Elversberg,Mainz,Bayern Munich,Bayer Leverkusen,RB Leipzig,VfB Stuttgart,Werder Bremen,FC Cologne,SC Paderborn 07,Eintracht Frankfurt,Schalke 04,1. FC Union Berlin,TSG Hoffenheim,Borussia Mönchengladbach,Hamburg SV
19.0,75.0,1548.0,0.0,31.0,7822.0,184.0,114.0,182.0,0.0,3.0,0.0,3.0,0.0,0.0,18.0,0.0,1.0
260.0,377.0,4417.0,44.0,255.0,1588.0,1008.0,759.0,1049.0,11.0,30.0,0.0,34.0,0.0,8.0,149.0,8.0,3.0
555.0,734.0,1842.0,179.0,525.0,380.0,1861.0,1452.0,1713.0,41.0,85.0,1.0,123.0,0.0,33.0,421.0,35.0,20.0
759.0,989.0,950.0,321.0,748.0,131.0,1741.0,1469.0,1620.0,84.0,145.0,0.0,230.0,0.0,87.0,599.0,91.0,36.0
858.0,1110.0,514.0,445.0,981.0,42.0,1323.0,1384.0,1420.0,166.0,275.0,4.0,319.0,1.0,134.0,796.0,162.0,66.0
1035.0,1081.0,305.0,614.0,995.0,23.0,1046.0,1136.0,1118.0,266.0,406.0,4.0,491.0,0.0,256.0,873.0,236.0,115.0
1017.0,1075.0,177.0,672.0,1028.0,9.0,851.0,992.0,835.0,355.0,540.0,14.0,587.0,9.0,328.0,1019.0,312.0,180.0
987.0,958.0,96.0,866.0,993.0,4.0,637.0,763.0,661.0,472.0,643.0,19.0,712.0,10.0,427.0,1025.0,448.0,279.0
944.0,860.0,71.0,948.0,944.0,1.0,438.0,581.0,458.0,593.0,760.0,38.0,810.0,19.0,574.0,1006.0,546.0,409.0
854.0,737.0,37.0,986.0,840.0,0.0,304.0,451.0,324.0,725.0,937.0,85.0,804.0,26.0,713.0,981.0,707.0,489.0
726.0,599.0,24.0,980.0,734.0,0.0,232.0,347.0,217.0,858.0,1007.0,129.0,996.0,51.0,852.0,793.0,799.0,656.0
625.0,522.0,7.0,947.0,551.0,0.0,162.0,222.0,168.0,992.0,1040.0,239.0,1037.0,102.0,930.0,719.0,945.0,792.0
476.0,334.0,8.0,842.0,481.0,0.0,107.0,142.0,117.0,1146.0,1018.0,377.0,1027.0,173.0,1097.0,574.0,1099.0,982.0
368.0,254.0,1.0,803.0,373.0,0.0,58.0,88.0,67.0,1221.0,983.0,504.0,950.0,275.0,1223.0,425.0,1193.0,1214.0
274.0,159.0,3.0,621.0,262.0,0.0,30.0,54.0,32.0,1214.0,862.0,945.0,817.0,537.0,1250.0,297.0,1181.0,1462.0
169.0,100.0,0.0,437.0,176.0,0.0,11.0,35.0,16.0,1032.0,745.0,1622.0,630.0,1090.0,1104.0,191.0,1149.0,1493.0
59.0,28.0,0.0,224.0,63.0,0.0,6.0,9.0,1.0,583.0,379.0,3070.0,325.0,2505.0,685.0,85.0,750.0,1228.0
15.0,8.0,0.0,71.0,20.0,0.0,1.0,2.0,2.0,241.0,142.0,2949.0,105.0,5202.0,299.0,29.0,339.0,575.0
