AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Fortuna Sittard,Excelsior,Ajax Amsterdam,FC Twente,Go Ahead Eagles,FC Groningen,NEC Nijmegen,Sparta Rotterdam,Heerenveen,Telstar,PEC Zwolle,FC Utrecht,Willem II,ADO Den Haag,SC Cambuur
883.0,7896.0,557.0,6.0,27.0,271.0,212.0,25.0,8.0,107.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0
2956.0,1420.0,2079.0,59.0,234.0,1262.0,1033.0,146.0,101.0,639.0,1.0,45.0,11.0,0.0,14.0,0.0,0.0,0.0
2053.0,384.0,2129.0,158.0,440.0,1669.0,1344.0,412.0,234.0,972.0,9.0,97.0,31.0,2.0,66.0,0.0,0.0,0.0
1435.0,181.0,1643.0,283.0,665.0,1580.0,1541.0,589.0,404.0,1255.0,20.0,207.0,69.0,4.0,124.0,0.0,0.0,0.0
989.0,71.0,1202.0,477.0,861.0,1402.0,1436.0,790.0,602.0,1349.0,42.0,342.0,169.0,15.0,253.0,0.0,0.0,0.0
672.0,28.0,859.0,667.0,1020.0,1073.0,1304.0,989.0,759.0,1306.0,103.0,581.0,235.0,26.0,378.0,0.0,0.0,0.0
453.0,12.0,587.0,886.0,1068.0,913.0,975.0,1123.0,972.0,1133.0,153.0,710.0,374.0,86.0,555.0,0.0,0.0,0.0
254.0,6.0,362.0,1011.0,1156.0,662.0,739.0,1153.0,1168.0,957.0,254.0,923.0,511.0,110.0,733.0,1.0,0.0,0.0
156.0,2.0,234.0,1197.0,1162.0,468.0,502.0,1143.0,1224.0,774.0,383.0,1069.0,662.0,175.0,847.0,1.0,1.0,0.0
67.0,0.0,159.0,1206.0,991.0,300.0,381.0,1035.0,1175.0,547.0,584.0,1212.0,870.0,351.0,1111.0,1.0,9.0,1.0
37.0,0.0,87.0,1200.0,842.0,192.0,243.0,933.0,1077.0,396.0,843.0,1224.0,1127.0,515.0,1254.0,2.0,24.0,4.0
22.0,0.0,58.0,1083.0,655.0,114.0,165.0,675.0,932.0,288.0,1215.0,1264.0,1401.0,800.0,1274.0,16.0,27.0,11.0
14.0,0.0,33.0,837.0,494.0,69.0,72.0,523.0,696.0,168.0,1661.0,1023.0,1569.0,1376.0,1313.0,32.0,102.0,18.0
8.0,0.0,9.0,573.0,264.0,18.0,41.0,311.0,418.0,91.0,2093.0,816.0,1511.0,2154.0,1153.0,149.0,322.0,69.0
1.0,0.0,2.0,313.0,108.0,5.0,11.0,136.0,201.0,16.0,1955.0,405.0,1163.0,3127.0,749.0,516.0,941.0,351.0
0.0,0.0,0.0,41.0,11.0,2.0,1.0,13.0,25.0,2.0,539.0,69.0,253.0,934.0,143.0,2475.0,3759.0,1733.0
0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,131.0,9.0,39.0,254.0,24.0,3483.0,2890.0,3157.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,4.0,71.0,5.0,3324.0,1925.0,4656.0
