Swansea City,Middlesbrough,Queens Park Rangers,Bristol City,West Bromwich Albion,Charlton Athletic,Millwall,West Ham United,Wolverhampton Wanderers,Birmingham City,Wrexham,Norwich City,Stoke City,Portsmouth,Sheffield United,Blackburn Rovers,Lincoln City,Watford,Southampton,Derby County,Bolton Wanderers,Cardiff City,Preston North End,Burnley
380.0,1024.0,43.0,135.0,62.0,18.0,464.0,3947.0,2715.0,79.0,77.0,137.0,13.0,1.0,44.0,8.0,0.0,4.0,796.0,33.0,0.0,0.0,2.0,18.0
613.0,1447.0,121.0,323.0,175.0,62.0,773.0,2194.0,2207.0,174.0,186.0,315.0,33.0,19.0,110.0,8.0,0.0,13.0,1083.0,94.0,0.0,0.0,8.0,42.0
829.0,1401.0,229.0,494.0,251.0,123.0,1001.0,1288.0,1502.0,314.0,313.0,396.0,73.0,31.0,180.0,27.0,0.0,38.0,1243.0,153.0,0.0,0.0,10.0,104.0
857.0,1189.0,319.0,661.0,397.0,195.0,1054.0,822.0,1061.0,410.0,388.0,564.0,124.0,61.0,238.0,51.0,0.0,37.0,1142.0,248.0,0.0,0.0,16.0,166.0
902.0,1014.0,358.0,678.0,454.0,256.0,1011.0,545.0,746.0,512.0,527.0,675.0,166.0,89.0,316.0,83.0,0.0,73.0,1033.0,295.0,0.0,0.0,26.0,241.0
853.0,863.0,453.0,753.0,523.0,324.0,889.0,381.0,492.0,586.0,581.0,702.0,224.0,114.0,431.0,134.0,5.0,112.0,863.0,372.0,1.0,2.0,63.0,279.0
820.0,647.0,554.0,745.0,605.0,368.0,779.0,272.0,366.0,630.0,638.0,740.0,314.0,161.0,478.0,149.0,7.0,129.0,705.0,451.0,0.0,2.0,78.0,362.0
772.0,524.0,535.0,764.0,619.0,425.0,735.0,164.0,269.0,732.0,668.0,757.0,331.0,193.0,511.0,198.0,8.0,185.0,622.0,463.0,3.0,4.0,109.0,409.0
618.0,461.0,604.0,738.0,641.0,483.0,640.0,125.0,188.0,696.0,704.0,713.0,373.0,245.0,596.0,273.0,8.0,217.0,550.0,509.0,0.0,8.0,136.0,474.0
569.0,331.0,644.0,656.0,707.0,539.0,513.0,92.0,140.0,705.0,688.0,711.0,467.0,350.0,581.0,304.0,22.0,319.0,405.0,553.0,5.0,7.0,173.0,519.0
536.0,297.0,623.0,640.0,671.0,618.0,446.0,61.0,105.0,683.0,699.0,671.0,519.0,371.0,629.0,364.0,17.0,330.0,352.0,609.0,2.0,14.0,228.0,515.0
468.0,209.0,664.0,568.0,666.0,631.0,389.0,40.0,60.0,683.0,656.0,605.0,600.0,462.0,652.0,395.0,43.0,383.0,287.0,630.0,3.0,28.0,284.0,594.0
391.0,165.0,643.0,528.0,641.0,672.0,304.0,21.0,50.0,601.0,627.0,573.0,636.0,513.0,719.0,488.0,59.0,486.0,250.0,614.0,8.0,28.0,341.0,642.0
343.0,126.0,658.0,489.0,605.0,700.0,254.0,25.0,40.0,608.0,554.0,480.0,648.0,635.0,662.0,578.0,86.0,546.0,184.0,654.0,18.0,52.0,398.0,657.0
292.0,86.0,653.0,385.0,653.0,759.0,211.0,13.0,24.0,525.0,530.0,452.0,746.0,619.0,637.0,622.0,104.0,586.0,140.0,738.0,21.0,74.0,498.0,632.0
221.0,77.0,630.0,351.0,555.0,695.0,154.0,6.0,15.0,496.0,502.0,389.0,762.0,744.0,622.0,742.0,157.0,752.0,104.0,598.0,37.0,97.0,593.0,701.0
173.0,56.0,531.0,334.0,472.0,667.0,136.0,1.0,8.0,394.0,436.0,332.0,773.0,776.0,623.0,796.0,256.0,862.0,80.0,666.0,59.0,172.0,704.0,693.0
150.0,41.0,488.0,265.0,432.0,702.0,104.0,2.0,10.0,367.0,389.0,269.0,729.0,849.0,576.0,868.0,353.0,872.0,60.0,579.0,119.0,282.0,824.0,670.0
90.0,20.0,423.0,209.0,326.0,606.0,72.0,0.0,2.0,332.0,300.0,210.0,710.0,942.0,493.0,975.0,560.0,892.0,44.0,575.0,194.0,391.0,998.0,636.0
62.0,11.0,357.0,146.0,274.0,460.0,39.0,0.0,0.0,227.0,276.0,155.0,678.0,911.0,395.0,912.0,824.0,1012.0,27.0,466.0,359.0,623.0,1199.0,587.0
38.0,7.0,247.0,76.0,152.0,366.0,24.0,0.0,0.0,136.0,155.0,84.0,534.0,895.0,286.0,919.0,1349.0,923.0,19.0,354.0,643.0,1100.0,1203.0,490.0
16.0,4.0,152.0,49.0,81.0,196.0,6.0,1.0,0.0,77.0,75.0,47.0,350.0,580.0,143.0,629.0,2076.0,677.0,10.0,234.0,1362.0,1812.0,1092.0,331.0
7.0,0.0,60.0,12.0,34.0,106.0,2.0,0.0,0.0,27.0,24.0,19.0,147.0,337.0,60.0,339.0,2369.0,411.0,1.0,87.0,2408.0,2639.0,724.0,187.0
0.0,0.0,11.0,1.0,4.0,29.0,0.0,0.0,0.0,6.0,7.0,4.0,50.0,102.0,18.0,138.0,1697.0,141.0,0.0,25.0,4758.0,2665.0,293.0,51.0
