AS Roma,Internazionale,Como,AC Milan,Juventus,Lazio,Frosinone,Atalanta,Udinese,Sassuolo,Cagliari,Lecce,Napoli,Torino,Bologna,Parma,Monza,Venezia,Genoa,Fiorentina
2240.0,4916.0,1733.0,203.0,648.0,28.0,1.0,114.0,18.0,1.0,2.0,0.0,94.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2612.0,2442.0,2286.0,528.0,1236.0,96.0,10.0,326.0,72.0,29.0,10.0,1.0,331.0,6.0,11.0,0.0,0.0,0.0,2.0,2.0
2031.0,1336.0,2148.0,885.0,1650.0,282.0,40.0,684.0,162.0,69.0,40.0,9.0,615.0,7.0,31.0,0.0,0.0,0.0,6.0,5.0
1298.0,662.0,1544.0,1364.0,1825.0,550.0,111.0,1036.0,321.0,159.0,70.0,13.0,923.0,26.0,75.0,3.0,1.0,0.0,13.0,6.0
756.0,329.0,949.0,1532.0,1522.0,796.0,176.0,1336.0,558.0,305.0,159.0,25.0,1264.0,66.0,168.0,8.0,0.0,0.0,31.0,20.0
504.0,176.0,577.0,1409.0,1149.0,1015.0,378.0,1389.0,742.0,447.0,243.0,62.0,1367.0,137.0,267.0,20.0,3.0,0.0,69.0,46.0
258.0,78.0,334.0,1194.0,722.0,1158.0,558.0,1371.0,945.0,633.0,428.0,151.0,1280.0,224.0,415.0,49.0,3.0,0.0,120.0,79.0
155.0,30.0,191.0,882.0,514.0,1222.0,718.0,1056.0,1068.0,859.0,591.0,174.0,1134.0,316.0,635.0,89.0,9.0,1.0,191.0,165.0
67.0,18.0,109.0,712.0,272.0,1106.0,866.0,829.0,1187.0,1010.0,728.0,332.0,846.0,470.0,784.0,158.0,9.0,2.0,267.0,228.0
34.0,5.0,67.0,458.0,179.0,986.0,966.0,629.0,1041.0,1111.0,868.0,459.0,679.0,630.0,892.0,249.0,25.0,6.0,369.0,347.0
23.0,4.0,38.0,304.0,125.0,765.0,1005.0,427.0,1001.0,1079.0,937.0,620.0,508.0,789.0,1022.0,345.0,43.0,5.0,495.0,465.0
10.0,3.0,10.0,197.0,82.0,615.0,1035.0,297.0,787.0,1000.0,1038.0,843.0,367.0,890.0,1013.0,480.0,79.0,17.0,629.0,608.0
8.0,1.0,7.0,148.0,39.0,488.0,991.0,207.0,644.0,882.0,1006.0,946.0,238.0,987.0,1039.0,625.0,145.0,35.0,790.0,774.0
1.0,0.0,6.0,78.0,20.0,343.0,905.0,139.0,514.0,745.0,956.0,1056.0,164.0,1131.0,951.0,831.0,236.0,67.0,994.0,863.0
2.0,0.0,0.0,51.0,8.0,239.0,751.0,81.0,388.0,609.0,889.0,1121.0,93.0,1140.0,843.0,1054.0,364.0,114.0,1159.0,1094.0
0.0,0.0,1.0,31.0,6.0,161.0,580.0,41.0,271.0,454.0,763.0,1174.0,58.0,1053.0,703.0,1338.0,616.0,240.0,1235.0,1275.0
1.0,0.0,0.0,17.0,3.0,90.0,461.0,23.0,162.0,337.0,619.0,1151.0,21.0,923.0,552.0,1566.0,911.0,434.0,1343.0,1386.0
0.0,0.0,0.0,7.0,0.0,40.0,283.0,12.0,83.0,181.0,411.0,1104.0,14.0,714.0,382.0,1671.0,1693.0,866.0,1173.0,1366.0
0.0,0.0,0.0,0.0,0.0,16.0,136.0,2.0,32.0,71.0,195.0,584.0,4.0,382.0,174.0,1083.0,3333.0,2253.0,796.0,939.0
0.0,0.0,0.0,0.0,0.0,4.0,29.0,1.0,4.0,19.0,47.0,175.0,0.0,109.0,41.0,431.0,2530.0,5960.0,318.0,332.0
