FC Porto,Sporting CP,Santa Clara,Benfica,Arouca,Braga,Gil Vicente,Maritimo,Estrela,Académico de Viseu,Vitória de Guimaraes,C.D. Nacional,Moreirense,FC Famalicao,Rio Ave,Alverca,Estoril,Casa Pia
3545.0,4226.0,4.0,2116.0,0.0,106.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3311.0,3268.0,21.0,2999.0,13.0,371.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2535.0,2099.0,114.0,3729.0,86.0,1261.0,115.0,0.0,6.0,0.0,5.0,2.0,1.0,42.0,0.0,0.0,5.0,0.0
524.0,368.0,1016.0,936.0,766.0,4716.0,957.0,8.0,134.0,7.0,32.0,69.0,46.0,360.0,4.0,12.0,45.0,0.0
67.0,34.0,2071.0,155.0,1674.0,1817.0,1861.0,34.0,455.0,19.0,171.0,286.0,181.0,931.0,15.0,40.0,187.0,2.0
15.0,4.0,1877.0,47.0,1611.0,853.0,1785.0,112.0,765.0,50.0,325.0,430.0,344.0,1263.0,41.0,117.0,355.0,6.0
2.0,1.0,1473.0,13.0,1379.0,420.0,1542.0,216.0,928.0,99.0,496.0,720.0,548.0,1336.0,98.0,191.0,524.0,14.0
0.0,0.0,1076.0,5.0,1194.0,247.0,1118.0,351.0,1120.0,166.0,674.0,899.0,709.0,1308.0,162.0,300.0,658.0,13.0
0.0,0.0,774.0,0.0,930.0,116.0,845.0,471.0,1214.0,278.0,755.0,1030.0,887.0,1208.0,244.0,469.0,747.0,32.0
1.0,0.0,559.0,0.0,756.0,47.0,590.0,614.0,1148.0,378.0,905.0,1094.0,951.0,999.0,379.0,607.0,887.0,85.0
0.0,0.0,355.0,0.0,563.0,22.0,399.0,829.0,1038.0,553.0,1002.0,1118.0,1043.0,798.0,499.0,693.0,936.0,152.0
0.0,0.0,272.0,0.0,368.0,13.0,313.0,1004.0,875.0,721.0,1074.0,1033.0,1003.0,569.0,639.0,917.0,1000.0,199.0
0.0,0.0,178.0,0.0,271.0,10.0,190.0,1050.0,726.0,944.0,1087.0,909.0,1041.0,444.0,868.0,960.0,1034.0,288.0
0.0,0.0,115.0,0.0,162.0,1.0,124.0,1214.0,553.0,1089.0,994.0,811.0,937.0,329.0,1053.0,1146.0,986.0,486.0
0.0,0.0,50.0,0.0,126.0,0.0,66.0,1212.0,461.0,1291.0,883.0,650.0,837.0,187.0,1288.0,1245.0,925.0,779.0
0.0,0.0,31.0,0.0,59.0,0.0,45.0,1207.0,289.0,1540.0,755.0,482.0,686.0,118.0,1562.0,1301.0,781.0,1144.0
0.0,0.0,12.0,0.0,31.0,0.0,26.0,1024.0,190.0,1629.0,540.0,312.0,533.0,74.0,1699.0,1226.0,599.0,2105.0
0.0,0.0,2.0,0.0,11.0,0.0,6.0,654.0,97.0,1236.0,302.0,155.0,253.0,33.0,1449.0,776.0,331.0,4695.0
