Manchester City,Arsenal,Hull City,Chelsea,Brentford,Liverpool,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Crystal Palace,Ipswich Town,AFC Bournemouth,Nottingham Forest,Aston Villa,Tottenham Hotspur,Fulham,Coventry City
4321.0,4830.0,6.0,84.0,78.0,153.0,42.0,40.0,47.0,84.0,249.0,9.0,4.0,0.0,29.0,9.0,11.0,0.0,4.0,0.0
3461.0,3356.0,38.0,367.0,320.0,522.0,158.0,166.0,137.0,323.0,814.0,50.0,19.0,0.0,133.0,47.0,70.0,7.0,12.0,0.0
1097.0,962.0,122.0,916.0,808.0,1165.0,495.0,426.0,421.0,904.0,1552.0,187.0,49.0,0.0,425.0,195.0,201.0,28.0,47.0,0.0
475.0,426.0,224.0,968.0,966.0,1176.0,659.0,585.0,536.0,947.0,1400.0,257.0,82.0,1.0,560.0,307.0,287.0,52.0,92.0,0.0
253.0,182.0,264.0,979.0,934.0,1084.0,698.0,661.0,646.0,980.0,1149.0,361.0,135.0,6.0,666.0,410.0,388.0,69.0,135.0,0.0
165.0,107.0,367.0,952.0,841.0,1026.0,761.0,706.0,704.0,880.0,938.0,365.0,175.0,0.0,720.0,505.0,493.0,106.0,189.0,0.0
98.0,66.0,421.0,835.0,809.0,904.0,772.0,749.0,750.0,865.0,814.0,479.0,242.0,7.0,733.0,554.0,505.0,165.0,232.0,0.0
52.0,24.0,525.0,767.0,835.0,752.0,770.0,743.0,738.0,825.0,663.0,558.0,306.0,15.0,752.0,603.0,566.0,202.0,304.0,0.0
32.0,17.0,560.0,765.0,706.0,649.0,802.0,745.0,754.0,697.0,523.0,647.0,361.0,11.0,753.0,681.0,684.0,244.0,368.0,1.0
20.0,14.0,594.0,632.0,685.0,501.0,775.0,788.0,732.0,669.0,449.0,681.0,443.0,27.0,783.0,741.0,697.0,315.0,454.0,0.0
9.0,6.0,678.0,587.0,608.0,474.0,696.0,740.0,768.0,588.0,399.0,782.0,541.0,37.0,696.0,733.0,762.0,361.0,531.0,4.0
6.0,6.0,775.0,499.0,561.0,396.0,686.0,684.0,703.0,532.0,288.0,791.0,638.0,50.0,750.0,769.0,788.0,459.0,615.0,4.0
7.0,4.0,860.0,438.0,480.0,354.0,573.0,671.0,693.0,434.0,233.0,836.0,770.0,78.0,673.0,838.0,775.0,559.0,717.0,7.0
2.0,0.0,846.0,401.0,414.0,266.0,598.0,586.0,646.0,359.0,189.0,857.0,887.0,153.0,597.0,754.0,806.0,762.0,862.0,15.0
2.0,0.0,856.0,315.0,319.0,228.0,489.0,593.0,602.0,326.0,119.0,804.0,1041.0,208.0,543.0,780.0,789.0,956.0,1002.0,28.0
0.0,0.0,915.0,215.0,276.0,159.0,406.0,458.0,471.0,226.0,133.0,751.0,1147.0,410.0,516.0,718.0,795.0,1169.0,1166.0,69.0
0.0,0.0,889.0,162.0,198.0,109.0,344.0,328.0,349.0,202.0,59.0,774.0,1274.0,775.0,333.0,632.0,662.0,1498.0,1260.0,152.0
0.0,0.0,706.0,96.0,121.0,63.0,200.0,237.0,222.0,129.0,24.0,594.0,1250.0,1596.0,259.0,504.0,495.0,1794.0,1267.0,443.0
0.0,0.0,308.0,18.0,38.0,16.0,70.0,81.0,69.0,27.0,5.0,193.0,520.0,4551.0,66.0,191.0,200.0,1045.0,621.0,1981.0
0.0,0.0,46.0,4.0,3.0,3.0,6.0,13.0,12.0,3.0,0.0,24.0,116.0,2075.0,13.0,29.0,26.0,209.0,122.0,7296.0
