AS Monaco,Paris FC,Lyon,Lille,Stade Rennais,Strasbourg,Brest,Lorient,Troyes,Marseille,Lens,Angers,Paris Saint-Germain,Le Mans,Nice,Le Havre AC,Toulouse,AJ Auxerre
1433.0,405.0,1018.0,1465.0,706.0,596.0,30.0,78.0,0.0,317.0,1298.0,1.0,2631.0,0.0,0.0,5.0,16.0,1.0
1355.0,582.0,1103.0,1419.0,907.0,776.0,79.0,147.0,1.0,505.0,1225.0,8.0,1830.0,0.0,0.0,9.0,47.0,7.0
1270.0,694.0,1155.0,1287.0,928.0,887.0,105.0,239.0,2.0,674.0,1249.0,14.0,1384.0,1.0,5.0,19.0,77.0,10.0
1194.0,843.0,1084.0,1166.0,1024.0,919.0,181.0,323.0,1.0,738.0,1168.0,25.0,1149.0,5.0,5.0,28.0,126.0,21.0
1037.0,869.0,1103.0,1076.0,1009.0,1005.0,295.0,445.0,5.0,831.0,1084.0,54.0,865.0,4.0,25.0,67.0,176.0,50.0
900.0,1020.0,994.0,881.0,1041.0,1039.0,389.0,576.0,4.0,957.0,950.0,61.0,667.0,25.0,31.0,102.0,281.0,82.0
746.0,1049.0,919.0,776.0,990.0,1044.0,481.0,742.0,15.0,1017.0,907.0,111.0,498.0,38.0,38.0,150.0,358.0,121.0
636.0,995.0,713.0,610.0,906.0,997.0,680.0,946.0,21.0,1063.0,699.0,207.0,387.0,48.0,90.0,237.0,544.0,221.0
541.0,908.0,658.0,505.0,815.0,831.0,911.0,1075.0,59.0,991.0,532.0,319.0,239.0,106.0,137.0,392.0,678.0,303.0
373.0,835.0,493.0,340.0,571.0,688.0,1106.0,1112.0,117.0,898.0,379.0,519.0,166.0,178.0,260.0,609.0,910.0,446.0
240.0,626.0,322.0,230.0,410.0,492.0,1187.0,1155.0,204.0,692.0,220.0,721.0,101.0,281.0,401.0,824.0,1200.0,694.0
120.0,433.0,219.0,111.0,293.0,306.0,1169.0,1031.0,323.0,482.0,139.0,1067.0,48.0,507.0,614.0,1047.0,1231.0,860.0
84.0,314.0,101.0,74.0,180.0,201.0,1022.0,767.0,543.0,377.0,75.0,1196.0,26.0,737.0,825.0,1245.0,1129.0,1104.0
44.0,221.0,51.0,35.0,123.0,110.0,834.0,592.0,755.0,220.0,37.0,1284.0,5.0,991.0,1076.0,1264.0,1055.0,1303.0
19.0,118.0,49.0,17.0,55.0,63.0,679.0,380.0,1104.0,121.0,21.0,1320.0,4.0,1302.0,1269.0,1304.0,823.0,1352.0
6.0,53.0,11.0,3.0,27.0,30.0,474.0,205.0,1551.0,82.0,9.0,1292.0,0.0,1685.0,1540.0,1072.0,679.0,1281.0
2.0,29.0,5.0,5.0,13.0,13.0,243.0,140.0,2151.0,27.0,7.0,1076.0,0.0,1928.0,1832.0,919.0,435.0,1175.0
0.0,6.0,2.0,0.0,2.0,3.0,135.0,47.0,3144.0,8.0,1.0,725.0,0.0,2164.0,1852.0,707.0,235.0,969.0
