Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,São Paulo,Corinthians,Santos,Botafogo,Vitória,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
7347.0,2643.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2595.0,7101.0,166.0,89.0,11.0,36.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,229.0,4448.0,3198.0,631.0,1304.0,8.0,93.0,9.0,6.0,0.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4.0,24.0,2811.0,3217.0,1375.0,2051.0,60.0,266.0,48.0,42.0,1.0,3.0,93.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
0.0,3.0,1549.0,1982.0,2366.0,2593.0,189.0,691.0,163.0,129.0,6.0,37.0,280.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,672.0,939.0,2678.0,2115.0,488.0,1334.0,480.0,354.0,41.0,117.0,723.0,3.0,25.0,31.0,0.0,0.0,0.0,0.0
0.0,0.0,229.0,367.0,1447.0,1034.0,1012.0,1993.0,1082.0,781.0,154.0,297.0,1369.0,16.0,96.0,121.0,2.0,0.0,0.0,0.0
0.0,0.0,85.0,114.0,772.0,477.0,1357.0,1791.0,1387.0,1220.0,325.0,479.0,1507.0,53.0,182.0,234.0,13.0,4.0,0.0,0.0
0.0,0.0,18.0,62.0,383.0,241.0,1561.0,1268.0,1482.0,1393.0,516.0,714.0,1454.0,108.0,317.0,433.0,35.0,13.0,2.0,0.0
0.0,0.0,12.0,23.0,179.0,81.0,1466.0,992.0,1430.0,1482.0,783.0,862.0,1303.0,184.0,481.0,636.0,59.0,24.0,3.0,0.0
0.0,0.0,2.0,4.0,102.0,45.0,1276.0,688.0,1274.0,1381.0,1054.0,1047.0,1092.0,365.0,647.0,854.0,104.0,61.0,4.0,0.0
0.0,0.0,0.0,3.0,37.0,14.0,1011.0,424.0,960.0,1130.0,1384.0,1338.0,808.0,459.0,909.0,1189.0,201.0,123.0,10.0,0.0
0.0,0.0,0.0,0.0,13.0,8.0,729.0,250.0,711.0,874.0,1461.0,1348.0,614.0,787.0,1249.0,1357.0,313.0,241.0,45.0,0.0
0.0,0.0,0.0,0.0,6.0,1.0,435.0,121.0,475.0,562.0,1469.0,1358.0,358.0,1099.0,1519.0,1473.0,580.0,474.0,70.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,262.0,61.0,279.0,363.0,1203.0,1059.0,220.0,1582.0,1595.0,1455.0,948.0,785.0,185.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,106.0,20.0,146.0,184.0,860.0,737.0,122.0,1902.0,1359.0,1122.0,1658.0,1367.0,414.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,59.0,74.0,455.0,420.0,28.0,1846.0,949.0,674.0,2287.0,2163.0,978.0,32.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,13.0,23.0,241.0,144.0,8.0,1184.0,495.0,331.0,2367.0,2815.0,2238.0,131.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,47.0,39.0,3.0,388.0,163.0,80.0,1353.0,1796.0,5445.0,681.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,80.0,134.0,606.0,9150.0
