Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Red Bull Bragantino,Bahia,Coritiba,Botafogo,Vitória,Atlético-MG,Internacional,Grêmio,Vasco da Gama,Cruzeiro,Corinthians,Santos,Mirassol,Remo,Chapecoense
9453.0,451.0,80.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497.0,6602.0,1803.0,331.0,440.0,42.0,15.0,126.0,48.0,12.0,9.0,49.0,16.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0
43.0,1855.0,3770.0,1176.0,1459.0,248.0,79.0,612.0,250.0,63.0,47.0,247.0,78.0,22.0,43.0,0.0,7.0,1.0,0.0,0.0
7.0,632.0,1814.0,1865.0,2040.0,580.0,230.0,1091.0,525.0,170.0,160.0,487.0,231.0,52.0,95.0,3.0,14.0,2.0,2.0,0.0
0.0,244.0,1024.0,1631.0,1633.0,830.0,370.0,1367.0,796.0,321.0,290.0,772.0,362.0,85.0,201.0,15.0,48.0,7.0,4.0,0.0
0.0,113.0,589.0,1273.0,1237.0,1037.0,548.0,1380.0,958.0,433.0,405.0,924.0,519.0,176.0,295.0,26.0,71.0,9.0,7.0,0.0
0.0,53.0,358.0,983.0,909.0,1092.0,716.0,1266.0,964.0,566.0,567.0,1042.0,656.0,231.0,381.0,64.0,116.0,26.0,10.0,0.0
0.0,26.0,244.0,728.0,698.0,1117.0,833.0,1008.0,1002.0,730.0,685.0,997.0,742.0,351.0,469.0,113.0,185.0,49.0,23.0,0.0
0.0,16.0,134.0,561.0,471.0,1012.0,940.0,804.0,1036.0,792.0,784.0,1016.0,884.0,477.0,582.0,129.0,254.0,69.0,39.0,0.0
0.0,5.0,84.0,431.0,336.0,897.0,924.0,651.0,970.0,941.0,879.0,909.0,895.0,610.0,748.0,187.0,374.0,99.0,60.0,0.0
0.0,2.0,42.0,346.0,274.0,799.0,960.0,471.0,788.0,993.0,1014.0,844.0,949.0,738.0,797.0,293.0,424.0,160.0,106.0,0.0
0.0,1.0,26.0,239.0,193.0,681.0,958.0,399.0,726.0,957.0,961.0,728.0,971.0,911.0,884.0,419.0,576.0,230.0,140.0,0.0
0.0,0.0,19.0,167.0,127.0,568.0,914.0,299.0,633.0,1014.0,974.0,596.0,956.0,966.0,938.0,565.0,714.0,329.0,219.0,2.0
0.0,0.0,8.0,137.0,85.0,464.0,756.0,213.0,479.0,898.0,922.0,496.0,834.0,1138.0,1017.0,819.0,886.0,460.0,385.0,3.0
0.0,0.0,2.0,55.0,47.0,286.0,647.0,139.0,350.0,839.0,863.0,391.0,701.0,1235.0,995.0,1053.0,1158.0,673.0,560.0,6.0
0.0,0.0,3.0,39.0,27.0,176.0,515.0,90.0,234.0,577.0,614.0,250.0,562.0,1133.0,953.0,1517.0,1362.0,1100.0,829.0,19.0
0.0,0.0,0.0,28.0,8.0,110.0,312.0,50.0,140.0,400.0,462.0,153.0,369.0,915.0,787.0,1833.0,1514.0,1543.0,1327.0,49.0
0.0,0.0,0.0,6.0,3.0,49.0,213.0,28.0,78.0,206.0,258.0,74.0,200.0,623.0,536.0,1698.0,1376.0,2314.0,2185.0,153.0
0.0,0.0,0.0,1.0,0.0,11.0,65.0,6.0,22.0,83.0,100.0,24.0,71.0,319.0,255.0,1158.0,864.0,2640.0,3618.0,763.0
0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,5.0,6.0,1.0,4.0,15.0,17.0,108.0,57.0,289.0,486.0,9005.0
