Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Bologna,Lazio,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Lecce,Cremonese,Pisa,Hellas Verona
9854.0,110.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.0,5703.0,2689.0,1018.0,424.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2461.0,3403.0,2512.0,1394.0,223.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1149.0,2144.0,3139.0,2755.0,775.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,476.0,1314.0,2317.0,3721.0,1969.0,202.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,99.0,411.0,934.0,1524.0,5829.0,1187.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,7.0,76.0,181.0,1153.0,7810.0,515.0,199.0,48.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,22.0,650.0,5000.0,3111.0,790.0,329.0,20.0,53.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,92.0,2741.0,3692.0,2020.0,967.0,82.0,281.0,107.0,7.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,1210.0,1851.0,3340.0,1859.0,320.0,878.0,403.0,72.0,45.0,7.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,398.0,795.0,2065.0,2901.0,758.0,1797.0,858.0,215.0,184.0,25.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,237.0,977.0,1956.0,1585.0,2553.0,1484.0,585.0,450.0,70.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,84.0,443.0,1082.0,2280.0,1925.0,2057.0,997.0,922.0,166.0,19.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,224.0,556.0,2152.0,1326.0,2056.0,1685.0,1528.0,385.0,64.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,65.0,240.0,1663.0,724.0,1659.0,2333.0,2266.0,845.0,198.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,87.0,916.0,360.0,1065.0,2624.0,2531.0,1875.0,497.0,19.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,204.0,96.0,265.0,1182.0,1638.0,4661.0,1756.0,161.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,7.0,24.0,296.0,412.0,1803.0,6370.0,924.0,142.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,156.0,1007.0,6639.0,2178.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,82.0,2254.0,7657.0
