Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Lorient,Brest,Toulouse,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
8820.0,1173.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1159.0,8190.0,602.0,43.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,596.0,7580.0,1156.0,246.0,207.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,38.0,1331.0,4998.0,1304.0,1212.0,1068.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,337.0,2084.0,2733.0,2371.0,2151.0,289.0,19.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,107.0,1109.0,2610.0,2460.0,2883.0,692.0,74.0,50.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,32.0,514.0,2251.0,2400.0,2625.0,1513.0,364.0,216.0,82.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,87.0,725.0,1069.0,873.0,3563.0,1766.0,1270.0,607.0,23.0,10.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,7.0,102.0,220.0,170.0,2072.0,3040.0,2523.0,1699.0,108.0,47.0,9.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,23.0,57.0,31.0,1182.0,2618.0,2850.0,2607.0,420.0,154.0,40.0,16.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,3.0,3.0,525.0,1747.0,2242.0,3478.0,1177.0,518.0,196.0,107.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,314.0,657.0,1113.0,4220.0,1902.0,1023.0,668.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,48.0,149.0,330.0,2514.0,3332.0,1966.0,1608.0,36.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,29.0,57.0,1156.0,2438.0,3064.0,3080.0,159.0,8.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,365.0,1493.0,3268.0,4066.0,705.0,86.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,104.0,425.0,439.0,7055.0,1839.0,123.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,12.0,1929.0,6818.0,1233.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1247.0,8641.0
