Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Newcastle United,AFC Bournemouth,Fulham,Brighton & Hove Albion,Sunderland,Crystal Palace,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9774.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226.0,9472.0,259.0,27.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,284.0,6758.0,1042.0,848.0,1035.0,29.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,1883.0,2970.0,2212.0,2617.0,209.0,36.0,28.0,3.0,7.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,747.0,2825.0,2546.0,2811.0,646.0,158.0,128.0,16.0,40.0,67.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,280.0,2104.0,2569.0,2202.0,1383.0,455.0,443.0,85.0,170.0,260.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,60.0,739.0,1062.0,796.0,2936.0,1004.0,1401.0,388.0,543.0,823.0,174.0,72.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,201.0,434.0,323.0,1957.0,1484.0,2029.0,753.0,906.0,1378.0,320.0,202.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,66.0,197.0,134.0,1180.0,1834.0,1706.0,1139.0,1232.0,1509.0,628.0,353.0,18.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,24.0,78.0,46.0,775.0,1672.0,1448.0,1374.0,1512.0,1622.0,849.0,545.0,49.0,3.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,34.0,18.0,464.0,1370.0,1147.0,1607.0,1601.0,1469.0,1242.0,903.0,124.0,18.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,12.0,8.0,264.0,938.0,798.0,1699.0,1650.0,1256.0,1702.0,1385.0,230.0,47.0,7.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,112.0,613.0,566.0,1516.0,1352.0,871.0,2224.0,2039.0,497.0,153.0,36.0,19.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,41.0,362.0,255.0,1038.0,796.0,551.0,2119.0,3019.0,1151.0,434.0,119.0,115.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,69.0,43.0,339.0,179.0,151.0,584.0,1182.0,4021.0,2209.0,661.0,558.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,42.0,11.0,25.0,101.0,247.0,2440.0,3366.0,2244.0,1513.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,15.0,25.0,1068.0,2351.0,3444.0,3069.0,23.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,392.0,1406.0,3397.0,4643.0,136.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,89.0,78.0,7570.0,2248.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2268.0,7730.0
