Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Real Sociedad,Espanyol,Getafe,Athletic Club,Osasuna,Girona,Rayo Vallecano,Valencia,Sevilla,Mallorca,Alavés,Elche,Levante,Real Oviedo
8648.0,1351.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347.0,8531.0,93.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,113.0,6018.0,3863.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,3870.0,6054.0,53.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,18.0,52.0,6158.0,2612.0,1034.0,35.0,24.0,15.0,33.0,13.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,2570.0,4526.0,2149.0,191.0,174.0,64.0,233.0,42.0,40.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,912.0,2078.0,3937.0,773.0,555.0,302.0,823.0,248.0,270.0,55.0,26.0,18.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,236.0,528.0,1485.0,1746.0,1289.0,870.0,2105.0,694.0,683.0,179.0,98.0,61.0,9.0,17.0,0.0,0.0
0.0,0.0,0.0,0.0,44.0,140.0,694.0,1873.0,1530.0,1173.0,1771.0,988.0,1029.0,353.0,208.0,133.0,23.0,41.0,0.0,0.0
0.0,0.0,0.0,0.0,19.0,68.0,343.0,1527.0,1522.0,1372.0,1392.0,1277.0,1189.0,509.0,378.0,239.0,59.0,104.0,2.0,0.0
0.0,0.0,0.0,0.0,7.0,20.0,188.0,1287.0,1371.0,1414.0,1129.0,1316.0,1340.0,752.0,516.0,367.0,126.0,163.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,93.0,1004.0,1177.0,1320.0,896.0,1405.0,1271.0,950.0,801.0,561.0,214.0,296.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,51.0,713.0,941.0,1258.0,646.0,1326.0,1184.0,1159.0,1049.0,786.0,344.0,509.0,29.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,21.0,448.0,678.0,942.0,458.0,1022.0,1049.0,1511.0,1394.0,1056.0,584.0,760.0,73.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,257.0,396.0,664.0,295.0,767.0,808.0,1475.0,1624.0,1424.0,1015.0,1106.0,159.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,223.0,361.0,137.0,489.0,586.0,1353.0,1665.0,1695.0,1458.0,1559.0,341.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,87.0,180.0,64.0,290.0,362.0,1022.0,1290.0,1700.0,2173.0,1996.0,706.0,93.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,56.0,15.0,112.0,151.0,560.0,709.0,1368.0,2759.0,2191.0,1692.0,352.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,3.0,11.0,33.0,106.0,229.0,535.0,1116.0,1110.0,5259.0,1585.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,10.0,57.0,118.0,148.0,1729.0,7930.0
