Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Hamburg SV,Borussia Mönchengladbach,Mainz,FC Cologne,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9994.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,9712.0,181.0,71.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,250.0,5212.0,2676.0,1359.0,502.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,29.0,2476.0,3458.0,2526.0,1509.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1547.0,2463.0,3192.0,2781.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,580.0,1310.0,2822.0,5046.0,230.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,22.0,79.0,149.0,7621.0,1340.0,362.0,220.0,110.0,23.0,59.0,11.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,4.0,1529.0,4722.0,1625.0,852.0,526.0,212.0,425.0,89.0,6.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,435.0,2127.0,2732.0,1606.0,1142.0,675.0,876.0,317.0,33.0,55.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,128.0,1023.0,1975.0,1842.0,1719.0,1121.0,1318.0,651.0,100.0,115.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,29.0,497.0,1379.0,1695.0,1861.0,1404.0,1594.0,1065.0,217.0,238.0,21.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,175.0,916.0,1464.0,1748.0,1642.0,1659.0,1392.0,436.0,493.0,66.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,77.0,583.0,1188.0,1349.0,1700.0,1559.0,1742.0,853.0,817.0,130.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,284.0,734.0,912.0,1679.0,1324.0,1873.0,1411.0,1393.0,365.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,115.0,305.0,465.0,1033.0,755.0,1500.0,2658.0,2323.0,834.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,87.0,152.0,427.0,372.0,1080.0,2978.0,3014.0,1845.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,16.0,84.0,59.0,276.0,1298.0,1514.0,6499.0,245.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,29.0,230.0,9727.0
