Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,Corinthians,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
6561.0,3416.0,18.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3320.0,6265.0,311.0,60.0,16.0,3.0,2.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115.0,286.0,5302.0,1850.0,779.0,262.0,330.0,759.0,19.0,176.0,65.0,45.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0
3.0,30.0,2097.0,2700.0,1324.0,653.0,851.0,1451.0,84.0,408.0,214.0,122.0,5.0,15.0,30.0,4.0,8.0,1.0,0.0,0.0
1.0,2.0,1017.0,1810.0,1577.0,1140.0,1110.0,1652.0,148.0,662.0,449.0,252.0,25.0,41.0,86.0,5.0,20.0,3.0,0.0,0.0
0.0,1.0,561.0,1269.0,1478.0,1294.0,1254.0,1572.0,286.0,867.0,625.0,454.0,48.0,98.0,145.0,16.0,22.0,9.0,1.0,0.0
0.0,0.0,330.0,919.0,1347.0,1368.0,1252.0,1296.0,390.0,1032.0,840.0,630.0,85.0,193.0,215.0,37.0,44.0,19.0,3.0,0.0
0.0,0.0,191.0,566.0,1069.0,1280.0,1220.0,1018.0,640.0,1226.0,993.0,806.0,123.0,278.0,357.0,88.0,99.0,42.0,4.0,0.0
0.0,0.0,98.0,372.0,849.0,1121.0,1025.0,758.0,831.0,1268.0,1229.0,981.0,194.0,445.0,470.0,119.0,172.0,54.0,14.0,0.0
0.0,0.0,41.0,213.0,590.0,922.0,910.0,562.0,1096.0,1166.0,1195.0,1179.0,297.0,583.0,642.0,196.0,248.0,138.0,22.0,0.0
0.0,0.0,15.0,111.0,392.0,718.0,670.0,367.0,1239.0,959.0,1149.0,1305.0,464.0,790.0,870.0,340.0,352.0,209.0,50.0,0.0
0.0,0.0,13.0,69.0,253.0,507.0,530.0,263.0,1247.0,796.0,974.0,1122.0,608.0,1053.0,1040.0,540.0,530.0,359.0,96.0,0.0
0.0,0.0,5.0,29.0,156.0,306.0,363.0,125.0,1201.0,612.0,779.0,1034.0,817.0,1198.0,1202.0,728.0,733.0,541.0,171.0,0.0
0.0,0.0,1.0,16.0,97.0,210.0,224.0,91.0,949.0,404.0,622.0,742.0,1069.0,1300.0,1288.0,951.0,971.0,763.0,302.0,0.0
0.0,0.0,0.0,7.0,46.0,108.0,131.0,40.0,762.0,213.0,382.0,526.0,1321.0,1222.0,1165.0,1307.0,1186.0,1074.0,510.0,0.0
0.0,0.0,0.0,6.0,18.0,75.0,71.0,15.0,525.0,117.0,267.0,366.0,1489.0,1044.0,1010.0,1452.0,1338.0,1387.0,819.0,1.0
0.0,0.0,0.0,0.0,6.0,24.0,39.0,6.0,334.0,60.0,131.0,252.0,1510.0,859.0,740.0,1591.0,1392.0,1690.0,1365.0,1.0
0.0,0.0,0.0,0.0,3.0,9.0,13.0,4.0,179.0,28.0,62.0,135.0,1254.0,611.0,501.0,1537.0,1568.0,1937.0,2156.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,70.0,3.0,24.0,49.0,687.0,268.0,232.0,1082.0,1314.0,1767.0,4452.0,47.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,7.0,35.0,9948.0
