Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach,Werder Bremen,FC Cologne,Mainz,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9010.0,800.0,50.0,125.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,855.0,5722.0,1044.0,1989.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,114.0,2289.0,2700.0,3426.0,1470.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,19.0,938.0,3476.0,2681.0,2871.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,249.0,2658.0,1753.0,5128.0,177.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,70.0,26.0,124.0,6384.0,2680.0,369.0,175.0,142.0,12.0,4.0,11.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,2.0,2411.0,4924.0,1109.0,615.0,691.0,51.0,29.0,69.0,65.0,32.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,695.0,1537.0,2776.0,1800.0,1754.0,392.0,185.0,416.0,276.0,168.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,219.0,513.0,2157.0,2053.0,2163.0,762.0,427.0,742.0,608.0,350.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,65.0,221.0,1543.0,1868.0,1837.0,1052.0,676.0,1092.0,974.0,646.0,26.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,26.0,66.0,974.0,1389.0,1421.0,1392.0,1009.0,1372.0,1344.0,936.0,71.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,555.0,972.0,909.0,1627.0,1361.0,1525.0,1614.0,1283.0,123.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,312.0,621.0,591.0,1675.0,1728.0,1578.0,1641.0,1567.0,279.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,157.0,371.0,327.0,1479.0,2002.0,1558.0,1560.0,1931.0,606.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,119.0,143.0,1216.0,1933.0,1289.0,1506.0,2324.0,1369.0,56.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,22.0,332.0,631.0,340.0,403.0,738.0,6964.0,553.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,8.0,8.0,25.0,555.0,9379.0
