Paris Saint-Germain,Lens,Marseille,Lyon,Stade Rennais,Lille,AS Monaco,Strasbourg,Brest,Lorient,Angers,Toulouse,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
7257.0,2743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2719.0,7101.0,143.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,145.0,6820.0,2061.0,635.0,137.0,170.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,11.0,2111.0,4537.0,1937.0,556.0,715.0,120.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,655.0,2046.0,3368.0,1614.0,1570.0,668.0,66.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,207.0,886.0,2154.0,2508.0,2535.0,1394.0,240.0,61.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,61.0,347.0,1213.0,2685.0,2467.0,2241.0,642.0,262.0,23.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,80.0,555.0,1843.0,1787.0,2952.0,1619.0,800.0,85.0,274.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,7.0,117.0,507.0,566.0,1600.0,3532.0,2202.0,371.0,1035.0,51.0,11.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,17.0,128.0,157.0,709.0,2290.0,3390.0,994.0,2098.0,137.0,74.0,3.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,18.0,26.0,243.0,1078.0,2130.0,2451.0,3170.0,465.0,372.0,44.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,7.0,61.0,434.0,884.0,3882.0,2312.0,1308.0,914.0,182.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,82.0,218.0,1586.0,803.0,3771.0,2660.0,767.0,105.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,40.0,496.0,223.0,2904.0,3698.0,2152.0,457.0,21.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,99.0,12.0,1208.0,1883.0,4725.0,1906.0,138.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,149.0,372.0,1977.0,5798.0,1439.0,256.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,146.0,1563.0,6346.0,1926.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,156.0,2052.0,7788.0
