Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Espanyol,Real Sociedad,Getafe,Athletic Club,Osasuna,Valencia,Rayo Vallecano,Sevilla,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
8519.0,1478.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1475.0,8363.0,66.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,149.0,4564.0,5280.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,5287.0,4567.0,106.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,74.0,52.0,6674.0,2477.0,66.0,459.0,44.0,26.0,115.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,4.0,2208.0,4678.0,341.0,1541.0,303.0,195.0,582.0,30.0,91.0,13.0,8.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,695.0,1797.0,1099.0,2886.0,903.0,543.0,1498.0,138.0,333.0,45.0,47.0,2.0,8.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,207.0,619.0,1672.0,1927.0,1398.0,1058.0,1827.0,298.0,658.0,126.0,153.0,9.0,26.0,22.0,0.0,0.0
0.0,0.0,0.0,0.0,79.0,227.0,1770.0,1256.0,1612.0,1343.0,1586.0,463.0,966.0,275.0,291.0,27.0,64.0,40.0,1.0,0.0
0.0,0.0,0.0,0.0,19.0,96.0,1570.0,809.0,1600.0,1477.0,1289.0,710.0,1240.0,468.0,475.0,48.0,130.0,66.0,3.0,0.0
0.0,0.0,0.0,0.0,7.0,50.0,1255.0,471.0,1376.0,1460.0,1060.0,965.0,1397.0,739.0,659.0,111.0,262.0,181.0,7.0,0.0
0.0,0.0,0.0,0.0,2.0,21.0,932.0,308.0,1089.0,1325.0,803.0,1184.0,1490.0,970.0,924.0,220.0,431.0,291.0,10.0,0.0
0.0,0.0,0.0,0.0,1.0,5.0,612.0,195.0,729.0,1106.0,519.0,1420.0,1274.0,1350.0,1192.0,412.0,694.0,469.0,22.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,379.0,77.0,463.0,685.0,371.0,1529.0,978.0,1603.0,1446.0,628.0,1017.0,773.0,48.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,193.0,42.0,286.0,445.0,197.0,1308.0,726.0,1639.0,1509.0,1066.0,1425.0,1012.0,148.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,90.0,20.0,135.0,230.0,111.0,1044.0,424.0,1358.0,1459.0,1542.0,1795.0,1517.0,260.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,55.0,82.0,35.0,623.0,264.0,882.0,1087.0,2295.0,1919.0,2013.0,686.0,37.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,23.0,6.0,253.0,118.0,430.0,660.0,2609.0,1608.0,2381.0,1720.0,180.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,30.0,34.0,99.0,89.0,965.0,578.0,1139.0,5966.0,1096.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,66.0,43.0,91.0,1129.0,8668.0
