Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Rayo Vallecano,Osasuna,Valencia,Sevilla,Elche,Mallorca,Espanyol,Girona,Alavés,Levante,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,9917.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,82.0,9918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,8893.0,1107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1107.0,8707.0,114.0,50.0,7.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,173.0,3596.0,3624.0,563.0,786.0,1078.0,136.0,2.0,8.0,15.0,12.0,7.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,13.0,2545.0,2723.0,1154.0,1175.0,1634.0,443.0,10.0,43.0,132.0,93.0,35.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1686.0,1579.0,1901.0,1673.0,1843.0,644.0,27.0,112.0,250.0,173.0,110.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1092.0,928.0,2134.0,1975.0,1831.0,882.0,87.0,203.0,459.0,232.0,153.0,24.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,642.0,443.0,1669.0,1590.0,1616.0,1422.0,186.0,585.0,939.0,460.0,381.0,63.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,332.0,1253.0,1074.0,809.0,1810.0,291.0,991.0,1385.0,802.0,866.0,112.0,25.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,63.0,168.0,809.0,891.0,548.0,1788.0,591.0,1191.0,1482.0,976.0,1132.0,319.0,42.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,115.0,407.0,583.0,328.0,1359.0,1100.0,1386.0,1639.0,1162.0,1240.0,600.0,70.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,97.0,214.0,186.0,916.0,1576.0,1492.0,1409.0,1622.0,1382.0,871.0,201.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,28.0,100.0,411.0,2074.0,1505.0,1067.0,1665.0,1627.0,1119.0,393.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,166.0,2552.0,1377.0,703.0,1326.0,1425.0,1869.0,558.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,1351.0,883.0,393.0,1205.0,1388.0,3177.0,1580.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,224.0,127.0,272.0,254.0,1843.0,7121.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9993.0
