Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Sunderland,Newcastle United,AFC Bournemouth,Crystal Palace,Leeds United,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9751.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249.0,9537.0,159.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,199.0,6585.0,2359.0,471.0,347.0,20.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,2252.0,4769.0,1538.0,1149.0,120.0,90.0,21.0,32.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,730.0,1929.0,2862.0,2818.0,617.0,539.0,136.0,261.0,52.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,223.0,653.0,2400.0,2654.0,1411.0,1172.0,331.0,751.0,185.0,144.0,62.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,41.0,180.0,1326.0,1426.0,2172.0,1828.0,742.0,1280.0,373.0,399.0,191.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,36.0,727.0,786.0,1842.0,1814.0,1199.0,1694.0,658.0,731.0,405.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,13.0,389.0,431.0,1413.0,1697.0,1534.0,1670.0,935.0,1029.0,669.0,217.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,6.0,188.0,228.0,1037.0,1201.0,1759.0,1487.0,1229.0,1417.0,1081.0,348.0,17.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,60.0,103.0,717.0,836.0,1643.0,1215.0,1520.0,1718.0,1512.0,634.0,37.0,5.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,32.0,45.0,393.0,510.0,1305.0,880.0,1994.0,1781.0,1967.0,966.0,91.0,32.0,3.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,13.0,212.0,224.0,966.0,515.0,1895.0,1638.0,2251.0,1867.0,282.0,104.0,23.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,46.0,73.0,325.0,188.0,998.0,932.0,1439.0,4204.0,1112.0,481.0,163.0,39.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,20.0,139.0,146.0,352.0,1265.0,4371.0,2000.0,1356.0,313.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,12.0,25.0,50.0,297.0,2394.0,3914.0,2382.0,920.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,1254.0,2573.0,3641.0,2481.0,6.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,438.0,887.0,2410.0,6159.0,59.0,43.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,22.0,84.0,6917.0,2971.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.0,6983.0
