Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Espanyol,Valencia,Girona,Rayo Vallecano,Sevilla,Alavés,Elche,Mallorca,Levante,Real Oviedo
8518.0,1482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1481.0,8500.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,6233.0,3748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3746.0,6242.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,10.0,6955.0,1530.0,917.0,183.0,76.0,253.0,47.0,15.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1876.0,3802.0,2028.0,741.0,356.0,782.0,179.0,130.0,48.0,48.0,3.0,5.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,748.0,2219.0,2506.0,1411.0,720.0,1303.0,447.0,293.0,129.0,200.0,5.0,9.0,8.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,251.0,1231.0,1752.0,1764.0,1161.0,1804.0,837.0,474.0,266.0,375.0,17.0,40.0,18.0,9.0,1.0,0.0
0.0,0.0,0.0,0.0,105.0,652.0,1131.0,1748.0,1414.0,1691.0,1196.0,704.0,452.0,674.0,44.0,108.0,46.0,34.0,1.0,0.0
0.0,0.0,0.0,0.0,39.0,325.0,661.0,1422.0,1477.0,1364.0,1429.0,1074.0,712.0,1033.0,94.0,214.0,98.0,57.0,1.0,0.0
0.0,0.0,0.0,0.0,10.0,137.0,422.0,1083.0,1478.0,1009.0,1470.0,1284.0,1021.0,1181.0,164.0,383.0,230.0,116.0,12.0,0.0
0.0,0.0,0.0,0.0,3.0,71.0,261.0,701.0,1293.0,766.0,1467.0,1428.0,1249.0,1281.0,259.0,623.0,373.0,209.0,16.0,0.0
0.0,0.0,0.0,0.0,1.0,26.0,177.0,501.0,879.0,499.0,1188.0,1429.0,1519.0,1347.0,518.0,920.0,596.0,343.0,57.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,85.0,258.0,598.0,294.0,847.0,1235.0,1523.0,1249.0,830.0,1413.0,931.0,607.0,123.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,45.0,125.0,351.0,140.0,530.0,932.0,1210.0,1087.0,1328.0,1790.0,1278.0,896.0,286.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,39.0,136.0,68.0,234.0,557.0,924.0,735.0,1925.0,1708.0,1669.0,1432.0,552.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,49.0,20.0,100.0,312.0,605.0,493.0,1996.0,1451.0,1907.0,1987.0,1019.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,7.0,26.0,122.0,276.0,232.0,1821.0,947.0,1842.0,2575.0,2024.0,114.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,11.0,60.0,58.0,960.0,367.0,939.0,1596.0,5363.0,641.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,22.0,63.0,137.0,545.0,9196.0
