Queens Park Rangers,Millwall,Swansea City,West Bromwich Albion,Bolton Wanderers,Charlton Athletic,Middlesbrough,Watford,Blackburn Rovers,West Ham United,Burnley,Wolverhampton Wanderers,Wrexham,Cardiff City,Birmingham City,Sheffield United,Derby County,Lincoln City,Preston North End,Norwich City,Stoke City,Portsmouth,Bristol City,Southampton
35.0,2451.0,189.0,28.0,361.0,3.0,3351.0,0.0,2.0,87.0,104.0,116.0,177.0,88.0,97.0,178.0,286.0,23.0,6.0,367.0,4.0,0.0,17.0,2030.0
83.0,2017.0,328.0,63.0,563.0,15.0,2131.0,26.0,17.0,234.0,214.0,212.0,363.0,189.0,217.0,330.0,504.0,62.0,14.0,521.0,7.0,2.0,45.0,1843.0
151.0,1433.0,480.0,110.0,747.0,21.0,1389.0,46.0,16.0,387.0,323.0,322.0,457.0,321.0,327.0,419.0,661.0,107.0,24.0,691.0,20.0,3.0,90.0,1455.0
184.0,1020.0,610.0,190.0,805.0,40.0,869.0,53.0,26.0,447.0,404.0,400.0,594.0,352.0,424.0,519.0,737.0,147.0,56.0,833.0,28.0,18.0,121.0,1123.0
238.0,720.0,652.0,266.0,784.0,63.0,614.0,83.0,62.0,536.0,463.0,555.0,565.0,409.0,453.0,607.0,761.0,199.0,69.0,797.0,54.0,24.0,210.0,816.0
333.0,559.0,652.0,303.0,792.0,104.0,434.0,136.0,75.0,591.0,490.0,525.0,630.0,501.0,538.0,606.0,725.0,252.0,91.0,738.0,73.0,35.0,216.0,601.0
310.0,421.0,677.0,366.0,700.0,137.0,297.0,150.0,73.0,632.0,542.0,545.0,661.0,538.0,581.0,618.0,734.0,320.0,127.0,683.0,94.0,51.0,272.0,471.0
412.0,358.0,677.0,380.0,704.0,164.0,270.0,221.0,129.0,559.0,519.0,567.0,640.0,565.0,622.0,608.0,648.0,345.0,134.0,646.0,120.0,80.0,282.0,350.0
405.0,251.0,665.0,448.0,646.0,200.0,168.0,224.0,149.0,640.0,545.0,567.0,629.0,564.0,601.0,568.0,632.0,411.0,181.0,584.0,159.0,90.0,365.0,308.0
440.0,207.0,563.0,475.0,552.0,238.0,139.0,274.0,183.0,607.0,616.0,562.0,599.0,582.0,628.0,626.0,591.0,409.0,217.0,595.0,201.0,98.0,369.0,229.0
521.0,143.0,534.0,548.0,492.0,310.0,95.0,271.0,221.0,578.0,592.0,576.0,599.0,565.0,561.0,594.0,535.0,432.0,266.0,538.0,288.0,109.0,443.0,189.0
503.0,113.0,542.0,518.0,468.0,318.0,67.0,366.0,269.0,539.0,607.0,550.0,564.0,590.0,611.0,596.0,497.0,484.0,283.0,472.0,283.0,169.0,448.0,143.0
522.0,69.0,502.0,569.0,404.0,390.0,59.0,444.0,287.0,541.0,566.0,547.0,538.0,545.0,576.0,508.0,466.0,521.0,336.0,450.0,351.0,188.0,508.0,113.0
571.0,71.0,453.0,598.0,368.0,425.0,30.0,466.0,377.0,516.0,530.0,528.0,473.0,526.0,565.0,473.0,415.0,509.0,382.0,407.0,394.0,252.0,578.0,93.0
581.0,52.0,445.0,637.0,354.0,452.0,31.0,504.0,415.0,467.0,517.0,502.0,436.0,561.0,485.0,473.0,368.0,562.0,419.0,360.0,453.0,300.0,557.0,69.0
605.0,38.0,408.0,590.0,275.0,542.0,18.0,554.0,498.0,467.0,459.0,493.0,395.0,542.0,482.0,424.0,283.0,616.0,516.0,271.0,491.0,374.0,607.0,52.0
599.0,24.0,346.0,617.0,220.0,574.0,14.0,617.0,571.0,459.0,444.0,442.0,352.0,460.0,436.0,390.0,291.0,603.0,547.0,262.0,580.0,475.0,638.0,39.0
616.0,17.0,316.0,567.0,205.0,691.0,8.0,716.0,650.0,369.0,419.0,423.0,284.0,448.0,403.0,352.0,204.0,645.0,622.0,230.0,639.0,502.0,645.0,29.0
566.0,14.0,269.0,568.0,160.0,775.0,7.0,704.0,709.0,357.0,403.0,383.0,303.0,375.0,346.0,308.0,198.0,636.0,702.0,168.0,719.0,652.0,658.0,20.0
602.0,12.0,230.0,524.0,148.0,830.0,5.0,752.0,806.0,256.0,352.0,357.0,233.0,384.0,308.0,230.0,139.0,677.0,802.0,124.0,804.0,763.0,650.0,12.0
535.0,8.0,161.0,543.0,118.0,837.0,1.0,869.0,932.0,223.0,301.0,286.0,160.0,320.0,266.0,216.0,144.0,603.0,918.0,119.0,910.0,903.0,619.0,8.0
450.0,2.0,138.0,454.0,69.0,943.0,1.0,834.0,949.0,232.0,267.0,241.0,157.0,246.0,229.0,169.0,89.0,580.0,1042.0,69.0,1028.0,1180.0,627.0,4.0
456.0,0.0,107.0,363.0,42.0,1027.0,2.0,869.0,1200.0,160.0,208.0,193.0,116.0,204.0,169.0,127.0,64.0,492.0,1072.0,48.0,1060.0,1468.0,550.0,3.0
282.0,0.0,56.0,275.0,23.0,901.0,0.0,821.0,1384.0,116.0,115.0,108.0,75.0,125.0,75.0,61.0,28.0,365.0,1174.0,27.0,1240.0,2264.0,485.0,0.0
