Arouca,FC Porto,Maritimo,C.D. Nacional,Santa Clara,Benfica,Sporting CP,Gil Vicente,Estrela,Braga,FC Famalicao,Estoril,Moreirense,Académico de Viseu,Alverca,Vitória de Guimaraes,Rio Ave,Casa Pia
0.0,3968.0,0.0,0.0,0.0,2737.0,3263.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3205.0,2.0,0.0,0.0,3265.0,3380.0,1.0,0.0,144.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2579.0,74.0,4.0,0.0,3560.0,3083.0,30.0,0.0,631.0,31.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
285.0,233.0,1252.0,107.0,83.0,402.0,248.0,881.0,7.0,5571.0,801.0,30.0,0.0,91.0,0.0,9.0,0.0,0.0
813.0,13.0,2332.0,362.0,309.0,32.0,21.0,1817.0,28.0,1948.0,1754.0,157.0,3.0,375.0,10.0,25.0,1.0,0.0
1158.0,2.0,1950.0,626.0,570.0,3.0,5.0,1823.0,65.0,846.0,1912.0,268.0,27.0,642.0,35.0,63.0,4.0,1.0
1367.0,0.0,1398.0,975.0,765.0,1.0,0.0,1537.0,160.0,415.0,1655.0,506.0,65.0,931.0,77.0,133.0,14.0,1.0
1385.0,0.0,1128.0,1138.0,1115.0,0.0,0.0,1204.0,252.0,211.0,1231.0,708.0,115.0,1124.0,134.0,229.0,22.0,4.0
1306.0,0.0,712.0,1299.0,1207.0,0.0,0.0,919.0,410.0,110.0,959.0,902.0,232.0,1262.0,210.0,407.0,57.0,8.0
1093.0,0.0,472.0,1373.0,1290.0,0.0,0.0,663.0,608.0,50.0,692.0,1136.0,332.0,1255.0,361.0,548.0,113.0,14.0
888.0,0.0,322.0,1204.0,1184.0,0.0,0.0,454.0,862.0,28.0,414.0,1326.0,496.0,1209.0,592.0,765.0,215.0,41.0
643.0,0.0,183.0,1036.0,1109.0,0.0,0.0,322.0,1082.0,8.0,263.0,1236.0,742.0,1033.0,809.0,1103.0,348.0,83.0
462.0,0.0,101.0,720.0,908.0,0.0,0.0,172.0,1355.0,2.0,134.0,1148.0,1061.0,813.0,1159.0,1296.0,516.0,153.0
296.0,0.0,41.0,529.0,620.0,0.0,0.0,105.0,1458.0,3.0,89.0,991.0,1319.0,576.0,1368.0,1437.0,872.0,296.0
179.0,0.0,20.0,342.0,430.0,0.0,0.0,48.0,1397.0,1.0,40.0,757.0,1591.0,364.0,1626.0,1447.0,1252.0,506.0
87.0,0.0,12.0,189.0,259.0,0.0,0.0,17.0,1194.0,0.0,19.0,485.0,1722.0,213.0,1563.0,1282.0,1939.0,1019.0
23.0,0.0,1.0,78.0,119.0,0.0,0.0,7.0,766.0,0.0,4.0,265.0,1499.0,89.0,1392.0,875.0,2733.0,2149.0
10.0,0.0,0.0,18.0,32.0,0.0,0.0,0.0,356.0,0.0,0.0,83.0,796.0,21.0,664.0,381.0,1914.0,5725.0
