Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Atlético-MG,Corinthians,Coritiba,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
3236.0,6747.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6474.0,3151.0,215.0,106.0,47.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262.0,95.0,4419.0,2909.0,1325.0,153.0,99.0,262.0,59.0,18.0,385.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,6.0,2506.0,2986.0,1921.0,433.0,315.0,660.0,223.0,62.0,789.0,10.0,55.0,2.0,9.0,0.0,3.0,0.0,0.0,0.0
8.0,1.0,1392.0,1736.0,2016.0,908.0,597.0,1108.0,530.0,131.0,1336.0,22.0,158.0,19.0,20.0,1.0,16.0,0.0,1.0,0.0
0.0,0.0,746.0,986.0,1560.0,1293.0,903.0,1376.0,783.0,320.0,1530.0,58.0,303.0,36.0,38.0,12.0,50.0,2.0,4.0,0.0
0.0,0.0,370.0,630.0,1128.0,1429.0,1142.0,1452.0,1092.0,461.0,1426.0,109.0,473.0,83.0,87.0,23.0,85.0,2.0,8.0,0.0
0.0,0.0,184.0,326.0,801.0,1287.0,1305.0,1358.0,1283.0,746.0,1295.0,208.0,652.0,137.0,159.0,58.0,170.0,12.0,19.0,0.0
0.0,0.0,94.0,158.0,551.0,1229.0,1296.0,1140.0,1347.0,1017.0,1047.0,337.0,910.0,197.0,271.0,96.0,244.0,34.0,32.0,0.0
0.0,0.0,46.0,80.0,324.0,1059.0,1176.0,946.0,1288.0,1176.0,831.0,488.0,1055.0,371.0,423.0,194.0,423.0,56.0,64.0,0.0
0.0,0.0,15.0,51.0,192.0,739.0,1023.0,672.0,1083.0,1329.0,558.0,744.0,1355.0,526.0,597.0,326.0,598.0,91.0,101.0,0.0
0.0,0.0,2.0,13.0,74.0,588.0,762.0,437.0,829.0,1354.0,361.0,997.0,1344.0,744.0,874.0,445.0,813.0,182.0,181.0,0.0
0.0,0.0,0.0,8.0,35.0,371.0,576.0,284.0,596.0,1116.0,219.0,1153.0,1155.0,993.0,1111.0,682.0,1066.0,303.0,332.0,0.0
0.0,0.0,0.0,6.0,19.0,252.0,350.0,158.0,412.0,864.0,102.0,1304.0,886.0,1235.0,1204.0,988.0,1231.0,472.0,517.0,0.0
0.0,0.0,0.0,1.0,6.0,141.0,207.0,71.0,257.0,598.0,69.0,1335.0,647.0,1353.0,1314.0,1165.0,1296.0,807.0,733.0,0.0
0.0,0.0,0.0,0.0,0.0,67.0,158.0,47.0,123.0,405.0,27.0,1195.0,431.0,1333.0,1262.0,1453.0,1287.0,1180.0,1030.0,2.0
0.0,0.0,0.0,0.0,0.0,32.0,55.0,17.0,58.0,235.0,18.0,986.0,303.0,1192.0,1135.0,1631.0,1189.0,1668.0,1466.0,15.0
0.0,0.0,0.0,0.0,0.0,18.0,23.0,9.0,29.0,117.0,2.0,699.0,190.0,1038.0,894.0,1547.0,966.0,2287.0,2151.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,8.0,51.0,0.0,347.0,72.0,728.0,597.0,1355.0,556.0,2814.0,3257.0,201.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,13.0,5.0,24.0,6.0,90.0,104.0,9752.0
