AZ Alkmaar,FC Groningen,Go Ahead Eagles,Fortuna Sittard,Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,Heerenveen,Excelsior,NEC Nijmegen,Sparta Rotterdam,FC Twente,Telstar,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II,SC Cambuur
264.0,135.0,31.0,1.0,755.0,7275.0,699.0,32.0,0.0,425.0,0.0,368.0,1.0,14.0,0.0,0.0,0.0,0.0
1034.0,606.0,162.0,3.0,1905.0,1572.0,2050.0,181.0,18.0,1205.0,0.0,1184.0,11.0,69.0,0.0,0.0,0.0,0.0
1243.0,837.0,332.0,23.0,1699.0,633.0,1791.0,360.0,51.0,1377.0,0.0,1443.0,51.0,160.0,0.0,0.0,0.0,0.0
1344.0,1048.0,520.0,30.0,1498.0,262.0,1448.0,589.0,90.0,1392.0,2.0,1449.0,81.0,247.0,0.0,0.0,0.0,0.0
1356.0,1243.0,624.0,59.0,1164.0,143.0,1200.0,784.0,174.0,1342.0,8.0,1346.0,158.0,397.0,0.0,2.0,0.0,0.0
1200.0,1317.0,845.0,103.0,943.0,71.0,967.0,1016.0,295.0,1183.0,9.0,1228.0,260.0,558.0,0.0,4.0,1.0,0.0
1082.0,1220.0,1047.0,193.0,766.0,24.0,688.0,1182.0,463.0,1024.0,40.0,1038.0,387.0,836.0,0.0,5.0,4.0,1.0
897.0,1106.0,1269.0,348.0,510.0,13.0,502.0,1307.0,647.0,775.0,64.0,765.0,668.0,1091.0,1.0,17.0,13.0,7.0
694.0,950.0,1366.0,529.0,367.0,6.0,330.0,1331.0,923.0,548.0,111.0,525.0,940.0,1296.0,9.0,37.0,29.0,9.0
427.0,678.0,1269.0,802.0,219.0,1.0,183.0,1142.0,1361.0,364.0,290.0,315.0,1253.0,1522.0,19.0,79.0,45.0,31.0
263.0,427.0,1110.0,1230.0,102.0,0.0,79.0,926.0,1614.0,209.0,487.0,191.0,1542.0,1389.0,68.0,172.0,118.0,73.0
128.0,276.0,704.0,1741.0,54.0,0.0,42.0,631.0,1577.0,98.0,956.0,97.0,1639.0,1090.0,137.0,368.0,288.0,174.0
49.0,118.0,439.0,1909.0,14.0,0.0,15.0,310.0,1330.0,46.0,1476.0,45.0,1409.0,732.0,359.0,733.0,626.0,390.0
15.0,23.0,174.0,1417.0,3.0,0.0,4.0,149.0,773.0,10.0,2055.0,5.0,866.0,374.0,788.0,1350.0,1132.0,862.0
2.0,15.0,73.0,843.0,1.0,0.0,1.0,36.0,378.0,2.0,1770.0,1.0,412.0,145.0,1334.0,1880.0,1763.0,1344.0
2.0,1.0,25.0,461.0,0.0,0.0,1.0,15.0,204.0,0.0,1367.0,0.0,209.0,56.0,1929.0,1926.0,1931.0,1873.0
0.0,0.0,9.0,234.0,0.0,0.0,0.0,9.0,76.0,0.0,899.0,0.0,78.0,21.0,2469.0,1863.0,2062.0,2280.0
0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,26.0,0.0,466.0,0.0,35.0,3.0,2887.0,1564.0,1988.0,2956.0
