Espanyol,Alavés,Sevilla,Racing Santander,Villarreal,Deportivo La Coruña,Elche,Athletic Club,Atlético Madrid,Barcelona,Celta Vigo,Málaga,Osasuna,Real Betis,Real Madrid,Real Sociedad,Valencia,Rayo Vallecano,Levante,Getafe
0.0,0.0,0.0,1.0,161.0,1.0,0.0,0.0,41.0,7634.0,2.0,0.0,0.0,6.0,2153.0,1.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,16.0,1113.0,16.0,5.0,0.0,433.0,2076.0,59.0,16.0,2.0,160.0,6072.0,18.0,1.0,9.0,0.0,0.0
29.0,67.0,8.0,198.0,4059.0,174.0,31.0,7.0,1957.0,244.0,453.0,151.0,46.0,967.0,1304.0,187.0,50.0,57.0,2.0,9.0
88.0,191.0,75.0,459.0,2147.0,394.0,117.0,21.0,2337.0,38.0,901.0,425.0,129.0,1537.0,315.0,468.0,136.0,184.0,11.0,27.0
188.0,321.0,126.0,658.0,1061.0,639.0,192.0,52.0,1630.0,5.0,1205.0,597.0,232.0,1635.0,93.0,712.0,235.0,324.0,27.0,68.0
311.0,474.0,194.0,781.0,566.0,765.0,299.0,84.0,1053.0,3.0,1215.0,807.0,344.0,1313.0,40.0,791.0,400.0,413.0,55.0,92.0
346.0,608.0,254.0,816.0,323.0,833.0,400.0,122.0,756.0,0.0,1124.0,816.0,436.0,1008.0,14.0,900.0,435.0,541.0,96.0,172.0
426.0,640.0,341.0,910.0,220.0,877.0,470.0,180.0,509.0,0.0,972.0,802.0,554.0,739.0,6.0,872.0,507.0,612.0,141.0,222.0
485.0,624.0,420.0,845.0,141.0,838.0,564.0,241.0,386.0,0.0,799.0,845.0,596.0,619.0,1.0,845.0,603.0,690.0,178.0,280.0
592.0,746.0,442.0,805.0,69.0,801.0,611.0,316.0,261.0,0.0,668.0,771.0,660.0,481.0,2.0,767.0,670.0,723.0,253.0,362.0
600.0,739.0,524.0,762.0,44.0,779.0,677.0,403.0,192.0,0.0,554.0,761.0,673.0,400.0,0.0,735.0,684.0,773.0,307.0,393.0
698.0,775.0,622.0,658.0,40.0,684.0,699.0,445.0,149.0,0.0,450.0,713.0,734.0,317.0,0.0,673.0,760.0,718.0,352.0,513.0
752.0,705.0,706.0,627.0,14.0,640.0,750.0,497.0,109.0,0.0,356.0,654.0,730.0,235.0,0.0,650.0,756.0,772.0,476.0,571.0
789.0,746.0,755.0,545.0,22.0,565.0,722.0,667.0,62.0,0.0,354.0,551.0,749.0,171.0,0.0,566.0,780.0,761.0,533.0,662.0
813.0,690.0,811.0,482.0,6.0,486.0,789.0,687.0,50.0,0.0,261.0,525.0,774.0,147.0,0.0,483.0,761.0,724.0,704.0,807.0
886.0,669.0,872.0,433.0,6.0,421.0,815.0,866.0,31.0,0.0,202.0,451.0,710.0,100.0,0.0,391.0,718.0,678.0,834.0,917.0
759.0,603.0,984.0,354.0,7.0,398.0,821.0,965.0,20.0,0.0,174.0,374.0,737.0,67.0,0.0,347.0,706.0,652.0,1044.0,988.0
805.0,558.0,1004.0,322.0,1.0,322.0,744.0,1201.0,14.0,0.0,120.0,323.0,731.0,49.0,0.0,258.0,676.0,563.0,1210.0,1099.0
785.0,461.0,950.0,196.0,0.0,245.0,682.0,1399.0,7.0,0.0,81.0,259.0,659.0,37.0,0.0,208.0,598.0,454.0,1652.0,1327.0
648.0,379.0,912.0,132.0,0.0,122.0,612.0,1847.0,3.0,0.0,50.0,159.0,504.0,12.0,0.0,128.0,524.0,352.0,2125.0,1491.0
