Arouca,FC Porto,Maritimo,C.D. Nacional,Santa Clara,Benfica,Sporting CP,Gil Vicente,Estrela,Braga,FC Famalicao,Estoril,Moreirense,Académico de Viseu,Alverca,Vitória de Guimaraes,Rio Ave,Casa Pia
0.0,4018.0,1.0,0.0,0.0,2656.0,3310.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3182.0,12.0,0.0,0.0,3297.0,3384.0,6.0,0.0,116.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2588.0,66.0,0.0,2.0,3627.0,3083.0,34.0,0.0,560.0,35.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
280.0,199.0,1270.0,129.0,79.0,384.0,205.0,975.0,7.0,5549.0,780.0,26.0,0.0,111.0,1.0,5.0,0.0,0.0
696.0,13.0,2385.0,401.0,286.0,30.0,14.0,1911.0,27.0,1975.0,1755.0,143.0,9.0,324.0,14.0,15.0,2.0,0.0
1078.0,0.0,1923.0,680.0,506.0,4.0,4.0,1872.0,69.0,906.0,1913.0,338.0,26.0,599.0,26.0,50.0,4.0,2.0
1332.0,0.0,1447.0,1007.0,746.0,2.0,0.0,1572.0,139.0,423.0,1695.0,505.0,49.0,885.0,71.0,123.0,4.0,0.0
1435.0,0.0,1103.0,1176.0,1021.0,0.0,0.0,1190.0,270.0,236.0,1293.0,707.0,100.0,1069.0,133.0,233.0,30.0,4.0
1336.0,0.0,688.0,1383.0,1168.0,0.0,0.0,874.0,446.0,127.0,922.0,988.0,185.0,1250.0,214.0,350.0,62.0,7.0
1152.0,0.0,480.0,1281.0,1307.0,0.0,0.0,599.0,641.0,44.0,625.0,1198.0,331.0,1322.0,383.0,515.0,106.0,16.0
904.0,0.0,317.0,1245.0,1234.0,0.0,0.0,418.0,899.0,29.0,433.0,1323.0,505.0,1246.0,534.0,721.0,169.0,23.0
735.0,0.0,157.0,928.0,1189.0,0.0,0.0,274.0,1142.0,9.0,253.0,1348.0,745.0,1032.0,783.0,1028.0,322.0,55.0
454.0,0.0,82.0,749.0,935.0,0.0,0.0,150.0,1431.0,8.0,146.0,1123.0,1085.0,833.0,1120.0,1249.0,514.0,121.0
313.0,0.0,41.0,503.0,695.0,0.0,0.0,74.0,1383.0,3.0,74.0,955.0,1320.0,580.0,1448.0,1482.0,870.0,259.0
158.0,0.0,18.0,291.0,441.0,0.0,0.0,37.0,1396.0,0.0,47.0,665.0,1601.0,403.0,1629.0,1519.0,1266.0,529.0
80.0,0.0,6.0,143.0,255.0,0.0,0.0,11.0,1141.0,0.0,17.0,427.0,1788.0,226.0,1707.0,1324.0,1881.0,994.0
33.0,0.0,3.0,66.0,102.0,0.0,0.0,2.0,735.0,0.0,7.0,190.0,1555.0,88.0,1318.0,1004.0,2749.0,2148.0
12.0,0.0,1.0,18.0,34.0,0.0,0.0,1.0,274.0,0.0,2.0,64.0,701.0,29.0,619.0,382.0,2021.0,5842.0
