Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Atlético-MG,Corinthians,Coritiba,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
3344.0,6643.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6431.0,3280.0,162.0,78.0,37.0,4.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.0,70.0,4538.0,2845.0,1301.0,196.0,99.0,293.0,55.0,26.0,354.0,1.0,16.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,7.0,2491.0,2813.0,1973.0,534.0,278.0,745.0,169.0,62.0,809.0,5.0,80.0,6.0,5.0,0.0,8.0,0.0,0.0,0.0
5.0,0.0,1342.0,1841.0,2033.0,1007.0,555.0,1125.0,432.0,174.0,1234.0,28.0,143.0,20.0,22.0,6.0,32.0,0.0,1.0,0.0
2.0,0.0,693.0,1068.0,1542.0,1389.0,893.0,1446.0,715.0,336.0,1496.0,45.0,247.0,32.0,39.0,8.0,47.0,2.0,0.0,0.0
0.0,0.0,372.0,620.0,1119.0,1473.0,1141.0,1422.0,1010.0,529.0,1466.0,116.0,430.0,67.0,93.0,25.0,108.0,6.0,3.0,0.0
0.0,0.0,199.0,350.0,780.0,1353.0,1260.0,1348.0,1249.0,758.0,1293.0,188.0,641.0,143.0,171.0,48.0,191.0,19.0,9.0,0.0
0.0,0.0,109.0,194.0,517.0,1226.0,1279.0,1167.0,1331.0,988.0,1091.0,275.0,882.0,228.0,259.0,82.0,316.0,34.0,22.0,0.0
0.0,0.0,43.0,115.0,344.0,930.0,1284.0,869.0,1337.0,1245.0,836.0,446.0,1066.0,368.0,419.0,161.0,424.0,69.0,44.0,0.0
0.0,0.0,28.0,45.0,183.0,706.0,1016.0,636.0,1125.0,1317.0,602.0,688.0,1370.0,512.0,658.0,275.0,638.0,103.0,98.0,0.0
0.0,0.0,9.0,19.0,87.0,483.0,795.0,432.0,914.0,1395.0,383.0,963.0,1313.0,711.0,866.0,420.0,894.0,181.0,135.0,0.0
0.0,0.0,2.0,6.0,46.0,350.0,542.0,249.0,677.0,1082.0,198.0,1182.0,1207.0,1015.0,1100.0,650.0,1076.0,328.0,289.0,1.0
0.0,0.0,0.0,3.0,25.0,156.0,395.0,143.0,463.0,805.0,132.0,1343.0,955.0,1163.0,1307.0,918.0,1282.0,521.0,389.0,0.0
0.0,0.0,1.0,0.0,8.0,118.0,226.0,78.0,250.0,620.0,63.0,1364.0,675.0,1314.0,1322.0,1210.0,1271.0,826.0,653.0,1.0
0.0,0.0,0.0,2.0,3.0,39.0,118.0,26.0,153.0,329.0,23.0,1245.0,450.0,1398.0,1323.0,1476.0,1257.0,1175.0,979.0,4.0
0.0,0.0,0.0,0.0,0.0,26.0,72.0,10.0,79.0,210.0,9.0,986.0,291.0,1224.0,1075.0,1597.0,1159.0,1789.0,1456.0,17.0
0.0,0.0,0.0,0.0,1.0,8.0,31.0,5.0,32.0,93.0,7.0,731.0,172.0,1056.0,818.0,1695.0,798.0,2295.0,2199.0,59.0
0.0,0.0,0.0,0.0,0.0,2.0,16.0,1.0,9.0,30.0,2.0,383.0,61.0,718.0,502.0,1386.0,492.0,2546.0,3565.0,287.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,23.0,21.0,43.0,6.0,106.0,158.0,9631.0
