Queens Park Rangers,Millwall,Swansea City,West Bromwich Albion,Bolton Wanderers,Charlton Athletic,Middlesbrough,Watford,Blackburn Rovers,West Ham United,Burnley,Wolverhampton Wanderers,Wrexham,Cardiff City,Birmingham City,Sheffield United,Derby County,Lincoln City,Preston North End,Norwich City,Stoke City,Portsmouth,Bristol City,Southampton
28.0,2520.0,185.0,29.0,362.0,8.0,3370.0,7.0,2.0,100.0,90.0,76.0,165.0,78.0,102.0,152.0,294.0,24.0,4.0,351.0,2.0,0.0,20.0,2031.0
60.0,2010.0,326.0,70.0,667.0,12.0,2105.0,13.0,6.0,219.0,198.0,184.0,367.0,189.0,220.0,302.0,471.0,46.0,11.0,556.0,11.0,4.0,56.0,1897.0
102.0,1377.0,497.0,146.0,791.0,28.0,1339.0,38.0,14.0,359.0,310.0,300.0,533.0,283.0,324.0,446.0,671.0,96.0,30.0,716.0,32.0,9.0,82.0,1477.0
164.0,1071.0,566.0,200.0,797.0,61.0,895.0,54.0,39.0,428.0,388.0,366.0,635.0,361.0,405.0,540.0,727.0,166.0,44.0,798.0,40.0,16.0,142.0,1097.0
225.0,757.0,656.0,266.0,803.0,79.0,619.0,102.0,44.0,509.0,470.0,442.0,627.0,415.0,494.0,557.0,747.0,243.0,92.0,783.0,67.0,19.0,177.0,807.0
283.0,567.0,707.0,285.0,759.0,103.0,471.0,122.0,64.0,530.0,525.0,458.0,697.0,480.0,505.0,599.0,733.0,275.0,88.0,786.0,86.0,37.0,221.0,619.0
327.0,410.0,636.0,369.0,742.0,145.0,303.0,148.0,97.0,584.0,545.0,576.0,623.0,484.0,603.0,628.0,725.0,317.0,127.0,748.0,93.0,36.0,260.0,474.0
341.0,294.0,664.0,432.0,667.0,181.0,244.0,163.0,99.0,584.0,549.0,550.0,622.0,541.0,542.0,658.0,749.0,351.0,170.0,690.0,149.0,59.0,337.0,364.0
396.0,245.0,606.0,437.0,616.0,217.0,184.0,188.0,140.0,586.0,604.0,567.0,671.0,536.0,627.0,621.0,627.0,409.0,196.0,629.0,170.0,104.0,373.0,251.0
452.0,191.0,581.0,490.0,576.0,279.0,141.0,242.0,172.0,622.0,575.0,553.0,535.0,586.0,611.0,586.0,631.0,434.0,203.0,575.0,200.0,109.0,425.0,231.0
451.0,155.0,590.0,544.0,506.0,323.0,92.0,300.0,218.0,585.0,554.0,590.0,560.0,620.0,597.0,559.0,503.0,481.0,281.0,507.0,219.0,130.0,449.0,186.0
496.0,90.0,518.0,566.0,480.0,320.0,81.0,355.0,270.0,553.0,582.0,560.0,577.0,590.0,556.0,589.0,468.0,501.0,315.0,458.0,263.0,178.0,488.0,146.0
540.0,90.0,519.0,540.0,403.0,383.0,42.0,440.0,308.0,540.0,535.0,572.0,492.0,594.0,565.0,506.0,439.0,536.0,394.0,400.0,317.0,212.0,528.0,105.0
591.0,74.0,454.0,579.0,347.0,457.0,33.0,435.0,376.0,563.0,575.0,537.0,473.0,589.0,490.0,517.0,371.0,564.0,421.0,354.0,346.0,252.0,513.0,89.0
611.0,46.0,443.0,600.0,306.0,492.0,24.0,494.0,421.0,458.0,532.0,510.0,465.0,508.0,534.0,447.0,339.0,568.0,494.0,351.0,443.0,300.0,556.0,58.0
649.0,32.0,366.0,581.0,287.0,565.0,24.0,569.0,459.0,427.0,477.0,504.0,382.0,519.0,479.0,426.0,330.0,581.0,513.0,289.0,485.0,377.0,618.0,61.0
618.0,24.0,351.0,624.0,217.0,603.0,11.0,583.0,532.0,469.0,477.0,501.0,325.0,471.0,472.0,381.0,264.0,630.0,550.0,247.0,576.0,407.0,629.0,38.0
599.0,19.0,307.0,530.0,181.0,686.0,8.0,734.0,652.0,425.0,424.0,421.0,283.0,443.0,407.0,370.0,230.0,616.0,639.0,221.0,650.0,497.0,637.0,21.0
548.0,12.0,272.0,567.0,159.0,720.0,5.0,712.0,700.0,348.0,401.0,440.0,264.0,437.0,384.0,307.0,183.0,638.0,713.0,160.0,793.0,592.0,625.0,20.0
594.0,7.0,279.0,541.0,122.0,808.0,2.0,769.0,819.0,341.0,330.0,356.0,207.0,354.0,302.0,237.0,156.0,622.0,822.0,131.0,792.0,762.0,631.0,16.0
569.0,3.0,184.0,532.0,84.0,868.0,4.0,899.0,894.0,249.0,283.0,329.0,185.0,309.0,278.0,214.0,135.0,529.0,869.0,110.0,926.0,894.0,648.0,5.0
532.0,2.0,141.0,435.0,64.0,858.0,1.0,838.0,1111.0,216.0,256.0,272.0,141.0,269.0,220.0,171.0,105.0,555.0,957.0,75.0,985.0,1194.0,599.0,3.0
474.0,2.0,96.0,379.0,38.0,912.0,2.0,934.0,1230.0,174.0,188.0,214.0,107.0,210.0,166.0,116.0,65.0,444.0,1016.0,43.0,1119.0,1506.0,561.0,4.0
350.0,2.0,56.0,258.0,26.0,892.0,0.0,861.0,1333.0,131.0,132.0,122.0,64.0,134.0,117.0,71.0,37.0,374.0,1051.0,22.0,1236.0,2306.0,425.0,0.0
