AZ Alkmaar,FC Groningen,Go Ahead Eagles,Fortuna Sittard,Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,Heerenveen,Excelsior,NEC Nijmegen,Sparta Rotterdam,FC Twente,Telstar,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II,SC Cambuur
241.0,167.0,50.0,1.0,691.0,7402.0,616.0,34.0,2.0,403.0,0.0,376.0,3.0,14.0,0.0,0.0,0.0,0.0
957.0,634.0,202.0,7.0,1905.0,1541.0,1878.0,245.0,19.0,1276.0,0.0,1248.0,13.0,75.0,0.0,0.0,0.0,0.0
1189.0,913.0,376.0,16.0,1719.0,568.0,1789.0,409.0,41.0,1424.0,0.0,1360.0,39.0,157.0,0.0,0.0,0.0,0.0
1204.0,977.0,527.0,34.0,1535.0,256.0,1455.0,650.0,81.0,1446.0,0.0,1473.0,86.0,276.0,0.0,0.0,0.0,0.0
1255.0,1199.0,697.0,72.0,1170.0,119.0,1252.0,855.0,174.0,1300.0,10.0,1312.0,162.0,423.0,0.0,0.0,0.0,0.0
1230.0,1209.0,918.0,133.0,1002.0,65.0,964.0,968.0,250.0,1189.0,7.0,1205.0,235.0,623.0,0.0,1.0,1.0,0.0
1140.0,1224.0,1079.0,216.0,716.0,28.0,715.0,1244.0,406.0,929.0,35.0,1006.0,394.0,857.0,0.0,3.0,6.0,2.0
946.0,1178.0,1245.0,292.0,530.0,15.0,565.0,1294.0,653.0,778.0,52.0,749.0,597.0,1074.0,3.0,13.0,11.0,5.0
754.0,949.0,1377.0,563.0,320.0,4.0,374.0,1266.0,868.0,554.0,123.0,565.0,921.0,1296.0,5.0,33.0,19.0,9.0
514.0,731.0,1238.0,878.0,221.0,2.0,217.0,1135.0,1303.0,395.0,230.0,337.0,1196.0,1441.0,13.0,60.0,53.0,36.0
289.0,422.0,955.0,1323.0,120.0,0.0,112.0,862.0,1637.0,180.0,484.0,224.0,1613.0,1356.0,57.0,148.0,138.0,80.0
170.0,228.0,677.0,1685.0,44.0,0.0,46.0,550.0,1701.0,87.0,899.0,87.0,1729.0,1092.0,134.0,348.0,295.0,228.0
79.0,103.0,399.0,1967.0,21.0,0.0,14.0,307.0,1379.0,29.0,1454.0,40.0,1445.0,733.0,327.0,675.0,591.0,437.0
24.0,50.0,177.0,1325.0,6.0,0.0,2.0,123.0,813.0,7.0,2160.0,14.0,833.0,352.0,768.0,1267.0,1181.0,898.0
6.0,13.0,55.0,764.0,0.0,0.0,0.0,36.0,390.0,2.0,1883.0,3.0,431.0,149.0,1343.0,1828.0,1670.0,1427.0
2.0,2.0,21.0,414.0,0.0,0.0,1.0,19.0,188.0,1.0,1295.0,1.0,196.0,61.0,1820.0,2033.0,2024.0,1922.0
0.0,1.0,6.0,234.0,0.0,0.0,0.0,3.0,78.0,0.0,863.0,0.0,85.0,19.0,2366.0,1897.0,2124.0,2324.0
0.0,0.0,1.0,76.0,0.0,0.0,0.0,0.0,17.0,0.0,505.0,0.0,22.0,2.0,3164.0,1694.0,1887.0,2632.0
