home_team,away_team,p_home_book,p_draw_book,p_away_book
Atletico Mineiro,Chapecoense,0.6554670946233883,0.2120406368954054,0.13249226848120635
Atletico Paranaense,Atletico Mineiro,0.469975821487309,0.2835390357879082,0.2464851427247828
Atletico Paranaense,Bahia,0.44799217861513774,0.276069788827345,0.2759380325575173
Botafogo,Grêmio,0.5456701260818736,0.2526947065619202,0.20163516735620626
Botafogo,Vasco da Gama,0.37228653686773816,0.28191379938792677,0.345799663744335
Bragantino-SP,Mirassol,0.5247907754755842,0.26045652105963135,0.21475270346478445
Corinthians,Fluminense,0.4375192763200798,0.29994539436722445,0.2625353293126958
Cruzeiro,Sao Paulo,0.507740096804551,0.268000239783483,0.22425966341196604
Flamengo,Bragantino-SP,0.67319654567549,0.199892117459652,0.126911336864858
Fluminense,Coritiba,0.6066161563600994,0.24392296268547506,0.14946088095442556
Grêmio,Palmeiras,0.26797124052127175,0.2756803528625007,0.4563484066162276
Internacional,Corinthians,0.4384474608960363,0.29307350995164894,0.26847902915231475
Mirassol,Botafogo,0.42181657641586146,0.27662652954780054,0.30155689403633795
Palmeiras,Bahia,0.5754059039855332,0.23973990133397538,0.18485419468049144
Remo,Grêmio,0.36803981674963593,0.28551080338054746,0.34644937986981655
Remo,Santos,0.34902529213325406,0.2790206683300981,0.37195403953664785
Santos,Flamengo,0.242833965280396,0.26349084323995065,0.4936751914796534
Sao Paulo,Internacional,0.46948104074659325,0.2800884940698564,0.2504304651835504
Vasco da Gama,Coritiba,0.5980567554918643,0.23577486529075176,0.1661683792173839
Vitoria,Chapecoense,0.5533370262896125,0.2587738860929736,0.187889087617414
Vitoria,Cruzeiro,0.3338925885476572,0.28983813433300476,0.376269277119338
