utcDate,matchday,status,homeTeam,awayTeam,homeGoals,awayGoals,winner
2025-08-23T16:30:00Z,1,FINISHED,Genoa CFC,US Lecce,0,0,DRAW
2025-08-23T16:30:00Z,1,FINISHED,US Sassuolo Calcio,SSC Napoli,0,2,AWAY_TEAM
2025-08-23T18:45:00Z,1,FINISHED,AC Milan,US Cremonese,1,2,AWAY_TEAM
2025-08-23T18:45:00Z,1,FINISHED,AS Roma,Bologna FC 1909,1,0,HOME_TEAM
2025-08-24T16:30:00Z,1,FINISHED,Cagliari Calcio,ACF Fiorentina,1,1,DRAW
2025-08-24T16:30:00Z,1,FINISHED,Como 1907,SS Lazio,2,0,HOME_TEAM
2025-08-24T18:45:00Z,1,FINISHED,Atalanta BC,AC Pisa 1909,1,1,DRAW
2025-08-24T18:45:00Z,1,FINISHED,Juventus FC,Parma Calcio 1913,2,0,HOME_TEAM
2025-08-25T16:30:00Z,1,FINISHED,Udinese Calcio,Hellas Verona FC,1,1,DRAW
2025-08-25T18:45:00Z,1,FINISHED,FC Internazionale Milano,Torino FC,5,0,HOME_TEAM
2025-08-29T16:30:00Z,2,FINISHED,US Cremonese,US Sassuolo Calcio,3,2,HOME_TEAM
2025-08-29T18:45:00Z,2,FINISHED,US Lecce,AC Milan,0,2,AWAY_TEAM
2025-08-30T16:30:00Z,2,FINISHED,Bologna FC 1909,Como 1907,1,0,HOME_TEAM
2025-08-30T16:30:00Z,2,FINISHED,Parma Calcio 1913,Atalanta BC,1,1,DRAW
2025-08-30T18:45:00Z,2,FINISHED,SSC Napoli,Cagliari Calcio,1,0,HOME_TEAM
2025-08-30T18:45:00Z,2,FINISHED,AC Pisa 1909,AS Roma,0,1,AWAY_TEAM
2025-08-31T16:30:00Z,2,FINISHED,Genoa CFC,Juventus FC,0,1,AWAY_TEAM
2025-08-31T16:30:00Z,2,FINISHED,Torino FC,ACF Fiorentina,0,0,DRAW
2025-08-31T18:45:00Z,2,FINISHED,FC Internazionale Milano,Udinese Calcio,1,2,AWAY_TEAM
2025-08-31T18:45:00Z,2,FINISHED,SS Lazio,Hellas Verona FC,4,0,HOME_TEAM
2025-09-13T13:00:00Z,3,FINISHED,Cagliari Calcio,Parma Calcio 1913,2,0,HOME_TEAM
2025-09-13T16:00:00Z,3,FINISHED,Juventus FC,FC Internazionale Milano,4,3,HOME_TEAM
2025-09-13T18:45:00Z,3,FINISHED,ACF Fiorentina,SSC Napoli,1,3,AWAY_TEAM
2025-09-14T10:30:00Z,3,FINISHED,AS Roma,Torino FC,0,1,AWAY_TEAM
2025-09-14T13:00:00Z,3,FINISHED,Atalanta BC,US Lecce,4,1,HOME_TEAM
2025-09-14T13:00:00Z,3,FINISHED,AC Pisa 1909,Udinese Calcio,0,1,AWAY_TEAM
2025-09-14T16:00:00Z,3,FINISHED,US Sassuolo Calcio,SS Lazio,1,0,HOME_TEAM
2025-09-14T18:45:00Z,3,FINISHED,AC Milan,Bologna FC 1909,1,0,HOME_TEAM
2025-09-15T16:30:00Z,3,FINISHED,Hellas Verona FC,US Cremonese,0,0,DRAW
2025-09-15T18:45:00Z,3,FINISHED,Como 1907,Genoa CFC,1,1,DRAW
2025-09-19T18:45:00Z,4,FINISHED,US Lecce,Cagliari Calcio,1,2,AWAY_TEAM
2025-09-20T13:00:00Z,4,FINISHED,Bologna FC 1909,Genoa CFC,2,1,HOME_TEAM
2025-09-20T16:00:00Z,4,FINISHED,Hellas Verona FC,Juventus FC,1,1,DRAW
2025-09-20T18:45:00Z,4,FINISHED,Udinese Calcio,AC Milan,0,3,AWAY_TEAM
2025-09-21T10:30:00Z,4,FINISHED,SS Lazio,AS Roma,0,1,AWAY_TEAM
2025-09-21T13:00:00Z,4,FINISHED,Torino FC,Atalanta BC,0,3,AWAY_TEAM
2025-09-21T13:00:00Z,4,FINISHED,US Cremonese,Parma Calcio 1913,0,0,DRAW
2025-09-21T16:00:00Z,4,FINISHED,ACF Fiorentina,Como 1907,1,2,AWAY_TEAM
2025-09-21T18:45:00Z,4,FINISHED,FC Internazionale Milano,US Sassuolo Calcio,2,1,HOME_TEAM
2025-09-22T18:45:00Z,4,FINISHED,SSC Napoli,AC Pisa 1909,3,2,HOME_TEAM
2025-09-27T13:00:00Z,5,FINISHED,Como 1907,US Cremonese,1,1,DRAW
2025-09-27T16:00:00Z,5,FINISHED,Juventus FC,Atalanta BC,1,1,DRAW
2025-09-27T18:45:00Z,5,FINISHED,Cagliari Calcio,FC Internazionale Milano,0,2,AWAY_TEAM
2025-09-28T10:30:00Z,5,FINISHED,US Sassuolo Calcio,Udinese Calcio,3,1,HOME_TEAM
2025-09-28T13:00:00Z,5,FINISHED,AS Roma,Hellas Verona FC,2,0,HOME_TEAM
2025-09-28T13:00:00Z,5,FINISHED,AC Pisa 1909,ACF Fiorentina,0,0,DRAW
2025-09-28T16:00:00Z,5,FINISHED,US Lecce,Bologna FC 1909,2,2,DRAW
2025-09-28T18:45:00Z,5,FINISHED,AC Milan,SSC Napoli,2,1,HOME_TEAM
