utcDate,matchday,status,homeTeam,awayTeam,homeGoals,awayGoals,winner
2024-08-17T16:30:00Z,1,FINISHED,Genoa CFC,FC Internazionale Milano,2,2,DRAW
2024-08-17T16:30:00Z,1,FINISHED,Parma Calcio 1913,ACF Fiorentina,1,1,DRAW
2024-08-17T18:45:00Z,1,FINISHED,Empoli FC,AC Monza,0,0,DRAW
2024-08-17T18:45:00Z,1,FINISHED,AC Milan,Torino FC,2,2,DRAW
2024-08-18T16:30:00Z,1,FINISHED,Bologna FC 1909,Udinese Calcio,1,1,DRAW
2024-08-18T16:30:00Z,1,FINISHED,Hellas Verona FC,SSC Napoli,3,0,HOME_TEAM
2024-08-18T18:45:00Z,1,FINISHED,Cagliari Calcio,AS Roma,0,0,DRAW
2024-08-18T18:45:00Z,1,FINISHED,SS Lazio,Venezia FC,3,1,HOME_TEAM
2024-08-19T16:30:00Z,1,FINISHED,US Lecce,Atalanta BC,0,4,AWAY_TEAM
2024-08-19T18:45:00Z,1,FINISHED,Juventus FC,Como 1907,3,0,HOME_TEAM
2024-08-24T16:30:00Z,2,FINISHED,Parma Calcio 1913,AC Milan,2,1,HOME_TEAM
2024-08-24T16:30:00Z,2,FINISHED,Udinese Calcio,SS Lazio,2,1,HOME_TEAM
2024-08-24T18:45:00Z,2,FINISHED,FC Internazionale Milano,US Lecce,2,0,HOME_TEAM
2024-08-24T18:45:00Z,2,FINISHED,AC Monza,Genoa CFC,0,1,AWAY_TEAM
2024-08-25T16:30:00Z,2,FINISHED,ACF Fiorentina,Venezia FC,0,0,DRAW
2024-08-25T16:30:00Z,2,FINISHED,Torino FC,Atalanta BC,2,1,HOME_TEAM
2024-08-25T18:45:00Z,2,FINISHED,SSC Napoli,Bologna FC 1909,3,0,HOME_TEAM
2024-08-25T18:45:00Z,2,FINISHED,AS Roma,Empoli FC,1,2,AWAY_TEAM
2024-08-26T16:30:00Z,2,FINISHED,Cagliari Calcio,Como 1907,1,1,DRAW
2024-08-26T18:45:00Z,2,FINISHED,Hellas Verona FC,Juventus FC,0,3,AWAY_TEAM
2024-08-30T16:30:00Z,3,FINISHED,Venezia FC,Torino FC,0,1,AWAY_TEAM
2024-08-30T18:45:00Z,3,FINISHED,FC Internazionale Milano,Atalanta BC,4,0,HOME_TEAM
2024-08-31T16:30:00Z,3,FINISHED,Bologna FC 1909,Empoli FC,1,1,DRAW
2024-08-31T16:30:00Z,3,FINISHED,US Lecce,Cagliari Calcio,1,0,HOME_TEAM
2024-08-31T18:45:00Z,3,FINISHED,SS Lazio,AC Milan,2,2,DRAW
2024-08-31T18:45:00Z,3,FINISHED,SSC Napoli,Parma Calcio 1913,2,1,HOME_TEAM
2024-09-01T16:30:00Z,3,FINISHED,ACF Fiorentina,AC Monza,2,2,DRAW
2024-09-01T16:30:00Z,3,FINISHED,Genoa CFC,Hellas Verona FC,0,2,AWAY_TEAM
2024-09-01T18:45:00Z,3,FINISHED,Juventus FC,AS Roma,0,0,DRAW
2024-09-01T18:45:00Z,3,FINISHED,Udinese Calcio,Como 1907,1,0,HOME_TEAM
2024-09-14T13:00:00Z,4,FINISHED,Como 1907,Bologna FC 1909,2,2,DRAW
2024-09-14T16:00:00Z,4,FINISHED,Empoli FC,Juventus FC,0,0,DRAW
2024-09-14T18:45:00Z,4,FINISHED,AC Milan,Venezia FC,4,0,HOME_TEAM
2024-09-15T10:30:00Z,4,FINISHED,Genoa CFC,AS Roma,1,1,DRAW
2024-09-15T13:00:00Z,4,FINISHED,Atalanta BC,ACF Fiorentina,3,2,HOME_TEAM
2024-09-15T13:00:00Z,4,FINISHED,Torino FC,US Lecce,0,0,DRAW
2024-09-15T16:00:00Z,4,FINISHED,Cagliari Calcio,SSC Napoli,0,4,AWAY_TEAM
2024-09-15T18:45:00Z,4,FINISHED,AC Monza,FC Internazionale Milano,1,1,DRAW
2024-09-16T16:30:00Z,4,FINISHED,Parma Calcio 1913,Udinese Calcio,2,3,AWAY_TEAM
2024-09-16T18:45:00Z,4,FINISHED,SS Lazio,Hellas Verona FC,2,1,HOME_TEAM
2024-09-20T16:30:00Z,5,FINISHED,Cagliari Calcio,Empoli FC,0,2,AWAY_TEAM
2024-09-20T18:45:00Z,5,FINISHED,Hellas Verona FC,Torino FC,2,3,AWAY_TEAM
2024-09-21T13:00:00Z,5,FINISHED,Venezia FC,Genoa CFC,2,0,HOME_TEAM
2024-09-21T16:00:00Z,5,FINISHED,Juventus FC,SSC Napoli,0,0,DRAW
2024-09-21T18:45:00Z,5,FINISHED,US Lecce,Parma Calcio 1913,2,2,DRAW
2024-09-22T10:30:00Z,5,FINISHED,ACF Fiorentina,SS Lazio,2,1,HOME_TEAM
2024-09-22T13:00:00Z,5,FINISHED,AC Monza,Bologna FC 1909,1,2,AWAY_TEAM
2024-09-22T16:00:00Z,5,FINISHED,AS Roma,Udinese Calcio,3,0,HOME_TEAM
2024-09-22T18:45:00Z,5,FINISHED,FC Internazionale Milano,AC Milan,1,2,AWAY_TEAM
2024-09-24T18:45:00Z,5,FINISHED,Atalanta BC,Como 1907,2,3,AWAY_TEAM
2024-09-27T18:45:00Z,6,FINISHED,AC Milan,US Lecce,3,0,HOME_TEAM
2024-09-28T13:00:00Z,6,FINISHED,Udinese Calcio,FC Internazionale Milano,2,3,AWAY_TEAM
2024-09-28T16:00:00Z,6,FINISHED,Genoa CFC,Juventus FC,0,3,AWAY_TEAM
2024-09-28T18:45:00Z,6,FINISHED,Bologna FC 1909,Atalanta BC,1,1,DRAW
2024-09-29T10:30:00Z,6,FINISHED,Torino FC,SS Lazio,2,3,AWAY_TEAM
2024-09-29T13:00:00Z,6,FINISHED,Como 1907,Hellas Verona FC,3,2,HOME_TEAM
2024-09-29T13:00:00Z,6,FINISHED,AS Roma,Venezia FC,2,1,HOME_TEAM
2024-09-29T16:00:00Z,6,FINISHED,Empoli FC,ACF Fiorentina,0,0,DRAW
2024-09-29T18:45:00Z,6,FINISHED,SSC Napoli,AC Monza,2,0,HOME_TEAM
2024-09-30T18:45:00Z,6,FINISHED,Parma Calcio 1913,Cagliari Calcio,2,3,AWAY_TEAM
2024-10-04T16:30:00Z,7,FINISHED,SSC Napoli,Como 1907,3,1,HOME_TEAM
2024-10-04T18:45:00Z,7,FINISHED,Hellas Verona FC,Venezia FC,2,1,HOME_TEAM
2024-10-05T13:00:00Z,7,FINISHED,Udinese Calcio,US Lecce,1,0,HOME_TEAM
2024-10-05T16:00:00Z,7,FINISHED,Atalanta BC,Genoa CFC,5,1,HOME_TEAM
2024-10-05T18:45:00Z,7,FINISHED,FC Internazionale Milano,Torino FC,3,2,HOME_TEAM
2024-10-06T10:30:00Z,7,FINISHED,Juventus FC,Cagliari Calcio,1,1,DRAW
2024-10-06T13:00:00Z,7,FINISHED,Bologna FC 1909,Parma Calcio 1913,0,0,DRAW
2024-10-06T13:00:00Z,7,FINISHED,SS Lazio,Empoli FC,2,1,HOME_TEAM
2024-10-06T16:00:00Z,7,FINISHED,AC Monza,AS Roma,1,1,DRAW
2024-10-06T18:45:00Z,7,FINISHED,ACF Fiorentina,AC Milan,2,1,HOME_TEAM
2024-10-19T13:00:00Z,8,FINISHED,Como 1907,Parma Calcio 1913,1,1,DRAW
2024-10-19T13:00:00Z,8,FINISHED,Genoa CFC,Bologna FC 1909,2,2,DRAW
2024-10-19T16:00:00Z,8,FINISHED,AC Milan,Udinese Calcio,1,0,HOME_TEAM
2024-10-19T18:45:00Z,8,FINISHED,Juventus FC,SS Lazio,1,0,HOME_TEAM
2024-10-20T10:30:00Z,8,FINISHED,Empoli FC,SSC Napoli,0,1,AWAY_TEAM
2024-10-20T13:00:00Z,8,FINISHED,US Lecce,ACF Fiorentina,0,6,AWAY_TEAM
2024-10-20T13:00:00Z,8,FINISHED,Venezia FC,Atalanta BC,0,2,AWAY_TEAM
2024-10-20T16:00:00Z,8,FINISHED,Cagliari Calcio,Torino FC,3,2,HOME_TEAM
2024-10-20T18:45:00Z,8,FINISHED,AS Roma,FC Internazionale Milano,0,1,AWAY_TEAM
2024-10-21T18:45:00Z,8,FINISHED,Hellas Verona FC,AC Monza,0,3,AWAY_TEAM
2024-10-25T16:30:00Z,9,FINISHED,Udinese Calcio,Cagliari Calcio,2,0,HOME_TEAM
2024-10-25T18:45:00Z,9,FINISHED,Torino FC,Como 1907,1,0,HOME_TEAM
2024-10-26T13:00:00Z,9,FINISHED,SSC Napoli,US Lecce,1,0,HOME_TEAM
2024-10-26T18:45:00Z,9,FINISHED,Atalanta BC,Hellas Verona FC,6,1,HOME_TEAM
2024-10-27T11:30:00Z,9,FINISHED,Parma Calcio 1913,Empoli FC,1,1,DRAW
2024-10-27T14:00:00Z,9,FINISHED,SS Lazio,Genoa CFC,3,0,HOME_TEAM
2024-10-27T14:00:00Z,9,FINISHED,AC Monza,Venezia FC,2,2,DRAW
2024-10-27T17:00:00Z,9,FINISHED,FC Internazionale Milano,Juventus FC,4,4,DRAW
2024-10-27T19:45:00Z,9,FINISHED,ACF Fiorentina,AS Roma,5,1,HOME_TEAM
2024-10-29T17:30:00Z,10,FINISHED,Cagliari Calcio,Bologna FC 1909,0,2,AWAY_TEAM
2024-10-29T17:30:00Z,10,FINISHED,US Lecce,Hellas Verona FC,1,0,HOME_TEAM
2024-10-29T19:45:00Z,10,FINISHED,AC Milan,SSC Napoli,0,2,AWAY_TEAM
2024-10-30T17:30:00Z,10,FINISHED,Empoli FC,FC Internazionale Milano,0,3,AWAY_TEAM
2024-10-30T17:30:00Z,10,FINISHED,Venezia FC,Udinese Calcio,3,2,HOME_TEAM
2024-10-30T19:45:00Z,10,FINISHED,Atalanta BC,AC Monza,2,0,HOME_TEAM
2024-10-30T19:45:00Z,10,FINISHED,Juventus FC,Parma Calcio 1913,2,2,DRAW
2024-10-31T17:30:00Z,10,FINISHED,Genoa CFC,ACF Fiorentina,0,1,AWAY_TEAM
2024-10-31T19:45:00Z,10,FINISHED,Como 1907,SS Lazio,1,5,AWAY_TEAM
2024-10-31T19:45:00Z,10,FINISHED,AS Roma,Torino FC,1,0,HOME_TEAM
