utcDate,matchday,status,homeTeam,awayTeam,homeGoals,awayGoals,winner
2024-08-09T18:00:00Z,1,FINISHED,FC Groningen,NAC Breda,4,1,HOME_TEAM
2024-08-10T14:30:00Z,1,FINISHED,Feyenoord Rotterdam,Willem II Tilburg,1,1,DRAW
2024-08-10T16:45:00Z,1,FINISHED,NEC,FC Twente '65,1,2,AWAY_TEAM
2024-08-10T18:00:00Z,1,FINISHED,Almere City FC,AZ,0,1,AWAY_TEAM
2024-08-10T19:00:00Z,1,FINISHED,PSV,RKC Waalwijk,5,1,HOME_TEAM
2024-08-11T10:15:00Z,1,FINISHED,Sparta Rotterdam,Heracles Almelo,0,0,DRAW
2024-08-11T12:30:00Z,1,FINISHED,FC Utrecht,PEC Zwolle,1,0,HOME_TEAM
2024-08-11T12:30:00Z,1,FINISHED,Go Ahead Eagles,Fortuna Sittard,0,2,AWAY_TEAM
2024-08-11T14:45:00Z,1,FINISHED,AFC Ajax,SC Heerenveen,1,0,HOME_TEAM
2024-08-16T18:00:00Z,2,FINISHED,Fortuna Sittard,Almere City FC,3,0,HOME_TEAM
2024-08-17T14:30:00Z,2,FINISHED,SC Heerenveen,FC Utrecht,1,1,DRAW
2024-08-17T16:45:00Z,2,FINISHED,FC Twente '65,Sparta Rotterdam,1,1,DRAW
2024-08-17T18:00:00Z,2,FINISHED,AZ,NEC,1,0,HOME_TEAM
2024-08-17T19:00:00Z,2,FINISHED,RKC Waalwijk,FC Groningen,1,2,AWAY_TEAM
2024-08-18T10:15:00Z,2,FINISHED,Heracles Almelo,PSV,1,3,AWAY_TEAM
2024-08-18T12:30:00Z,2,FINISHED,PEC Zwolle,Feyenoord Rotterdam,1,5,AWAY_TEAM
2024-08-18T12:30:00Z,2,FINISHED,Willem II Tilburg,Go Ahead Eagles,2,0,HOME_TEAM
2024-08-18T14:45:00Z,2,FINISHED,NAC Breda,AFC Ajax,2,1,HOME_TEAM
2024-08-24T16:45:00Z,3,FINISHED,NEC,PEC Zwolle,1,0,HOME_TEAM
2024-08-24T18:00:00Z,3,FINISHED,Almere City FC,PSV,1,7,AWAY_TEAM
2024-08-24T19:00:00Z,3,FINISHED,NAC Breda,FC Utrecht,1,2,AWAY_TEAM
2024-08-25T10:15:00Z,3,FINISHED,FC Groningen,AZ,0,0,DRAW
2024-08-25T12:30:00Z,3,FINISHED,Heracles Almelo,Willem II Tilburg,1,1,DRAW
2024-08-25T12:30:00Z,3,FINISHED,Sparta Rotterdam,Feyenoord Rotterdam,1,1,DRAW
2024-08-25T14:45:00Z,3,FINISHED,Go Ahead Eagles,RKC Waalwijk,2,0,HOME_TEAM
2024-08-30T18:00:00Z,4,FINISHED,RKC Waalwijk,AZ,0,3,AWAY_TEAM
2024-08-31T14:30:00Z,4,FINISHED,Almere City FC,FC Groningen,1,1,DRAW
2024-08-31T16:45:00Z,4,FINISHED,Fortuna Sittard,NEC,0,3,AWAY_TEAM
2024-08-31T18:00:00Z,4,FINISHED,SC Heerenveen,NAC Breda,4,0,HOME_TEAM
2024-08-31T19:00:00Z,4,FINISHED,Willem II Tilburg,Sparta Rotterdam,1,2,AWAY_TEAM
2024-09-01T10:15:00Z,4,FINISHED,FC Utrecht,FC Twente '65,2,1,HOME_TEAM
2024-09-01T12:30:00Z,4,FINISHED,PEC Zwolle,Heracles Almelo,3,0,HOME_TEAM
2024-09-01T14:45:00Z,4,FINISHED,PSV,Go Ahead Eagles,3,0,HOME_TEAM
2024-09-14T14:30:00Z,5,FINISHED,FC Twente '65,PEC Zwolle,1,1,DRAW
2024-09-14T14:30:00Z,5,FINISHED,PSV,NEC,2,0,HOME_TEAM
2024-09-14T16:45:00Z,5,FINISHED,FC Groningen,Feyenoord Rotterdam,2,2,DRAW
2024-09-14T18:00:00Z,5,FINISHED,NAC Breda,Fortuna Sittard,1,0,HOME_TEAM
2024-09-14T19:00:00Z,5,FINISHED,AZ,SC Heerenveen,9,1,HOME_TEAM
2024-09-15T10:15:00Z,5,FINISHED,Sparta Rotterdam,Go Ahead Eagles,1,2,AWAY_TEAM
2024-09-15T12:30:00Z,5,FINISHED,Willem II Tilburg,RKC Waalwijk,3,0,HOME_TEAM
2024-09-15T14:45:00Z,5,FINISHED,Heracles Almelo,Almere City FC,0,0,DRAW
2024-09-17T18:00:00Z,3,FINISHED,FC Twente '65,SC Heerenveen,2,0,HOME_TEAM
2024-09-18T18:00:00Z,3,FINISHED,AFC Ajax,Fortuna Sittard,5,0,HOME_TEAM
2024-09-20T18:00:00Z,6,FINISHED,PEC Zwolle,AZ,1,2,AWAY_TEAM
2024-09-21T14:30:00Z,6,FINISHED,FC Utrecht,Willem II Tilburg,3,2,HOME_TEAM
2024-09-21T16:45:00Z,6,FINISHED,RKC Waalwijk,Sparta Rotterdam,1,2,AWAY_TEAM
2024-09-21T18:00:00Z,6,FINISHED,Go Ahead Eagles,AFC Ajax,1,1,DRAW
2024-09-21T19:00:00Z,6,FINISHED,NEC,Heracles Almelo,1,2,AWAY_TEAM
2024-09-22T10:15:00Z,6,FINISHED,SC Heerenveen,FC Groningen,2,1,HOME_TEAM
2024-09-22T12:30:00Z,6,FINISHED,Almere City FC,FC Twente '65,0,5,AWAY_TEAM
2024-09-22T12:30:00Z,6,FINISHED,Feyenoord Rotterdam,NAC Breda,2,0,HOME_TEAM
2024-09-22T14:45:00Z,6,FINISHED,Fortuna Sittard,PSV,1,3,AWAY_TEAM
2024-09-27T18:00:00Z,7,FINISHED,Heracles Almelo,SC Heerenveen,2,1,HOME_TEAM
2024-09-28T14:30:00Z,7,FINISHED,Willem II Tilburg,PSV,0,2,AWAY_TEAM
2024-09-28T16:45:00Z,7,FINISHED,NEC,Feyenoord Rotterdam,1,1,DRAW
2024-09-28T19:00:00Z,7,FINISHED,Sparta Rotterdam,Fortuna Sittard,1,1,DRAW
2024-09-29T10:15:00Z,7,FINISHED,PEC Zwolle,Almere City FC,1,0,HOME_TEAM
2024-09-29T12:30:00Z,7,FINISHED,FC Twente '65,NAC Breda,1,0,HOME_TEAM
2024-09-29T12:30:00Z,7,FINISHED,FC Groningen,Go Ahead Eagles,0,1,AWAY_TEAM
2024-09-29T14:45:00Z,7,FINISHED,RKC Waalwijk,AFC Ajax,0,2,AWAY_TEAM
2024-09-29T18:00:00Z,7,FINISHED,AZ,FC Utrecht,1,2,AWAY_TEAM
2024-10-04T18:00:00Z,8,FINISHED,Almere City FC,Willem II Tilburg,0,1,AWAY_TEAM
2024-10-05T16:45:00Z,8,FINISHED,NAC Breda,NEC,1,0,HOME_TEAM
2024-10-05T18:00:00Z,8,FINISHED,PSV,Sparta Rotterdam,2,1,HOME_TEAM
2024-10-05T19:00:00Z,8,FINISHED,FC Utrecht,RKC Waalwijk,3,2,HOME_TEAM
2024-10-06T10:15:00Z,8,FINISHED,Go Ahead Eagles,Heracles Almelo,4,1,HOME_TEAM
2024-10-06T12:30:00Z,8,FINISHED,SC Heerenveen,PEC Zwolle,1,1,DRAW
2024-10-06T12:30:00Z,8,FINISHED,Feyenoord Rotterdam,FC Twente '65,2,1,HOME_TEAM
2024-10-06T14:45:00Z,8,FINISHED,AFC Ajax,FC Groningen,3,1,HOME_TEAM
2024-10-06T18:00:00Z,8,FINISHED,Fortuna Sittard,AZ,1,0,HOME_TEAM
2024-10-19T14:30:00Z,9,FINISHED,Sparta Rotterdam,Almere City FC,2,2,DRAW
2024-10-19T16:45:00Z,9,FINISHED,AZ,PSV,1,2,AWAY_TEAM
2024-10-19T18:00:00Z,9,FINISHED,NEC,SC Heerenveen,3,0,HOME_TEAM
2024-10-19T18:00:00Z,9,FINISHED,RKC Waalwijk,FC Twente '65,2,2,DRAW
2024-10-19T19:00:00Z,9,FINISHED,Go Ahead Eagles,Feyenoord Rotterdam,1,5,AWAY_TEAM
2024-10-20T10:15:00Z,9,FINISHED,Willem II Tilburg,Fortuna Sittard,0,0,DRAW
2024-10-20T12:30:00Z,9,FINISHED,FC Groningen,FC Utrecht,0,1,AWAY_TEAM
2024-10-20T12:30:00Z,9,FINISHED,Heracles Almelo,AFC Ajax,3,4,AWAY_TEAM
2024-10-20T14:45:00Z,9,FINISHED,PEC Zwolle,NAC Breda,1,2,AWAY_TEAM
2024-10-25T18:00:00Z,10,FINISHED,Almere City FC,NEC,1,0,HOME_TEAM
2024-10-26T14:30:00Z,10,FINISHED,Fortuna Sittard,FC Groningen,1,0,HOME_TEAM
2024-10-26T16:45:00Z,10,FINISHED,PSV,PEC Zwolle,6,0,HOME_TEAM
2024-10-26T18:00:00Z,10,FINISHED,NAC Breda,RKC Waalwijk,4,1,HOME_TEAM
2024-10-26T19:00:00Z,10,FINISHED,SC Heerenveen,Sparta Rotterdam,2,0,HOME_TEAM
2024-10-27T11:15:00Z,10,FINISHED,FC Utrecht,Feyenoord Rotterdam,0,2,AWAY_TEAM
2024-10-27T13:30:00Z,10,FINISHED,FC Twente '65,Heracles Almelo,5,0,HOME_TEAM
2024-10-27T15:45:00Z,10,FINISHED,AFC Ajax,Willem II Tilburg,1,0,HOME_TEAM
2024-10-27T19:00:00Z,10,FINISHED,AZ,Go Ahead Eagles,2,2,DRAW
