utcDate,matchday,status,homeTeam,awayTeam,homeGoals,awayGoals,winner
2026-08-07T19:15:00Z,1,FINISHED,GD Estoril Praia,FC Famalicão,1,1,DRAW
2026-08-08T14:30:00Z,1,FINISHED,CS Marítimo,Casa Pia AC,1,0,HOME_TEAM
2026-08-08T17:00:00Z,1,FINISHED,Vitória SC,FC Arouca,0,1,AWAY_TEAM
2026-08-08T19:30:00Z,1,FINISHED,CF Estrela da Amadora,Sporting Clube de Portugal,2,2,DRAW
2026-08-09T17:00:00Z,1,FINISHED,FC Porto,FC Alverca,2,0,HOME_TEAM
2026-08-09T19:30:00Z,1,FINISHED,Moreirense FC,Sporting Clube de Braga,2,2,DRAW
2026-08-09T19:30:00Z,1,FINISHED,Gil Vicente FC,Rio Ave FC,1,0,HOME_TEAM
2026-08-09T19:30:00Z,1,FINISHED,Sport Lisboa e Benfica,Académico de Viseu FC,2,2,DRAW
2026-08-10T19:15:00Z,1,FINISHED,CD Santa Clara,CD Nacional,2,2,DRAW
2026-08-14T19:15:00Z,2,FINISHED,Sporting Clube de Portugal,Vitória SC,3,2,HOME_TEAM
2026-08-15T14:30:00Z,2,FINISHED,FC Alverca,CF Estrela da Amadora,2,2,DRAW
2026-08-15T17:00:00Z,2,FINISHED,Académico de Viseu FC,CD Santa Clara,0,1,AWAY_TEAM
2026-08-15T19:30:00Z,2,FINISHED,Rio Ave FC,FC Porto,0,2,AWAY_TEAM
2026-08-16T14:30:00Z,2,FINISHED,CD Nacional,GD Estoril Praia,2,0,HOME_TEAM
2026-08-16T17:00:00Z,2,FINISHED,FC Arouca,Moreirense FC,4,0,HOME_TEAM
2026-08-16T19:30:00Z,2,FINISHED,FC Famalicão,CS Marítimo,1,2,AWAY_TEAM
2026-08-17T19:15:00Z,2,FINISHED,Casa Pia AC,Sport Lisboa e Benfica,0,7,AWAY_TEAM
2026-08-22T14:30:00Z,3,FINISHED,CS Marítimo,Académico de Viseu FC,2,2,DRAW
2026-08-22T17:00:00Z,3,FINISHED,GD Estoril Praia,Rio Ave FC,0,2,AWAY_TEAM
2026-08-22T19:30:00Z,3,FINISHED,Sporting Clube de Portugal,FC Alverca,3,1,HOME_TEAM
2026-08-23T14:30:00Z,3,FINISHED,Vitória SC,CD Nacional,1,0,HOME_TEAM
2026-08-23T17:00:00Z,3,FINISHED,CD Santa Clara,FC Famalicão,1,0,HOME_TEAM
2026-08-23T19:30:00Z,3,FINISHED,FC Porto,FC Arouca,2,0,HOME_TEAM
2026-08-24T19:15:00Z,3,FINISHED,Gil Vicente FC,Casa Pia AC,2,0,HOME_TEAM
2026-08-28T19:15:00Z,4,FINISHED,Rio Ave FC,Sporting Clube de Portugal,0,4,AWAY_TEAM
2026-08-29T14:30:00Z,4,FINISHED,FC Alverca,CD Santa Clara,1,1,DRAW
2026-08-29T14:30:00Z,4,FINISHED,FC Arouca,CS Marítimo,2,1,HOME_TEAM
2026-08-29T17:00:00Z,4,FINISHED,Académico de Viseu FC,FC Porto,0,3,AWAY_TEAM
2026-08-30T14:30:00Z,4,FINISHED,CD Nacional,CF Estrela da Amadora,2,3,AWAY_TEAM
2026-08-30T17:00:00Z,4,FINISHED,Casa Pia AC,Moreirense FC,0,1,AWAY_TEAM
2026-08-30T19:30:00Z,4,FINISHED,FC Famalicão,Gil Vicente FC,0,0,DRAW
2026-08-31T19:15:00Z,4,FINISHED,Sport Lisboa e Benfica,GD Estoril Praia,2,1,HOME_TEAM
2026-08-31T19:15:00Z,4,FINISHED,Sporting Clube de Braga,Vitória SC,1,0,HOME_TEAM
2026-09-04T19:15:00Z,5,FINISHED,FC Porto,Moreirense FC,2,1,HOME_TEAM
