utcDate,matchday,status,homeTeam,awayTeam,homeGoals,awayGoals,winner
2026-03-18T23:00:00Z,7,FINISHED,Mirassol FC,Coritiba FBC,0,1,AWAY_TEAM
2026-03-19T00:30:00Z,7,FINISHED,Santos FC,SC Internacional,1,2,AWAY_TEAM
2026-03-19T00:30:00Z,7,FINISHED,CR Vasco da Gama,Fluminense FC,3,2,HOME_TEAM
2026-03-19T22:00:00Z,7,FINISHED,Grêmio FBPA,EC Vitória,2,0,HOME_TEAM
2026-03-19T23:00:00Z,7,FINISHED,CR Flamengo,Clube do Remo,3,0,HOME_TEAM
2026-03-20T00:30:00Z,7,FINISHED,Chapecoense AF,SC Corinthians Paulista,0,0,DRAW
2026-03-21T19:00:00Z,8,FINISHED,RB Bragantino,Botafogo FR,1,2,AWAY_TEAM
2026-03-21T21:30:00Z,8,FINISHED,Fluminense FC,CA Mineiro,1,0,HOME_TEAM
2026-03-22T00:00:00Z,8,FINISHED,São Paulo FC,SE Palmeiras,0,1,AWAY_TEAM
2026-03-22T19:00:00Z,8,FINISHED,CA Paranaense,Coritiba FBC,2,0,HOME_TEAM
2026-03-22T19:00:00Z,8,FINISHED,Cruzeiro EC,Santos FC,0,0,DRAW
2026-03-22T19:00:00Z,8,FINISHED,Clube do Remo,EC Bahia,4,1,HOME_TEAM
2026-03-22T19:00:00Z,8,FINISHED,CR Vasco da Gama,Grêmio FBPA,2,1,HOME_TEAM
2026-03-22T21:30:00Z,8,FINISHED,SC Internacional,Chapecoense AF,2,0,HOME_TEAM
2026-03-22T21:30:00Z,8,FINISHED,EC Vitória,Mirassol FC,1,0,HOME_TEAM
2026-03-22T23:30:00Z,8,FINISHED,SC Corinthians Paulista,CR Flamengo,1,1,DRAW
2026-03-29T22:30:00Z,5,FINISHED,CA Paranaense,Botafogo FR,4,1,HOME_TEAM
2026-04-01T22:30:00Z,9,FINISHED,Botafogo FR,Mirassol FC,3,2,HOME_TEAM
2026-04-01T22:30:00Z,9,FINISHED,SC Internacional,São Paulo FC,1,1,DRAW
2026-04-01T23:00:00Z,9,FINISHED,EC Bahia,CA Paranaense,3,0,HOME_TEAM
2026-04-01T23:00:00Z,9,FINISHED,Cruzeiro EC,EC Vitória,3,0,HOME_TEAM
2026-04-01T23:30:00Z,9,FINISHED,Coritiba FBC,CR Vasco da Gama,1,1,DRAW
2026-04-02T00:30:00Z,9,FINISHED,Fluminense FC,SC Corinthians Paulista,3,1,HOME_TEAM
2026-04-02T22:00:00Z,9,FINISHED,Chapecoense AF,CA Mineiro,0,4,AWAY_TEAM
2026-04-02T22:00:00Z,9,FINISHED,Santos FC,Clube do Remo,2,0,HOME_TEAM
2026-04-03T00:30:00Z,9,FINISHED,RB Bragantino,CR Flamengo,3,0,HOME_TEAM
2026-04-03T00:30:00Z,9,FINISHED,SE Palmeiras,Grêmio FBPA,2,1,HOME_TEAM
2026-04-04T21:30:00Z,10,FINISHED,São Paulo FC,Cruzeiro EC,4,1,HOME_TEAM
2026-04-04T23:30:00Z,10,FINISHED,Coritiba FBC,Fluminense FC,0,0,DRAW
2026-04-05T00:00:00Z,10,FINISHED,CR Vasco da Gama,Botafogo FR,1,2,AWAY_TEAM
