home_team,away_team,p_home_book,p_draw_book,p_away_book
Birmingham City,Bristol City,0.5083119039104734,0.25699253488167795,0.23469556120784846
Birmingham City,Preston North End,0.5695095976064605,0.24479548509612492,0.1856949172974146
Charlton Athletic,Hull City,0.39390709908526894,0.2790485876908479,0.3270443132238832
Charlton Athletic,Ipswich Town,0.2000700505392579,0.2586721070931927,0.5412578423675495
Coventry City,Portsmouth,0.5774877441001689,0.23711932995907592,0.18539292594075527
Coventry City,Wrexham AFC,0.5532583404318602,0.23762457541151505,0.20911708415662478
Leicester City,Hull City,0.48402967839029964,0.2610529092232479,0.25491741238645244
Leicester City,Millwall,0.36204362300597187,0.2779736823516548,0.35998269464237337
Middlesbrough,Sheffield Wednesday,0.8277528212419899,0.11412052958839954,0.05812664916961065
Middlesbrough,Watford,0.6249396007043876,0.21215425300930835,0.162906146286304
Norwich City,Derby County,0.4701428229815788,0.26691090562063574,0.2629462713977855
Norwich City,Swansea City,0.531362653837064,0.2501450862751444,0.21849225988779142
Oxford United,Sheffield Wednesday,0.66109778980509,0.21764547416462668,0.12125673603028324
Oxford United,Wrexham AFC,0.342776322734906,0.2870761461051516,0.3701475311599424
Queens Park Rangers,Derby County,0.3911865394354042,0.27690067556267584,0.33191278500192
Queens Park Rangers,Swansea City,0.4143526495507743,0.27970943670650816,0.30593791374271756
Sheffield United,Blackburn Rovers,0.5313541667634565,0.2540842875554564,0.2145615456810872
Sheffield United,Preston North End,0.5689743609423573,0.23465299949641147,0.19637263956123116
Southampton,Bristol City,0.6382866591683601,0.21150563783576293,0.15020770299587682
Stoke City,Millwall,0.28493444590027217,0.2754407264259068,0.4396248276738211
Stoke City,Portsmouth,0.3588244967609499,0.285610908738382,0.355564594500668
West Bromwich Albion,Ipswich Town,0.2936231818114528,0.2844658475871275,0.4219109706014197
West Bromwich Albion,Watford,0.5164256039996118,0.2656841904872277,0.2178902055131604
